X var,Y var,MIC (strength),MIC-p^2 (nonlinearity),MAS (non-monotonicity),MEV (functionality),MCN (complexity),Linear regression (p)
2716N: Security Apparatus - Fund for Peace,2716: Security Apparatus - Fund for Peace,0.79737,-0.15495783,0.015540004,0.77045,5.169925,0.9758729
2716N: Security Apparatus - Fund for Peace,2707: Failed States Index Total - Fund for Peace,0.66277,-0.19064814,0.081499994,0.66277,6.2094536,0.9238063
2716N: Security Apparatus - Fund for Peace,2706: Failed States Index Rank - Fund for Peace,0.63413,-0.15778339,0.06305003,0.63389,6.2479277,-0.88989514
2716N: Security Apparatus - Fund for Peace,2715: Human Rights - Fund for Peace,0.57649,-0.17069864,0.06099999,0.57649,5.4594316,0.86440074
2716N: Security Apparatus - Fund for Peace,0782: Adjusted net national income per capita  (constant 2005 US$) - WDI,0.57146,0.0412066,0.07032001,0.57146,5.3923173,-0.728185
2716N: Security Apparatus - Fund for Peace,2713: Legitimacy of the State - Fund for Peace,0.56343,-0.19974017,0.03558001,0.56343,5.2479277,0.87359613
2716N: Security Apparatus - Fund for Peace,0677: Household final consumption expenditure per capita  (constant 2005 US$) - WDI,0.56044,0.020419836,0.060279995,0.56044,5.9541965,-0.73486066
2716N: Security Apparatus - Fund for Peace,0832: GNI per capita  (constant 2005 US$) - WDI,0.53667,0.0023210645,0.073600024,0.53667,5.523562,-0.7309918
2716N: Security Apparatus - Fund for Peace,2717: Factionalized Elites - Fund for Peace,0.52135,-0.2318725,0.04528001,0.52135,4.5849624,0.8678839
2716N: Security Apparatus - Fund for Peace,2708: Demographic Pressures - Fund for Peace,0.50904,-0.10579091,0.086349994,0.50904,5.4594316,0.78411156
2716N: Security Apparatus - Fund for Peace,2714: Public Services - Fund for Peace,0.50034,-0.14864302,0.031679988,0.50034,4.321928,0.8055948
2716N: Security Apparatus - Fund for Peace,0810: GDP per capita  (constant 2005 US$) - WDI,0.49711,0.015502453,0.08245,0.49711,6.169925,-0.6939795
2716N: Security Apparatus - Fund for Peace,2704: Corruption perceptions index - Transparency,0.48513,-0.18682724,0.037479997,0.48513,6.129283,-0.81973
2716N: Security Apparatus - Fund for Peace,1098: Health expenditure per capita  (current US$) - WDI,0.47888,0.03235215,0.055900007,0.47888,6.0,-0.6682274
