X var,Y var,MIC (strength),MIC-p^2 (nonlinearity),MAS (non-monotonicity),MEV (functionality),MCN (complexity),Linear regression (p)
2707N: Failed States Index Total - Fund for Peace,2707: Failed States Index Total - Fund for Peace,0.92249,-0.070733845,0.01888001,0.92249,6.129283,0.9966062
2707N: Failed States Index Total - Fund for Peace,2706: Failed States Index Rank - Fund for Peace,0.89241,-0.031734943,0.026069999,0.89241,5.9541965,-0.9613246
2707N: Failed States Index Total - Fund for Peace,0782: Adjusted net national income per capita  (constant 2005 US$) - WDI,0.68643,0.015268445,0.043789983,0.68381,6.0,-0.8192445
2707N: Failed States Index Total - Fund for Peace,0677: Household final consumption expenditure per capita  (constant 2005 US$) - WDI,0.67318,-0.012475073,0.06942999,0.67019,6.044394,-0.8280429
2707N: Failed States Index Total - Fund for Peace,2714: Public Services - Fund for Peace,0.66553,-0.16671264,0.044580042,0.66295,6.2479277,0.91227335
2707N: Failed States Index Total - Fund for Peace,2716: Security Apparatus - Fund for Peace,0.65578,-0.20174015,0.065840006,0.65578,6.2094536,0.92602384
2707N: Failed States Index Total - Fund for Peace,2715: Human Rights - Fund for Peace,0.63463,-0.17529374,0.06318003,0.63463,6.044394,0.89995766
2707N: Failed States Index Total - Fund for Peace,2708: Demographic Pressures - Fund for Peace,0.63438,-0.17613614,0.04364997,0.63438,6.2094536,0.9002867
2707N: Failed States Index Total - Fund for Peace,0832: GNI per capita  (constant 2005 US$) - WDI,0.6284,-0.03861916,0.038779974,0.6284,6.0,-0.81671244
2707N: Failed States Index Total - Fund for Peace,0810: GDP per capita  (constant 2005 US$) - WDI,0.61853,-0.002910912,0.062759995,0.61606,6.2479277,-0.78831524
2707N: Failed States Index Total - Fund for Peace,2713: Legitimacy of the State - Fund for Peace,0.61761,-0.24699348,0.04004997,0.61757,6.2479277,0.92984056
2707N: Failed States Index Total - Fund for Peace,0642: Secure Internet servers  (per 1 million people) - WDI,0.60733,0.19353724,0.034579992,0.60733,6.087463,-0.6432673
2707N: Failed States Index Total - Fund for Peace,0781: Adjusted net national income per capita  (current US$) - WDI,0.60064,-0.050153613,0.029170007,0.60064,6.087463,-0.8067178
2707N: Failed States Index Total - Fund for Peace,0379: Electric power consumption  (kWh per capita) - WDI,0.59934,0.21460766,0.102540016,0.59601,6.044394,-0.620268
2707N: Failed States Index Total - Fund for Peace,1098: Health expenditure per capita  (current US$) - WDI,0.58269,-0.007289648,0.03665003,0.58269,6.2479277,-0.76810133
