@relation MINE-Indicator-2006TO2013-0808

@attribute XVar string
@attribute YVar string
@attribute MIC numeric
@attribute MIC-p2 numeric
@attribute MAS numeric
@attribute MEV numeric
@attribute MCN numeric
@attribute p numeric

@data
'0808N: GDP per capita  (current US$) - WDI','0808: GDP per capita  (current US$) - WDI',0.99312,0.0095620155,0.019819975,0.99223,6.491853,0.99174494
'0808N: GDP per capita  (current US$) - WDI','0830: GNI per capita; Atlas method  (current US$) - WDI',0.97432,0.015314579,0.019450009,0.97282,6.4594316,0.9792882
'0808N: GDP per capita  (current US$) - WDI','0781: Adjusted net national income per capita  (current US$) - WDI',0.95358,-0.001196742,0.020330012,0.95358,6.357552,0.9771268
'0808N: GDP per capita  (current US$) - WDI','0832: GNI per capita  (constant 2005 US$) - WDI',0.94568,-0.009329259,0.025770009,0.94409,6.2094536,0.97724575
'0808N: GDP per capita  (current US$) - WDI','0836: GNI per capita; PPP  (constant 2011 international $) - WDI',0.94328,0.09967494,0.021950006,0.94328,6.2479277,0.91847974
'0808N: GDP per capita  (current US$) - WDI','0810: GDP per capita  (constant 2005 US$) - WDI',0.93127,-0.036394477,0.026409984,0.93127,6.4594316,0.9836994
'0808N: GDP per capita  (current US$) - WDI','0813: GDP per capita; PPP  (current international $) - WDI',0.92972,0.11785388,0.025510013,0.92859,6.4594316,0.90103614
'0808N: GDP per capita  (current US$) - WDI','0814: GDP per capita; PPP  (constant 2011 international $) - WDI',0.92601,0.10922462,0.039579988,0.92472,6.4594316,0.9037618
'0808N: GDP per capita  (current US$) - WDI','0782: Adjusted net national income per capita  (constant 2005 US$) - WDI',0.92524,-0.025021315,0.018340051,0.92524,6.169925,0.97481346
'0808N: GDP per capita  (current US$) - WDI','0835: GNI per capita; PPP  (current international $) - WDI',0.91822,0.109739184,0.01827997,0.91698,6.4594316,0.8991556
'0808N: GDP per capita  (current US$) - WDI','0677: Household final consumption expenditure per capita  (constant 2005 US$) - WDI',0.8628,0.04719937,0.027800024,0.8628,6.2094536,0.9031061
'0808N: GDP per capita  (current US$) - WDI','1098: Health expenditure per capita  (current US$) - WDI',0.83758,0.06575233,0.022899985,0.83758,6.426265,0.87853724
'0808N: GDP per capita  (current US$) - WDI','1099: Health expenditure per capita; PPP  (constant 2011 international $) - WDI',0.83739,0.07977611,0.020139992,0.83739,6.426265,0.8704102
'0808N: GDP per capita  (current US$) - WDI','1167: GDP per person employed  (constant 2011 PPP $) - WDI',0.82089,0.07419127,0.026029944,0.81927,6.3923173,0.8641173
'0808N: GDP per capita  (current US$) - WDI','0736: Agriculture; value added  (% of GDP) - WDI',0.7797,0.49401757,0.055980027,0.7797,6.3923173,-0.5344927
'0808N: GDP per capita  (current US$) - WDI','0379: Electric power consumption  (kWh per capita) - WDI',0.76581,0.2278881,0.05541998,0.76581,6.169925,0.7334316
'0808N: GDP per capita  (current US$) - WDI','0454: Automated teller machines (ATMs)  (per 100;000 adults) - WDI',0.71319,0.29083255,0.07673001,0.71319,6.357552,0.64989036
'0808N: GDP per capita  (current US$) - WDI','0380: Energy use  (kg of oil equivalent per capita) - WDI',0.71146,0.21535107,0.05179,0.70877,6.2479277,0.70435
'0808N: GDP per capita  (current US$) - WDI','1433: Air and GHG emissions - CO2 (TONNE_CAP) - OECD',0.68288,0.22900671,0.07258999,0.68288,6.0,0.67370117
'0808N: GDP per capita  (current US$) - WDI','0638: Fixed telephone subscriptions  (per 100 people) - WDI',0.68204,0.11454505,0.028890014,0.68204,6.4594316,0.7533226
'0808N: GDP per capita  (current US$) - WDI','1028: Mortality rate; under-5  (per 1;000 live births) - WDI',0.68109,0.46011573,0.09605998,0.67902,6.4594316,-0.470079
'0808N: GDP per capita  (current US$) - WDI','1899: Percentage of Individuals using the Internet (%) - ITU',0.68092,0.14987767,0.06560999,0.67892,6.321928,0.7287265
'0808N: GDP per capita  (current US$) - WDI','1898: Fixed-telephone subscriptions per 100 inhabitants - ITU',0.68006,0.13373548,0.037370026,0.67757,6.321928,0.7391377
'0808N: GDP per capita  (current US$) - WDI','0643: Internet users  (per 100 people) - WDI',0.67488,0.12562305,0.061690032,0.67488,6.4594316,0.7411187
'0808N: GDP per capita  (current US$) - WDI','1283: Mortality rate; infant  (per 1;000 live births) - WDI',0.67409,0.4125588,0.09354001,0.67203,6.4594316,-0.51140124
'0808N: GDP per capita  (current US$) - WDI','1031: Mortality rate; neonatal  (per 1;000 live births) - WDI',0.67031,0.36592892,0.100140035,0.6684,6.4594316,-0.55170745
'0808N: GDP per capita  (current US$) - WDI','2714: Public Services - Fund for Peace',0.66859,0.07190579,0.08195001,0.66859,6.2094536,-0.77245337
'0808N: GDP per capita  (current US$) - WDI','1901: Fixed-broadband subscriptions per 100 inhabitants - ITU',0.66783,0.07736409,0.019160002,0.66783,6.2479277,0.7684178
'0808N: GDP per capita  (current US$) - WDI','0642: Secure Internet servers  (per 1 million people) - WDI',0.66099,0.14273798,0.023360014,0.66099,6.426265,0.7198972
'0808N: GDP per capita  (current US$) - WDI','0640: Fixed broadband subscriptions  (per 100 people) - WDI',0.65584,0.045699716,0.01868999,0.65416,6.426265,0.78111476
'0808N: GDP per capita  (current US$) - WDI','2712: Poverty and Economic Decline - Fund for Peace',0.65483,0.1222797,0.09037,0.65483,6.2094536,-0.7297604
'0808N: GDP per capita  (current US$) - WDI','0353: Agriculture value added per worker  (constant 2005 US$) - WDI',0.64157,0.119814396,0.057669997,0.61146,6.33985,0.7223265
