@relation MINE-Indicator-2006TO2013-0808_clustered

@attribute Instance_number numeric
@attribute XVar string
@attribute YVar string
@attribute MIC numeric
@attribute MIC-p2 numeric
@attribute MAS numeric
@attribute MEV numeric
@attribute MCN numeric
@attribute p numeric
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5}

@data
0,'0808N: GDP per capita  (current US$) - WDI','0808: GDP per capita  (current US$) - WDI',0.99312,0.009562,0.01982,0.99223,6.491853,0.991745,cluster3
1,'0808N: GDP per capita  (current US$) - WDI','0830: GNI per capita; Atlas method  (current US$) - WDI',0.97432,0.015315,0.01945,0.97282,6.459432,0.979288,cluster3
2,'0808N: GDP per capita  (current US$) - WDI','0781: Adjusted net national income per capita  (current US$) - WDI',0.95358,-0.001197,0.02033,0.95358,6.357552,0.977127,cluster3
3,'0808N: GDP per capita  (current US$) - WDI','0832: GNI per capita  (constant 2005 US$) - WDI',0.94568,-0.009329,0.02577,0.94409,6.209454,0.977246,cluster3
4,'0808N: GDP per capita  (current US$) - WDI','0836: GNI per capita; PPP  (constant 2011 international $) - WDI',0.94328,0.099675,0.02195,0.94328,6.247928,0.91848,cluster3
5,'0808N: GDP per capita  (current US$) - WDI','0810: GDP per capita  (constant 2005 US$) - WDI',0.93127,-0.036394,0.02641,0.93127,6.459432,0.983699,cluster3
6,'0808N: GDP per capita  (current US$) - WDI','0813: GDP per capita; PPP  (current international $) - WDI',0.92972,0.117854,0.02551,0.92859,6.459432,0.901036,cluster3
7,'0808N: GDP per capita  (current US$) - WDI','0814: GDP per capita; PPP  (constant 2011 international $) - WDI',0.92601,0.109225,0.03958,0.92472,6.459432,0.903762,cluster3
8,'0808N: GDP per capita  (current US$) - WDI','0782: Adjusted net national income per capita  (constant 2005 US$) - WDI',0.92524,-0.025021,0.01834,0.92524,6.169925,0.974813,cluster3
9,'0808N: GDP per capita  (current US$) - WDI','0835: GNI per capita; PPP  (current international $) - WDI',0.91822,0.109739,0.01828,0.91698,6.459432,0.899156,cluster3
10,'0808N: GDP per capita  (current US$) - WDI','0677: Household final consumption expenditure per capita  (constant 2005 US$) - WDI',0.8628,0.047199,0.0278,0.8628,6.209454,0.903106,cluster3
11,'0808N: GDP per capita  (current US$) - WDI','1098: Health expenditure per capita  (current US$) - WDI',0.83758,0.065752,0.0229,0.83758,6.426265,0.878537,cluster3
12,'0808N: GDP per capita  (current US$) - WDI','1099: Health expenditure per capita; PPP  (constant 2011 international $) - WDI',0.83739,0.079776,0.02014,0.83739,6.426265,0.87041,cluster3
13,'0808N: GDP per capita  (current US$) - WDI','1167: GDP per person employed  (constant 2011 PPP $) - WDI',0.82089,0.074191,0.02603,0.81927,6.392317,0.864117,cluster3
14,'0808N: GDP per capita  (current US$) - WDI','0736: Agriculture; value added  (\% of GDP) - WDI',0.7797,0.494018,0.05598,0.7797,6.392317,-0.534493,cluster5
15,'0808N: GDP per capita  (current US$) - WDI','0379: Electric power consumption  (kWh per capita) - WDI',0.76581,0.227888,0.05542,0.76581,6.169925,0.733432,cluster3
16,'0808N: GDP per capita  (current US$) - WDI','0454: Automated teller machines (ATMs)  (per 100;000 adults) - WDI',0.71319,0.290833,0.07673,0.71319,6.357552,0.64989,cluster3
17,'0808N: GDP per capita  (current US$) - WDI','0380: Energy use  (kg of oil equivalent per capita) - WDI',0.71146,0.215351,0.05179,0.70877,6.247928,0.70435,cluster3
18,'0808N: GDP per capita  (current US$) - WDI','1433: Air and GHG emissions - CO2 (TONNE_CAP) - OECD',0.68288,0.229007,0.07259,0.68288,6,0.673701,cluster3
19,'0808N: GDP per capita  (current US$) - WDI','0638: Fixed telephone subscriptions  (per 100 people) - WDI',0.68204,0.114545,0.02889,0.68204,6.459432,0.753323,cluster3
20,'0808N: GDP per capita  (current US$) - WDI','1028: Mortality rate; under-5  (per 1;000 live births) - WDI',0.68109,0.460116,0.09606,0.67902,6.459432,-0.470079,cluster5
21,'0808N: GDP per capita  (current US$) - WDI','1899: Percentage of Individuals using the Internet (\%) - ITU',0.68092,0.149878,0.06561,0.67892,6.321928,0.728727,cluster3
22,'0808N: GDP per capita  (current US$) - WDI','1898: Fixed-telephone subscriptions per 100 inhabitants - ITU',0.68006,0.133735,0.03737,0.67757,6.321928,0.739138,cluster3
23,'0808N: GDP per capita  (current US$) - WDI','0643: Internet users  (per 100 people) - WDI',0.67488,0.125623,0.06169,0.67488,6.459432,0.741119,cluster3
24,'0808N: GDP per capita  (current US$) - WDI','1283: Mortality rate; infant  (per 1;000 live births) - WDI',0.67409,0.412559,0.09354,0.67203,6.459432,-0.511401,cluster5
25,'0808N: GDP per capita  (current US$) - WDI','1031: Mortality rate; neonatal  (per 1;000 live births) - WDI',0.67031,0.365929,0.10014,0.6684,6.459432,-0.551707,cluster5
26,'0808N: GDP per capita  (current US$) - WDI','2714: Public Services - Fund for Peace',0.66859,0.071906,0.08195,0.66859,6.209454,-0.772453,cluster5
27,'0808N: GDP per capita  (current US$) - WDI','1901: Fixed-broadband subscriptions per 100 inhabitants - ITU',0.66783,0.077364,0.01916,0.66783,6.247928,0.768418,cluster3
28,'0808N: GDP per capita  (current US$) - WDI','0642: Secure Internet servers  (per 1 million people) - WDI',0.66099,0.142738,0.02336,0.66099,6.426265,0.719897,cluster3
29,'0808N: GDP per capita  (current US$) - WDI','0640: Fixed broadband subscriptions  (per 100 people) - WDI',0.65584,0.0457,0.01869,0.65416,6.426265,0.781115,cluster3
30,'0808N: GDP per capita  (current US$) - WDI','2712: Poverty and Economic Decline - Fund for Peace',0.65483,0.12228,0.09037,0.65483,6.209454,-0.72976,cluster5
31,'0808N: GDP per capita  (current US$) - WDI','0353: Agriculture value added per worker  (constant 2005 US$) - WDI',0.64157,0.119814,0.05767,0.61146,6.33985,0.722327,cluster3
32,'0808N: GDP per capita  (current US$) - WDI','1035: Improved water source  (\% of population with access) - WDI',0.64099,0.435539,0.07374,0.64099,6.426265,0.453267,cluster3
33,'0808N: GDP per capita  (current US$) - WDI','0898: Pupil-teacher ratio; primary - WDI',0.63729,0.38115,0.03188,0.63729,6.209454,-0.506103,cluster5
34,'0808N: GDP per capita  (current US$) - WDI','1289: Survival to age 65; female  (\% of cohort) - WDI',0.63594,0.338389,0.06183,0.63594,6.426265,0.545483,cluster3
35,'0808N: GDP per capita  (current US$) - WDI','1295: Population ages 0-14  (\% of total) - WDI',0.62717,0.265649,0.06821,0.62717,6.426265,-0.601266,cluster5
36,'0808N: GDP per capita  (current US$) - WDI','1058: Improved sanitation facilities  (\% of population with access) - WDI',0.61377,0.344458,0.04114,0.61377,6.426265,0.518953,cluster3
37,'0808N: GDP per capita  (current US$) - WDI','0773: Adjusted savings: particulate emission damage  (\% of GNI) - WDI',0.61031,0.404083,0.06726,0.61031,6.357552,-0.454123,cluster5
38,'0808N: GDP per capita  (current US$) - WDI','1300: Age dependency ratio; young  (\% of working-age population) - WDI',0.61005,0.294079,0.06123,0.61005,6.426265,-0.562113,cluster5
39,'0808N: GDP per capita  (current US$) - WDI','1285: Life expectancy at birth; female  (years) - WDI',0.60343,0.278787,0.04305,0.60164,6.459432,0.569775,cluster3
40,'0808N: GDP per capita  (current US$) - WDI','2708: Demographic Pressures - Fund for Peace',0.60183,0.05112,0.07631,0.60183,6.209454,-0.742098,cluster5
41,'0808N: GDP per capita  (current US$) - WDI','1051: Lifetime risk of maternal death  (\%) - WDI',0.5989,0.45906,0.02959,0.59686,6.426265,-0.373951,cluster5
42,'0808N: GDP per capita  (current US$) - WDI','1050: Lifetime risk of maternal death  (1 in: rate varies by country) - WDI',0.59875,0.18796,0.04157,0.59672,6.426265,0.640929,cluster3
43,'0808N: GDP per capita  (current US$) - WDI','1286: Life expectancy at birth; total  (years) - WDI',0.59349,0.238158,0.04444,0.59153,6.459432,0.596097,cluster3
44,'0808N: GDP per capita  (current US$) - WDI','1333: Tariff rate; most favored nation; simple mean; manufactured products  (\%) - WDI',0.59317,0.394442,0.09768,0.59317,6.044394,-0.44579,cluster5
45,'0808N: GDP per capita  (current US$) - WDI','0952: School enrollment; secondary  (\% gross) - WDI',0.59235,0.288825,0.02977,0.5904,6.247928,0.550931,cluster3
46,'0808N: GDP per capita  (current US$) - WDI','0954: School enrollment; secondary; male  (\% gross) - WDI',0.58326,0.25951,0.03232,0.58326,6.209454,0.568991,cluster3
47,'0808N: GDP per capita  (current US$) - WDI','0953: School enrollment; secondary; female  (\% gross) - WDI',0.58319,0.30387,0.02439,0.58319,6.209454,0.528508,cluster3
48,'0808N: GDP per capita  (current US$) - WDI','1071: Maternal mortality ratio  (modeled estimate; per 100;000 live births) - WDI',0.57645,0.397763,0.05312,0.57645,6.357552,-0.422714,cluster5
49,'0808N: GDP per capita  (current US$) - WDI','1278: Birth rate; crude  (per 1;000 people) - WDI',0.57606,0.295327,0.037,0.57606,6.459432,-0.529843,cluster5
50,'0808N: GDP per capita  (current US$) - WDI','1276: Mortality rate; adult; female  (per 1;000 female adults) - WDI',0.57558,0.349524,0.04905,0.57558,6.392317,-0.475454,cluster5
51,'0808N: GDP per capita  (current US$) - WDI','0979: School enrollment; tertiary; female  (\% gross) - WDI',0.56965,0.34884,0.06824,0.56965,6.044394,0.469904,cluster3
52,'0808N: GDP per capita  (current US$) - WDI','1095: External resources for health  (\% of total expenditure on health) - WDI',0.56954,0.479968,0.04326,0.56708,6.285402,-0.299286,cluster5
53,'0808N: GDP per capita  (current US$) - WDI','2707: Failed States Index Total - Fund for Peace',0.56783,-0.032096,0.03487,0.56783,6.209454,-0.774549,cluster5
54,'0808N: GDP per capita  (current US$) - WDI','2706: Failed States Index Rank - Fund for Peace',0.56499,0.091582,0.02158,0.56499,6.044394,0.688046,cluster3
55,'0808N: GDP per capita  (current US$) - WDI','1060: Improved sanitation facilities; urban  (\% of urban population with access) - WDI',0.55829,0.333051,0.04909,0.55503,6.442944,0.474593,cluster3
56,'0808N: GDP per capita  (current US$) - WDI','0973: Secondary education; teachers  (\% female) - WDI',0.55814,0.465469,0.03568,0.55814,5.954197,0.304419,cluster5
57,'0808N: GDP per capita  (current US$) - WDI','1287: Life expectancy at birth; male  (years) - WDI',0.55742,0.176875,0.02894,0.5536,6.442944,0.616883,cluster3
58,'0808N: GDP per capita  (current US$) - WDI','1297: Population ages 65 and above  (\% of total) - WDI',0.55559,0.224125,0.08035,0.55559,6.426265,0.57573,cluster3
59,'0808N: GDP per capita  (current US$) - WDI','1059: Improved sanitation facilities; rural  (\% of rural population with access) - WDI',0.55316,0.223626,0.06053,0.55316,6.426265,0.57405,cluster3
60,'0808N: GDP per capita  (current US$) - WDI','0322: Net ODA received  (\% of imports of goods; services and primary income) - WDI',0.5519,0.424365,0.0429,0.5519,6.129283,-0.357121,cluster5
61,'0808N: GDP per capita  (current US$) - WDI','1290: Survival to age 65; male  (\% of cohort) - WDI',0.54849,0.156676,0.06625,0.54849,6.426265,0.625951,cluster3
62,'0808N: GDP per capita  (current US$) - WDI','1288: Fertility rate; total  (births per woman) - WDI',0.54035,0.329254,0.02817,0.53857,6.459432,-0.459452,cluster5
63,'0808N: GDP per capita  (current US$) - WDI','0978: School enrollment; tertiary  (\% gross) - WDI',0.53867,0.31105,0.04027,0.53598,6.169925,0.477095,cluster3
64,'0808N: GDP per capita  (current US$) - WDI','2704: Corruption perceptions index - Transparency',0.53861,-0.099248,0.04157,0.53611,6.247928,0.79866,cluster3
