Year,Mean Absolute Error,Time Spent (s),Error for each fold
1997,-11.362431468982532,1.0799999237060547,[-12.38974619 -10.58685301 -13.00690896 -11.8932429   -8.93540628]
1998,-4.6585900043458421,0.9749999046325684,[-5.09656521 -4.44765412 -5.09539501 -3.60235719 -5.0509785 ]
1999,-3.5848227898967324,0.9880001544952393,[-4.7964964  -3.36449171 -2.1904183  -4.08662877 -3.48607877]
2000,-4.5137360934685464,1.1710000038146973,[-5.53497208 -4.17523499 -4.77388568 -4.77555554 -3.30903218]
2001,-3.9206825942590724,1.0750000476837158,[-5.08787157 -4.24109105 -3.66385572 -3.80907295 -2.80152168]
2002,-5.1538543887236896,1.0179998874664307,[-4.37776215 -5.06665823 -5.0771254  -6.36298375 -4.88474242]
2003,-4.1042306403240314,1.0499999523162842,[-4.76147272 -3.86394596 -3.72173855 -3.57575093 -4.59824504]
2004,-3.0124288486485993,1.1000001430511475,[-2.99001007 -3.36287661 -3.25629816 -2.73401128 -2.71894813]
2005,-3.4259553744057145,1.3509998321533203,[-3.25791188 -3.4729986  -3.74972618 -3.2317342  -3.41740601]
2006,-4.2790765947075773,1.562000036239624,[-3.93802194 -3.91262698 -4.60026575 -3.70267892 -5.24178939]
2007,-3.1550948537599162,1.3350000381469727,[-3.59657778 -3.09546706 -2.4625467  -3.39590655 -3.22497619]
2008,-3.108098710445014,1.4839999675750732,[-3.43478602 -3.15796245 -3.07176138 -3.60045667 -2.27552704]
2009,-2.6448522225086686,1.4049999713897705,[-3.04991801 -2.45228116 -2.80019456 -2.95226957 -1.96959782]
2010,-3.4674195141760515,1.6180000305175781,[-3.91403878 -3.25235349 -2.83635976 -3.73004984 -3.60429571]
2011,-3.378984558072438,1.433000087738037,[-3.57471926 -3.35512508 -3.04397508 -2.98138516 -3.93971821]
2012,-2.7558658044591273,1.3929998874664307,[-2.03105398 -2.95547675 -2.91227441 -2.53953844 -3.34098544]
2013,-2.5364918041468267,1.3240001201629639,[-2.66605694 -2.4866671  -1.91541291 -2.67982466 -2.93449742]
2014,-2.4649596021089706,1.2699999809265137,[-2.44274914 -2.7597102  -2.2898308  -2.58699341 -2.24551447]
