Year,Mean Absolute Error,Time Spent (s),Error for each fold
1960,-114.17788852355088,0.2709999084472656,[-133.29439637 -118.03811351 -106.28598778 -116.26399055  -97.00695441]
1961,-171.71650885215223,0.27500009536743164,[-217.62519845 -134.67218415 -141.17498948 -186.41981871 -178.69035347]
1962,-188.77233780485125,0.30699992179870605,[-234.08078475 -136.52275804 -156.51291436 -206.02443624 -210.72079564]
1963,-221.81051029378631,0.2820000648498535,[-260.05303819 -149.8967906  -203.54207781 -253.12080525 -242.43983962]
1964,-276.47910939703388,0.3229999542236328,[-295.09754465 -179.12146434 -368.91951127 -297.32906508 -241.92796164]
1965,-207.21698740372744,0.30500006675720215,[-178.83776943 -140.26452638 -312.46381329 -239.71670162 -164.8021263 ]
1966,-334.7644052335379,0.3039999008178711,[-385.93305849 -228.87013918 -448.1000915  -302.73860426 -308.18013274]
1967,-326.10276121145409,0.3450000286102295,[-363.66548143 -223.83701521 -373.41137651 -340.2717205  -329.32821241]
1968,-329.9737940931285,0.31100010871887207,[-371.12830682 -235.09121806 -365.15399838 -326.70684588 -351.78860133]
1969,-559.00466852101977,0.30900001525878906,[-441.7870992  -373.05423963 -951.08995419 -547.71883547 -481.37321412]
1970,-478.95345814919966,0.687000036239624,[-365.9850721  -300.61030794 -948.53395471 -460.36687379 -319.2710822 ]
1971,-613.2398607972184,0.5979998111724854,[ -477.0283452   -409.70975462 -1205.47148085  -406.00358993  -567.98613339]
1972,-749.02902120778276,0.5860002040863037,[ -591.35795629  -527.84224598 -1464.55388189  -522.66818842  -638.72283347]
1973,-1049.5824698741194,0.5389997959136963,[-1059.23353638  -662.18133891 -1888.54718802  -912.8414367   -725.10884935]
1974,-1253.193338882747,0.5600001811981201,[-1502.32155934  -871.99979914 -2271.36358867  -745.77422833  -874.50751893]
1975,-1386.7747407919851,0.5399999618530273,[-1605.87668496 -1085.93543781 -2279.71634728 -1145.53702175  -816.80821216]
1976,-1471.0485255993431,0.5669999122619629,[-1664.85857808 -1222.80263934 -2519.48366704 -1093.84255242  -854.25519112]
1977,-1785.6132527539653,0.5850000381469727,[-1997.28111508 -1672.75454257 -2773.90456635 -1490.31480934  -993.81123042]
1978,-2064.8592394477864,0.5250000953674316,[-2690.02417704 -1411.68011847 -3320.30079551 -1734.97470146 -1167.31640476]
1979,-2244.198609808233,0.5529999732971191,[-3065.63217606 -1749.00794675 -3514.65905911 -1363.79912984 -1527.89473728]
1980,-2159.0025265447689,0.7769999504089355,[-2353.89442343 -3120.2092681  -3127.52314922 -1066.20345528 -1127.1823367 ]
1981,-1867.2794596787382,0.6600000858306885,[-2369.78470636 -1194.01347194 -3027.26825654 -1587.0974982  -1158.23336535]
1982,-1803.7267201926556,0.7309999465942383,[-2067.72493807 -1665.2822452  -2504.07161647 -1779.45347241 -1002.10132881]
1983,-1591.686010135661,0.6749999523162842,[-1792.34084809 -1589.73946131 -2293.69425868 -1337.24006181  -945.41542079]
1984,-1567.3934385586931,0.6440000534057617,[-1743.9270884  -1444.33789226 -2087.61466    -1562.60554874  -998.4820034 ]
1985,-1902.3218625225868,0.7890000343322754,[-2000.1357656  -1770.31431808 -3016.89701543 -1493.51375925 -1230.74845426]
1986,-2388.4270368519692,0.7199997901916504,[-2575.28104489 -2187.53579516 -3611.70831399 -1813.52979681 -1754.08023341]
1987,-2570.4535689782292,0.7160000801086426,[-2678.10206604 -2072.05431237 -4089.22916594 -2144.61691057 -1868.26538996]
1988,-2446.6823119415308,0.7309999465942383,[-2612.4176571  -1996.11312639 -4038.59981792 -1806.87228738 -1779.40867091]
1989,-2954.907612849413,0.7060000896453857,[-3502.1715554  -2061.61289797 -5085.33231166 -2107.81138129 -2017.60991792]
1990,-2931.2450283142307,0.9960000514984131,[-3748.71052202 -2041.26506068 -4753.94322695 -2251.10118588 -1861.20514603]
1991,-3068.9889841114264,0.8610000610351562,[-3983.29912026 -2180.98443831 -4681.79926711 -2287.66292874 -2211.19916614]
1992,-2411.3075557919847,0.7960000038146973,[-2883.67174983 -1938.85012116 -3771.55279925 -2011.24586083 -1451.21724788]
1993,-3035.5224234490656,0.8529999256134033,[-3865.26263212 -2811.28517189 -4232.71920765 -2321.76176142 -1946.58334416]
1994,-3724.0978904138597,0.8409998416900635,[-5446.84728209 -2944.77988613 -5417.18589005 -2609.96306602 -2201.71332779]
1995,-3108.473678442394,1.011000156402588,[-4569.78586127 -2567.32578168 -4475.63087485 -2068.90589191 -1860.71998251]
1996,-2941.1043549198503,0.8810000419616699,[-3814.06527613 -2425.4582305  -4309.60379111 -2246.04998882 -1910.34448805]
1997,-2928.6317144605869,0.9210000038146973,[-4302.28018755 -2351.64060483 -4023.64054554 -2249.87034152 -1715.72689287]
1998,-3553.4236246637311,0.9489998817443848,[-5132.00930184 -2957.23216323 -5026.66257432 -2266.51859916 -2384.69548477]
1999,-3593.127300743015,0.9490001201629639,[-4982.80432405 -3077.20250178 -5199.25349681 -2406.61274317 -2299.76343791]
2000,-3175.7827439743924,1.178999900817871,[-4083.57036785 -2397.69839359 -4823.11299617 -2617.05559689 -1957.47636538]
2001,-3298.3368018125097,1.0740001201629639,[-4247.4151791  -2315.14470859 -4983.86711493 -2918.66437272 -2026.59263372]
2002,-4037.9893509646281,1.0399999618530273,[-4873.50377882 -4055.43223822 -5550.23228899 -3184.36352553 -2526.41492326]
2003,-4389.1822373157547,1.128000020980835,[-5204.64491791 -3640.69032396 -6285.1273354  -3629.92212841 -3185.5264809 ]
2004,-4548.1936598078137,1.128000020980835,[-5867.83765326 -3685.54629509 -6503.26624791 -3789.04822928 -2895.26987349]
2005,-5332.295722394234,1.4039998054504395,[-6673.69081965 -5136.23800979 -7533.48388218 -3698.97166542 -3619.09423494]
2006,-6437.7254268091519,1.3630001544952393,[-8508.56895543 -5243.86604581 -9252.77489992 -4738.59922726 -4444.81800563]
2007,-6803.5773453833417,1.3959999084472656,[-7645.3437176  -6867.68640216 -9625.06287877 -5390.06404559 -4489.72968279]
2008,-5111.9280283508824,1.428999900817871,[-5020.20833038 -4874.90619913 -8006.6376037  -4414.81293827 -3243.07507027]
2009,-5783.9882500653894,1.4120001792907715,[-5460.5816488  -5375.73991559 -9086.24246672 -5226.50757374 -3770.86964548]
