Year,Mean Absolute Error,Time Spent (s),Error for each fold
1960,-5.0977199295686253,0.3489999771118164,[-4.03882645 -8.1365076  -5.43396266 -3.47285925 -4.40644369]
1961,-4.1491352309964702,0.30699992179870605,[-3.13616214 -4.97192468 -5.47374228 -3.43970231 -3.72414474]
1962,-4.166758989460523,0.33500003814697266,[-3.54021864 -6.59129411 -5.26380628 -2.44437759 -2.99409833]
1963,-3.6109867961352959,0.29200005531311035,[-3.15043003 -2.69144982 -5.64853584 -2.95146242 -3.61305588]
1964,-6.4071090907167783,0.3299999237060547,[ -5.57450119  -4.72399299  -6.74322483 -10.87482138  -4.11900507]
1965,-3.4107202433145121,0.377000093460083,[-2.88857086 -4.14707228 -3.37353831 -2.8184885  -3.82593126]
1966,-4.4941464408835525,0.2909998893737793,[-3.23681769 -4.38035246 -6.05377468 -5.60348304 -3.19630433]
1967,-5.4463909954636325,0.2950000762939453,[-4.56439936 -5.27471665 -7.9118076  -5.72272778 -3.75830358]
1968,-7.4433269521204748,0.33299994468688965,[ -3.06948585 -23.05514811  -3.09185461  -3.826179    -4.17396718]
1969,-7.0898053200200888,0.29200005531311035,[ -4.10177123 -20.48548315  -2.97673248  -3.87192851  -4.01311123]
1970,-5.3659714204167086,0.5479998588562012,[ -3.04682451  -2.97897498 -14.0203551   -3.6598663   -3.1238362 ]
1971,-4.1459923876350739,0.5200002193450928,[-4.06630795 -3.58941557 -4.35455487 -3.6373207  -5.08236284]
1972,-9.3646686389647833,0.562999963760376,[ -3.496136    -9.3435669  -25.32531717  -4.48230696  -4.17601616]
1973,-6.2918410604416088,0.5139999389648438,[ -4.00152314  -4.01393742 -12.816781    -5.81883377  -4.80812998]
1974,-7.1692788757547579,0.5199999809265137,[ -4.98670996  -5.35490921 -16.20120837  -4.60842991  -4.69513693]
1975,-5.7814794216957957,0.5439999103546143,[ -4.96237184  -3.99491477 -10.41106729  -4.61572909  -4.92331412]
1976,-4.4093010342194301,0.5520000457763672,[-3.85597622 -4.76560019 -5.88737681 -2.60493657 -4.93261538]
1977,-4.1626664150647503,0.5470001697540283,[-4.65603421 -4.25569386 -4.08981997 -3.94616884 -3.8656152 ]
1978,-4.7347133950434399,0.5739998817443848,[-3.94056859 -4.24994026 -6.7571423  -4.21847821 -4.50743761]
1979,-8.3524665138770864,0.5499999523162842,[ -4.92579132  -5.80855112 -21.85023123  -3.83093423  -5.34682467]
1980,-6.1046315159831117,0.7760000228881836,[ -4.96720906  -4.13953276 -14.2586138   -4.037777    -3.12002497]
1981,-4.9627668182095199,0.6480000019073486,[ -4.41067132  -3.56558034 -10.17809179  -2.77489388  -3.88459676]
1982,-4.0495025248239118,0.7060000896453857,[-3.36861573 -4.9356671  -4.60054075 -3.73581776 -3.60687128]
1983,-3.7813541635944858,0.682999849319458,[-3.44256186 -3.57278355 -4.68203861 -4.02895204 -3.18043476]
