Year,Mean Absolute Error,Time Spent (s),Error for each fold
2005,-1.5912519267822602,1.3440001010894775,[-1.6526738  -1.50619543 -1.52878728 -1.84688826 -1.42171486]
2006,-0.63145226284135425,1.3550000190734863,[-0.67022852 -0.63815315 -0.63266639 -0.54852838 -0.66768488]
2007,-0.38517911375219727,1.363999843597412,[-0.32499966 -0.4483385  -0.35275008 -0.39875033 -0.401057  ]
2008,-0.45957281857595217,1.498000144958496,[-0.38016052 -0.55510533 -0.40718762 -0.48714332 -0.4682673 ]
2009,-0.47544419844884456,1.3880000114440918,[-0.45184356 -0.53296352 -0.39808515 -0.44779136 -0.5465374 ]
2010,-0.55369829194020359,1.6459999084472656,[-0.52449028 -0.49184139 -0.44444465 -0.51133393 -0.79638121]
2011,-0.57293301505855276,1.437000036239624,[-0.53385755 -0.53713191 -0.53565776 -0.52031156 -0.7377063 ]
2012,-0.49936111535401029,1.4530000686645508,[-0.46530048 -0.48780404 -0.50908621 -0.40663594 -0.62797891]
2013,-0.47569828356827648,1.3899998664855957,[-0.46453021 -0.60791652 -0.45586146 -0.39512987 -0.45505335]
2014,-0.51001538202188734,1.378999948501587,[-0.52162972 -0.47399844 -0.51993784 -0.45629083 -0.57822008]
