Year,Mean Absolute Error,Time Spent (s),Error for each fold
1967,-3.5487873836536594,0.38700008392333984,[-3.05889989 -2.46546335 -3.62972731 -5.81201333 -2.77783303]
1972,-4.2045575350210029,0.5269999504089355,[-2.97158722 -3.5584094  -5.25038506 -5.00356084 -4.23884515]
1977,-4.0499620587496823,0.5339999198913574,[-4.04534578 -3.61076663 -3.95901904 -4.2719752  -4.36270364]
1980,-3.5200339332162947,0.8319997787475586,[-5.00949312 -2.91015857 -3.38450322 -3.59183421 -2.70418054]
1981,-3.6805021958740474,0.7290000915527344,[-4.592105   -3.5490381  -3.68634402 -2.91157856 -3.6634453 ]
1982,-3.8563409480693016,0.687999963760376,[-4.179735   -3.60952877 -3.30416512 -4.12243351 -4.06584233]
1983,-3.3966317697260235,0.7970001697540283,[-3.25888094 -3.14805274 -3.55244253 -4.0563292  -2.96745345]
1984,-3.3362409451585604,0.7059998512268066,[-3.72076097 -2.74453534 -3.23753432 -3.33134275 -3.64703134]
1985,-3.2201522782017782,0.809999942779541,[-3.56269322 -3.2341183  -3.47577107 -2.72524656 -3.10293224]
1986,-3.6559874929654561,0.814000129699707,[-4.00993909 -3.54913169 -3.07154886 -3.83014679 -3.81917104]
1987,-3.704767241611612,0.9479999542236328,[-3.52382058 -2.61244944 -4.11856012 -4.91231078 -3.35669528]
1988,-3.69020347329388,0.8350000381469727,[-3.45343229 -2.6993897  -5.43850172 -3.36647751 -3.49321615]
1989,-4.1788172355874114,0.749000072479248,[-3.79760476 -2.96638749 -6.34074169 -3.43110678 -4.35824546]
1990,-4.278580853477898,1.0829999446868896,[-4.41366049 -3.81887124 -6.37702602 -3.45911102 -3.3242355 ]
1991,-5.2565650265138633,0.8869998455047607,[-5.57668744 -4.92545777 -5.8660636  -4.31659668 -5.59801964]
1992,-4.1656550579870935,0.9470000267028809,[-4.87791674 -3.52460907 -4.32518865 -3.35201272 -4.74854812]
1993,-4.2107956381055498,0.8489999771118164,[-3.81453284 -3.60563494 -4.35278944 -3.91866974 -5.36235123]
1994,-3.1038198597303506,0.9810001850128174,[-3.8426177  -1.66868407 -2.91488195 -3.45012223 -3.64279336]
1995,-3.3161091026170224,1.0479998588562012,[-4.57881456 -3.7994118  -2.45548359 -2.34132405 -3.40551151]
1996,-4.1059215678653374,0.878000020980835,[-3.27806015 -5.18655214 -5.01470477 -2.85789999 -4.19239079]
1997,-3.1284154433161397,0.996999979019165,[-2.49486407 -3.41699754 -3.91571649 -2.76212746 -3.05237164]
1998,-3.0224940752332321,1.0280001163482666,[-3.16705412 -2.57971092 -3.24042708 -2.4852155  -3.64006276]
1999,-2.8664808827457073,0.9489998817443848,[-2.79990437 -2.5930183  -2.52399928 -2.92347177 -3.49201069]
2000,-2.8468769590735716,1.2940001487731934,[-2.67751419 -2.58722876 -2.8716901  -2.80040876 -3.29754298]
2001,-2.7868785167957792,1.0059998035430908,[-2.54212161 -2.33314475 -3.16741066 -2.23197147 -3.6597441 ]
2002,-3.1151123498680047,1.2170000076293945,[-2.91657573 -2.91745036 -4.41091599 -2.10719374 -3.22342593]
2003,-3.256956620307085,1.128000020980835,[-3.07633723 -3.31404465 -3.52015839 -3.16347042 -3.21077241]
2004,-2.6503714792727218,1.1779999732971191,[-3.43858904 -2.63823874 -2.7851083  -1.83646946 -2.55345185]
2005,-2.7385648294068305,1.4970002174377441,[-3.48044792 -2.42119733 -2.50481208 -2.43235055 -2.85401626]
2006,-2.9629990429238804,1.4399998188018799,[-4.37297629 -2.47639555 -2.68604815 -2.46071092 -2.8188643 ]
2007,-2.763755660374108,1.5529999732971191,[-2.73158866 -2.28064483 -2.78735951 -2.82347616 -3.19570914]
2008,-3.2582204690302801,1.5360000133514404,[-3.69187084 -2.68667857 -3.34456762 -2.96103901 -3.60694631]
2009,-2.756049667951463,1.5270001888275146,[-2.9181177  -2.56442077 -3.1338521  -2.50390203 -2.65995574]
2010,-2.9101092854464667,1.7739999294281006,[-2.12653785 -2.87767671 -3.48320923 -2.83414429 -3.22897835]
2011,-3.1051792302507004,1.5709998607635498,[-1.96202558 -2.77205814 -4.83518875 -2.38614798 -3.57047569]
2012,-2.4315663938367624,1.4140000343322754,[-2.79056732 -2.36746694 -2.85039418 -1.98159249 -2.16781104]
2013,-1.9196082533613144,1.562000036239624,[-1.58358916 -2.03426219 -2.48416143 -1.82404542 -1.67198307]
