Year,Mean Absolute Error,Time Spent (s),Error for each fold
1960,-25.558880285960289,0.3320000171661377,[-22.77778922 -28.86123328 -26.56138913 -15.27401661 -34.3199732 ]
1961,-35.228011153000381,0.27900004386901855,[-54.92606463 -35.10713409 -39.60180735 -21.48535752 -25.01969218]
1962,-23.234140590428403,0.32200002670288086,[-32.35061445 -26.48048512 -23.77312221 -12.73141748 -20.83506368]
1963,-27.991661520659409,0.29200005531311035,[-23.59386392 -17.42917304 -29.44125265 -23.23471763 -46.25930036]
1964,-142.27219865472503,0.2709999084472656,[-112.76598075  -94.18697219 -208.59696017 -194.41074754 -101.40033262]
1965,-28.103716709094744,0.31599998474121094,[-30.50894236 -22.16646407 -32.58555468 -25.01150537 -30.24611708]
1966,-45.884401138488457,0.28600001335144043,[-50.92401287 -32.82298441 -72.53735413 -32.17701627 -40.96063802]
1967,-62.85238502057409,0.31800007820129395,[-44.53007644 -46.41270101 -71.40857481 -96.30006035 -55.61051249]
1968,-41.365599131243712,0.3020000457763672,[-48.76015075 -28.37045271 -56.86294693 -45.99284173 -26.84160353]
1969,-356.39629679606958,0.30699992179870605,[-327.1953094  -242.39789202 -656.80260637 -272.29059173 -283.29508446]
1970,-71.135015416580188,0.5060000419616699,[ -55.10940175  -38.97550971  -79.70296602 -121.54919719  -60.33800242]
1971,-67.754967573251022,0.5539999008178711,[-71.91758316 -55.76835896 -79.86134504 -62.46755346 -68.75999724]
1972,-135.07341868030377,0.5110001564025879,[-126.32903012  -97.72425271 -195.64348491 -145.87222797 -109.79809769]
1973,-391.74313968309229,0.5199999809265137,[-314.15412577 -181.0214328  -698.66995147 -541.70686958 -223.16331879]
1974,-504.85824181576834,0.5109999179840088,[-1034.84101814  -250.28401172  -514.03784722  -366.8952339   -358.2330981 ]
1975,-166.32216325596255,0.5770001411437988,[-218.21234458 -162.78209087 -185.81126334 -193.8862443   -70.91887318]
1976,-168.26087474222484,0.5249998569488525,[-213.37890751 -171.81490986 -205.2064497  -170.71108777  -80.19301887]
1977,-383.51984498487184,0.5290000438690186,[-489.37390264 -240.17571419 -647.05804038 -402.50043885 -138.49112886]
1978,-249.63632911229146,0.5209999084472656,[-315.02208932 -111.82012697 -375.47342051 -301.77906406 -144.08694469]
1979,-593.40268627220632,0.5360000133514404,[-1203.02016334  -419.68837559  -580.69547432  -398.7554958   -364.8539223 ]
1980,-451.50080213925685,0.7720000743865967,[-666.77537984 -344.36182327 -544.34885058 -357.69114669 -344.32681031]
