Year,Mean Absolute Error,Time Spent (s),Error for each fold
2004,-6.3913631734673624,1.0959999561309814,[-7.11408679 -5.62568115 -6.41062862 -6.06412911 -6.7422902 ]
2005,-8.0516391464506789,1.3849999904632568,[ -7.92293466  -7.60075007  -7.70771587 -10.09124513  -6.93555   ]
2006,-3.8733716210584843,1.433000087738037,[-4.05974789 -3.28381281 -4.63996763 -4.1338135  -3.24951627]
2007,-1.3793997686340236,1.3680000305175781,[-1.20956567 -1.21668632 -1.27299466 -1.68150873 -1.51624346]
2008,-1.6262607346071516,1.4800000190734863,[-1.31475636 -1.73486617 -1.69459751 -1.53963448 -1.84744916]
2009,-1.2199226083585628,1.4059998989105225,[-1.19306637 -1.23394314 -1.17854488 -1.17213115 -1.3219275 ]
2010,-2.033630490389684,1.690999984741211,[-1.51541995 -1.99506088 -1.72575165 -2.21874082 -2.71317915]
2011,-1.7630116995707958,1.4900000095367432,[-1.26189606 -1.42741485 -1.93045067 -1.77602641 -2.41927051]
2012,-1.7670937396669575,1.4240000247955322,[-1.49690792 -1.38775965 -1.81557826 -1.81583525 -2.31938762]
2013,-1.3067411185591693,1.369999885559082,[-1.26651691 -1.33346679 -1.24403352 -1.35058328 -1.33910509]
2014,-1.6173611417093077,1.2770001888275146,[-1.28069768 -1.47391748 -1.6229676  -1.76317712 -1.94604582]
