Year,Mean Absolute Error,Time Spent (s),Error for each fold
2005,-2.1064185385412015,1.3509998321533203,[-2.01684948 -2.25000799 -1.90067093 -2.08100656 -2.28355774]
2006,-0.65728788236603852,1.5299999713897705,[-0.66346308 -0.53021447 -0.72704875 -0.67917633 -0.68653678]
2007,-0.42344818977221765,1.3470001220703125,[-0.40636586 -0.47455747 -0.49182087 -0.4204585  -0.32403825]
2008,-0.4530161037257,1.4779999256134033,[-0.26602225 -0.47268055 -0.58044893 -0.53164873 -0.41428006]
2009,-0.3881850056915056,1.4590001106262207,[-0.33197218 -0.46689251 -0.37571967 -0.39904633 -0.36729434]
2010,-0.50028158053356553,1.6559998989105225,[-0.28433984 -0.40302627 -0.54274493 -0.60277746 -0.66851941]
2011,-0.54348149472720675,1.568000078201294,[-0.39862013 -0.44189236 -0.5744121  -0.64135395 -0.66112894]
2012,-0.45121639860455193,1.4860000610351562,[-0.32404152 -0.38854843 -0.52898772 -0.51234473 -0.50215959]
2013,-0.43913094460631158,1.5349998474121094,[-0.43342918 -0.31973391 -0.52561366 -0.45420953 -0.46266844]
2014,-0.49067893070333818,1.3250000476837158,[-0.32380202 -0.35032575 -0.55735172 -0.70539536 -0.51651981]
