Year,Mean Absolute Error,Time Spent (s),Error for each fold
2001,-1210.1441148049475,0.9769999980926514,[-1728.86062151  -755.01091373 -1624.25920722  -890.9376071  -1051.65222447]
2002,-1114.2268633771955,1.121000051498413,[-1443.70425562  -848.57324355 -1557.67407962  -804.33218353  -916.85055456]
2003,-1637.6626604122744,1.1460001468658447,[-1969.87659346 -1168.6367372  -1825.59850768 -1885.59223609 -1338.60922763]
2004,-1142.0916019527835,1.1579999923706055,[-1311.99808576  -824.13092764 -1636.27768532 -1202.90709533  -735.14421572]
2005,-1190.4980066064193,1.426999807357788,[-1321.06744592  -995.10144434 -1862.15867973  -968.22266712  -805.93979592]
2006,-1110.1353425974964,1.4179999828338623,[-1278.1397751   -874.46517263 -1479.97402606  -893.01191007 -1025.08582912]
2007,-1300.725643549838,1.3560001850128174,[-1087.51914518 -1010.30238638 -1719.87410423 -1347.85093499 -1338.08164698]
2008,-1292.2646542858997,1.4019999504089355,[-1234.88949692  -990.94511461 -1703.54794144 -1233.97250284 -1297.96821563]
2009,-1269.5306570577384,1.4619998931884766,[ -917.36068244  -816.2070193  -1635.15043506 -1746.59619516 -1232.33895333]
2010,-1394.4830662280601,1.689000129699707,[ -945.2187721   -981.1347929  -2000.31174243 -1627.81754746 -1417.93247625]
2011,-1465.7871009812814,1.5069999694824219,[ -665.46005113 -1023.66822333 -1483.57182743 -2759.79077432 -1396.44462869]
