Year,Mean Absolute Error,Time Spent (s),Error for each fold
1997,-411.92311837336928,606.0650000572205,[-473.83240454 -346.91387848 -585.24159248 -329.01200754 -324.61570883]
1998,-362.71577761397828,859.930999994278,[-269.48373813 -319.96522588 -524.03272111 -454.04468457 -246.05251839]
1999,-456.53078858465807,636.074000120163,[-393.2069846  -438.46365615 -604.64023689 -584.6645828  -261.67848249]
2000,-488.90523412068376,1209.5949997901917,[-607.14862103 -398.13378553 -454.83517458 -332.91967287 -651.4889166 ]
2001,-366.45982450596466,1006.3860001564026,[-224.40076779 -271.95484368 -680.39029432 -297.04585236 -358.50736437]
2002,-485.44903044721798,4164.40700006485,[-374.97217195 -354.52485669 -330.86144275 -522.94527268 -843.94140817]
2003,-477.77596260890107,2694.21599984169,[-359.87927546 -424.88425463 -400.44740611 -442.95108646 -760.7177904 ]
2004,-672.74383751846904,2567.0810000896454,[-573.38612233 -681.18024504 -857.20170834 -633.28602102 -618.66509086]
2005,-472.88196173684116,4694.391000032425,[-476.56468793 -739.35834419 -557.29422955 -338.369827   -252.82272001]
2006,-480.84246535867788,1847.8049998283386,[-412.83490963 -386.7817548  -853.64804486 -515.42325983 -235.52435767]
2007,-584.0268444306264,2859.7770001888275,[-509.93654899 -771.24810399 -486.88047494 -492.80389468 -659.26519956]
2008,-594.2416538114486,2254.680999994278,[ -536.38001244  -452.79900829 -1115.09087796  -489.12191461  -377.81645575]
2009,-546.47194006238828,2339.8980000019073,[-590.81853972 -577.50255559 -597.03657108 -540.30786591 -426.69416802]
2010,-487.1849282977584,3325.0019998550415,[-352.95195467 -611.37822274 -540.221265   -340.18262878 -591.1905703 ]
2011,-655.22349638987305,3336.6449999809265,[-560.54494289 -557.20481223 -615.14271365 -820.91047342 -722.31453977]
2012,-671.82762466127099,2599.194000005722,[-724.12731049 -775.43196868 -770.73666884 -428.28763622 -660.55453907]
2013,-712.239320257347,2581.6130001544952,[-799.5114555  -643.169425   -466.08387615 -952.14355704 -700.28828761]
2014,-545.13819663475942,2219.4249999523163,[-335.8502746  -651.02588106 -379.15820769 -714.20563562 -645.45098421]
