Year,Mean Absolute Error,Time Spent (s),Error for each fold
2004,-2.3046421143776556,1.2110002040863037,[-2.13898836 -3.54015589 -2.60194607 -1.55282037 -1.68929987]
2005,-1.1814315101498365,1.3379998207092285,[-1.13564367 -1.17929717 -1.22257816 -1.29736187 -1.07227668]
2006,-0.7270891470923454,1.3880000114440918,[-0.71765968 -0.61834706 -1.09561895 -0.53578046 -0.66803959]
2007,-0.39327736469270702,1.3630001544952393,[-0.30690733 -0.43742401 -0.44538005 -0.39433871 -0.38233673]
2008,-0.46165948288461101,1.4159998893737793,[-0.48081389 -0.50855265 -0.42358011 -0.42753164 -0.46781913]
2009,-0.48597254552943214,1.4490001201629639,[-0.42491403 -0.49846192 -0.45763307 -0.45730351 -0.5915502 ]
2010,-0.60241924405583069,1.6689999103546143,[-0.65576529 -0.57080943 -0.54602955 -0.49657916 -0.74291279]
2011,-0.62146719893540148,1.4179999828338623,[-0.75705173 -0.58819315 -0.51971169 -0.57154358 -0.67083584]
2012,-0.56443715289740892,1.562000036239624,[-0.56410287 -0.47169642 -0.67912068 -0.49271804 -0.61454777]
2013,-0.54210323173558717,1.443000078201294,[-0.50849391 -0.55630507 -0.75460836 -0.41900302 -0.4721058 ]
2014,-0.54372405489263476,1.3469998836517334,[-0.50597479 -0.42354552 -0.64812304 -0.51371565 -0.62726127]
