Year,Mean Absolute Error,Time Spent (s),Error for each fold
2005,-1.7522508990207009,1.3439998626708984,[-2.013719   -1.81827165 -1.71754221 -1.68163208 -1.53008956]
2006,-1.0445116108067551,1.380000114440918,[-1.08896657 -0.90993029 -1.12622836 -1.11011431 -0.98731852]
2007,-0.8804234096425535,1.4040000438690186,[-0.85794936 -0.81982642 -0.91434611 -0.94300836 -0.8669868 ]
2008,-0.87605200515179793,1.4079999923706055,[-0.87525619 -0.89604807 -0.89374305 -0.90153993 -0.8136728 ]
2009,-0.86482568695852058,1.431999921798706,[-0.8274898  -0.90225805 -0.85593315 -0.84642119 -0.89202624]
2010,-0.93502572240442805,1.6670000553131104,[-0.84263459 -0.88279972 -0.94129091 -0.93488089 -1.07352251]
2011,-0.964661628028472,1.4709999561309814,[-0.90029087 -0.97385435 -0.96067841 -0.97507014 -1.01341436]
2012,-0.95477916213357383,1.4300000667572021,[-0.88196936 -0.86599744 -0.92719573 -0.963748   -1.13498529]
2013,-0.94295470006447779,1.3909997940063477,[-0.80520907 -1.07803838 -0.9008834  -0.90418188 -1.02646077]
2014,-0.99657574329090581,1.3510000705718994,[-0.9685072  -0.83482993 -1.09633964 -0.94445799 -1.13874396]
