Year,Mean Absolute Error,Time Spent (s),Error for each fold
2001,-750.53666684831603,1.0299999713897705,[-1079.30070334  -412.77386894 -1016.84482967  -608.54528909  -635.2186432 ]
2002,-465.49081802889413,1.0850000381469727,[-601.9480037  -324.18775477 -690.01394717 -234.37996655 -476.92441795]
2003,-1454.0355613748211,1.0959999561309814,[-1485.7272253   -928.21758559 -1422.62881473 -2714.48088022  -719.12330104]
2004,-813.38639074605646,1.1050000190734863,[ -764.54794439  -614.49091089 -1207.21004532  -833.88668634  -646.79636679]
2005,-837.81715088470787,1.309000015258789,[ -943.78530006  -665.20413317 -1123.74533675  -828.06791622  -628.28306822]
2006,-664.03080778902347,1.380000114440918,[-784.68702553 -413.31157433 -835.5398722  -769.09222235 -517.52334453]
2007,-943.08459083316029,1.3369998931884766,[ -904.0237089   -714.40243854 -1121.82255162 -1162.94386856  -812.23038654]
2008,-804.43742474573742,1.4179999828338623,[ -982.5211352   -544.38502186 -1090.52808344  -898.82383867  -505.92904456]
2009,-799.57153609729312,1.3670001029968262,[ -653.71354652  -738.54166835  -845.31164281 -1194.21486031  -566.07596251]
2010,-636.99944223844852,1.625,[-626.2328224  -483.17834533 -577.62121513 -896.83847899 -601.12634934]
2011,-772.40544351956783,1.4470000267028809,[-436.21443041 -780.41365673 -974.2941833  -942.98171069 -728.12323647]
