Year,Mean Absolute Error,Time Spent (s),Error for each fold
1997,-10.912865739901335,1.0199999809265137,[-12.69579186 -10.2879463  -11.9581104  -11.19208814  -8.430392  ]
1998,-10.108391621823928,1.121999979019165,[-11.43987508 -10.28541805  -9.42413904  -9.77155768  -9.62096825]
1999,-10.193290458101419,1.070000171661377,[-11.25391423  -8.68969292 -10.35713752 -11.68591716  -8.97979046]
2000,-8.7913885384856307,1.3279998302459717,[-10.48435621  -8.22517548  -7.88241025  -9.26610625  -8.09889449]
2001,-8.7130229337220388,1.1059999465942383,[-10.14942512  -8.06066701  -8.73772858  -8.30029805  -8.31699591]
2002,-8.7862395414328951,1.1400001049041748,[-10.9493012   -7.48324422  -7.99222803  -9.18233505  -8.3240892 ]
2003,-7.9053781306272795,1.0970001220703125,[-9.35426464 -6.68868144 -7.59224058 -7.75596145 -8.13574254]
2004,-7.1469629343692045,1.188999891281128,[-7.87292703 -6.77137625 -6.41537927 -7.3766429  -7.29848923]
2005,-6.8066203091201061,1.440000057220459,[-7.51180347 -5.9721655  -6.28712682 -7.2077575  -7.05424825]
2006,-7.0816630651070565,1.4549999237060547,[-7.78364832 -5.87270051 -6.89809641 -6.75706853 -8.09680156]
2007,-7.7151428290298423,1.3670001029968262,[-8.93272492 -6.26912548 -7.06417623 -7.63112038 -8.67856714]
2008,-7.486175334368113,1.4659998416900635,[-8.17922637 -6.4114953  -7.36069091 -7.6333454  -7.84611869]
2009,-7.3171908613296193,1.4620001316070557,[-8.45286777 -5.95441789 -7.0309417  -7.58799603 -7.55973093]
2010,-7.754551792531208,1.753999948501587,[-9.78581903 -6.12612825 -7.61064217 -7.44639859 -7.80377092]
2011,-8.2476597011185468,1.6160001754760742,[-9.1940536  -7.15449006 -8.67692624 -7.8484363  -8.3643923 ]
2012,-8.5435636699818609,1.4819998741149902,[-9.12199041 -7.27666338 -8.7073685  -8.33652971 -9.27526635]
2013,-8.4551293203660407,1.4100000858306885,[-9.3533639  -6.69519481 -8.00257233 -9.30100178 -8.92351378]
2014,-8.0954017349090126,1.4229998588562012,[-8.67431133 -6.33866007 -7.89695015 -8.89214053 -8.6749466 ]
