Year,Mean Absolute Error,Time Spent (s),Error for each fold
2004,-0.96670959140467294,1.2260000705718994,[-1.1713175  -1.28167259 -0.65939388 -1.0710014  -0.65016259]
2005,-1.0281328208180573,1.496000051498413,[-1.0951157  -0.9704111  -1.3210729  -0.90292432 -0.85114008]
2006,-0.67748930913145655,1.4619998931884766,[-0.61604662 -0.5464409  -0.84850427 -0.74747181 -0.62898294]
2007,-0.49178338513851916,1.5139999389648438,[-0.44184076 -0.4917547  -0.62954588 -0.56579835 -0.32997723]
2008,-0.53664439841400813,1.433000087738037,[-0.53321056 -0.57512779 -0.73118909 -0.44681497 -0.39687958]
2009,-0.53713284977334141,1.494999885559082,[-0.54335958 -0.47982281 -0.52472104 -0.68957683 -0.44818399]
2010,-0.61587179213656673,1.7630000114440918,[-0.49124349 -0.55919423 -0.9376663  -0.50015059 -0.59110435]
2011,-0.58659062666904904,1.4910001754760742,[-0.52163438 -0.63780621 -0.79034527 -0.48420335 -0.49896392]
2012,-0.56824969577100626,1.4609999656677246,[-0.52399423 -0.53901995 -0.63389603 -0.48996962 -0.65436865]
2013,-0.52795048299539038,1.434999942779541,[-0.340772   -0.48405917 -0.68521806 -0.44891079 -0.68079238]
2014,-0.63244879686151267,1.3239998817443848,[-0.54945234 -0.64414395 -0.77898449 -0.56260463 -0.62705858]
