Year,Mean Absolute Error,Time Spent (s),Error for each fold
2004,-1.3328668334090927,1.1319999694824219,[-1.125      -1.10721518 -1.69600564 -1.30133333 -1.43478002]
2005,-2.1489334309287571,1.3889999389648438,[-2.18589342 -2.33793103 -1.96077586 -2.05986824 -2.2001986 ]
2006,-1.9749812895245771,1.4350001811981201,[-2.01089325 -1.90237197 -1.95434402 -2.11523202 -1.89206519]
2007,-1.9609559994876844,1.316999912261963,[-2.09828283 -1.87470899 -1.87456583 -2.13786925 -1.8193531 ]
2008,-1.8892831630141322,1.4170000553131104,[-1.84526749 -1.87787013 -1.90883117 -2.03413534 -1.78031169]
2009,-1.8936988921280054,1.4179999828338623,[-1.98617143 -1.90291545 -1.84011429 -1.87462857 -1.86466472]
2010,-1.8840589548184365,1.7230000495910645,[-1.85       -1.88888889 -1.90833333 -1.94298137 -1.83009119]
2011,-1.8297265147288186,1.3829998970031738,[-1.7349537  -1.84123932 -1.88901099 -1.92468571 -1.75874285]
2012,-1.9043109144318879,1.3840000629425049,[-1.83425926 -1.87991453 -1.96802935 -1.99021978 -1.84913165]
2013,-1.8642507379342639,1.3339998722076416,[-1.72834467 -1.83291405 -1.9620915  -1.92812325 -1.86978022]
2014,-1.8986724245253654,1.2420001029968262,[-1.70972222 -1.78823529 -2.01394958 -2.18359788 -1.79785714]
