Year,Mean Absolute Error,Time Spent (s),Error for each fold
2001,-788.70983995189818,1.2569999694824219,[-1066.0931695   -461.68314635 -1039.78680016  -613.15830804  -762.82777571]
2002,-561.90606892930396,1.1369998455047607,[-661.88892956 -388.77619999 -899.63521129 -314.28572088 -544.94428293]
2003,-1576.5310341783756,1.128000020980835,[-1562.69181745 -1058.21904658 -1677.96081384 -2645.38936732  -938.3941257 ]
2004,-949.04041370335722,1.2400000095367432,[ -960.58483672  -554.96282    -1521.72289531  -928.86663696  -779.06487953]
2005,-902.99873603401466,1.4610002040863037,[-1067.14447226  -822.96629151 -1218.28649435  -783.65453182  -622.94189023]
2006,-698.31002912789222,1.4789998531341553,[ -798.03848037  -414.48794262 -1056.8258605   -709.91255191  -512.28531023]
2007,-1109.4644844710826,1.4000000953674316,[-1047.83817122 -1023.05290748 -1679.51007856 -1058.35530957  -738.56595553]
2008,-839.87213902255712,1.4909999370574951,[-963.58612825 -717.69640922 -949.47895662 -881.8299523  -686.76924873]
2009,-1055.3075180582841,1.5199999809265137,[ -834.44909132  -968.16770639 -1421.95177003 -1198.10405025  -853.86497231]
2010,-714.48478306497589,1.9219999313354492,[-572.79581256 -558.22122514 -935.9071605  -914.04592255 -591.45379458]
2011,-848.57290456801547,1.4279999732971191,[ -573.89946136  -745.93822891 -1134.20406036  -945.38452602  -843.43824618]
