Year,Mean Absolute Error,Time Spent (s),Error for each fold
2004,-1.3962828555244431,1.0969998836517334,[-1.36713058 -1.11592236 -1.76744745 -1.22475508 -1.50615881]
2005,-1.1564652175316998,1.4869999885559082,[-1.24738287 -1.02555449 -1.11448    -1.17410414 -1.22080459]
2006,-0.68659095044887875,1.4449999332427979,[-0.76278805 -0.60319446 -0.71176235 -0.67820398 -0.67700591]
2007,-0.52385870199136231,1.4350001811981201,[-0.63676505 -0.53909413 -0.56371677 -0.46759997 -0.41211759]
2008,-0.51584516303328898,1.569000005722046,[-0.31206921 -0.51402886 -0.64455911 -0.60132435 -0.50724428]
2009,-0.46347527487460816,1.7200000286102295,[-0.42230402 -0.53983876 -0.42865564 -0.48374092 -0.44283703]
2010,-0.54216970877298909,2.0809998512268066,[-0.42425445 -0.44998142 -0.61442216 -0.58044085 -0.64174967]
2011,-0.60891512466868591,1.5810000896453857,[-0.5524817  -0.51568502 -0.6051196  -0.67063091 -0.70065839]
2012,-0.50265988524350713,1.5920000076293945,[-0.43658081 -0.42383237 -0.5459673  -0.56295371 -0.54396524]
2013,-0.48862901551193938,2.0989999771118164,[-0.43588867 -0.39096019 -0.57485038 -0.49832947 -0.54311636]
2014,-0.64436531099473349,1.372999906539917,[-0.47089295 -0.34914331 -0.64838153 -0.72595777 -1.027451  ]
