Year,Mean Absolute Error,Time Spent (s),Error for each fold
1997,-93.756995512932491,1014.8090000152588,[-102.03034702  -70.28748117 -145.90938198  -38.12287934 -112.43488805]
1998,-125.76126531114343,1659.7420001029968,[-157.05337025 -160.49867894 -168.85375477  -45.76654563  -96.63397697]
1999,-135.05947777762958,2979.8079998493195,[-101.04317884 -127.1447004  -137.29136042 -162.45348664 -147.36466259]
2000,-117.25864274611563,1143.2880001068115,[ -81.80430215 -161.9233303  -172.03886676  -72.8059314   -97.72078313]
2001,-126.79672202136855,844.2200000286102,[ -86.26324054 -175.93734781 -162.06204187  -74.68000526 -135.04097463]
2002,-219.5276819793888,1922.2179999351501,[ -69.97865556 -160.22861796 -152.26769277 -657.72681776  -57.43662585]
2003,-134.2657251390433,1579.5889999866486,[-197.87324687  -66.06611284 -194.99273484 -106.49663455 -105.8998966 ]
2004,-168.93020220556338,1370.7799999713898,[-112.86902285 -264.92455063 -216.04198211 -101.84954266 -148.96591279]
2005,-164.1399519982528,1843.6080000400543,[-134.93281195 -150.51183511 -248.0817862  -124.48339175 -162.68993498]
2006,-186.48160955897876,2086.419000148773,[-137.71320787 -233.05117964 -404.65043292 -108.8802015   -48.11302588]
2007,-274.46478460909174,1735.0159997940063,[-227.30426799 -389.52718071 -367.09652295 -231.98553468 -156.41041671]
2008,-272.39971406790721,2644.2290000915527,[-271.27047295 -350.04839451 -463.9532945  -138.45366372 -138.27274466]
2009,-191.03608428566747,2614.795000076294,[-152.66570842 -372.92669603 -183.55951257 -152.65939877  -93.36910564]
2010,-194.33880191351653,2591.2999999523163,[-269.38041033 -166.5949949  -205.28108751 -217.43086917 -113.00664765]
2011,-238.75394417468533,2574.1440000534058,[-329.22645054 -238.4368943  -273.5660489  -174.31160706 -178.22872006]
2012,-232.72384762117562,2727.167999982834,[-241.67311751 -219.70119577 -186.93243262 -318.28581307 -197.02667914]
2013,-278.38304309231927,1472.8109998703003,[-321.25111657 -438.97210211 -186.46387891 -164.97973197 -280.2483859 ]
2014,-257.28325748684449,1496.7009999752045,[-318.80303424 -185.70176344 -461.99176954 -139.74081993 -180.17890028]
