Year,Mean Absolute Error,Time Spent (s),Error for each fold
1997,-34.128548636870988,492.9670000076294,[-19.57468737 -53.53320429 -47.92278571 -34.43176024 -15.18030558]
1998,-21.154751075711463,639.1070001125336,[-17.83192551 -38.3522468  -32.72246014  -8.14069055  -8.72643238]
1999,-20.644447390858623,428.65899991989136,[-23.89144294 -19.53717104  -5.2796481  -35.34967275 -19.16430212]
2000,-26.601735626287528,616.4010000228882,[-21.04947351  -9.79001905 -32.72750556 -38.69048428 -30.75119574]
2001,-37.526716219358562,652.2920000553131,[-10.26507408 -55.71634144 -75.1478119  -12.64377793 -33.86057574]
2002,-23.943878802522143,724.3250000476837,[-22.29296172 -20.64256987 -24.08305741 -17.49402657 -35.20677843]
2003,-14.928531501969056,1226.3369998931885,[-17.46287279 -16.36001146 -13.57180087  -9.84495079 -17.40302161]
2004,-21.666794293238894,1037.2860000133514,[-20.83916232  -9.12954045 -33.08052417  -6.95306796 -38.33167657]
2005,-46.26564089001873,405.80400013923645,[ -31.15851344 -129.40877863  -52.59724244  -13.75147987   -4.41219007]
2006,-19.112901101450053,739.8499999046326,[-16.44325653 -20.25026727 -17.07186269 -21.15253561 -20.64658341]
2007,-23.136702022949002,938.7660000324249,[ -8.87428874 -25.01179603 -48.88526705 -14.81877877 -18.09337952]
2008,-13.915105726002491,1026.5759999752045,[-12.15014609 -14.24148879 -14.13449023 -18.94115663 -10.10824689]
2009,-21.130451513691305,943.441999912262,[-35.6765872  -19.88985702 -15.109613   -24.9407562  -10.03544416]
2010,-14.103164115243809,553.7269999980927,[-13.88976545  -7.70157595 -15.02926585  -9.4441698  -24.45104354]
2011,-16.067818039476233,487.52699995040894,[-10.5528539  -13.35447303 -26.70448408 -17.06251369 -12.6647655 ]
2012,-20.823125800301671,1297.7770001888275,[-20.38711208 -31.62568707 -23.9104974  -17.44860112 -10.74373133]
2013,-39.872887034806617,1390.2809998989105,[-60.16411397 -51.36074084 -34.55115933 -40.24949214 -13.03892889]
2014,-39.301773507595968,1090.2469999790192,[-29.52878557 -53.54823881 -53.83558798 -29.09646412 -30.49979107]
