Year,Mean Absolute Error,Time Spent (s),Error for each fold
2004,-1.7678142866959932,1.071000099182129,[-2.13110587 -1.303024   -2.58732864 -1.38903665 -1.42857627]
2005,-1.3276779932591838,1.4599997997283936,[-1.48980786 -1.33791406 -1.25671995 -1.26155704 -1.29239106]
2006,-1.2824223936504828,1.448000192642212,[-1.3284658  -1.31760574 -1.18190889 -1.28062222 -1.30350931]
2007,-1.1990502139584527,1.376999855041504,[-1.23287243 -1.30072613 -1.09094024 -1.17526484 -1.19544743]
2008,-1.2300093387961142,1.4470000267028809,[-1.22989379 -1.42881404 -1.04509638 -1.29552252 -1.15071996]
2009,-1.2097453467962858,1.6099998950958252,[-1.07570156 -1.30294981 -1.05409686 -1.39616771 -1.21981079]
2010,-1.263442313678798,1.8410000801086426,[-1.26281715 -1.2251681  -1.09877596 -1.36727274 -1.36317763]
2011,-1.2862329673230366,1.4920001029968262,[-1.23182658 -1.27800749 -1.14808199 -1.48930027 -1.28394851]
2012,-1.3411235555300505,1.438999891281128,[-1.26409696 -1.19011117 -1.21988664 -1.58425616 -1.44726685]
2013,-1.3279085782094704,1.430999994277954,[-1.17596085 -1.30563365 -1.25764643 -1.53309314 -1.36720882]
2014,-1.4599493832253772,1.2880001068115234,[-1.34213597 -1.35649038 -1.45587289 -1.57255865 -1.57268902]
