Year,Mean Absolute Error,Time Spent (s),Error for each fold
1967,-3.5487350203297696,0.309999942779541,[-3.05889989 -2.46546335 -3.62965351 -5.81201333 -2.77764502]
1972,-4.1973245905014647,0.5349998474121094,[-2.97018829 -3.52953046 -5.32573503 -4.97104008 -4.1901291 ]
1977,-4.0418705694612784,0.6619999408721924,[-4.04828447 -3.5972773  -3.94750128 -4.26119339 -4.35509642]
1980,-3.5138008038930599,0.8919999599456787,[-4.97617993 -2.92501623 -3.39841905 -3.54925778 -2.72013103]
1981,-3.6481698800875888,0.8230001926422119,[-4.5987015  -3.52388098 -3.67686371 -2.79069176 -3.65071145]
1982,-3.8557884503468491,0.8149998188018799,[-4.1328814  -3.62738223 -3.3382418  -4.10363518 -4.07680164]
1983,-3.3831551209323698,0.7760000228881836,[-3.20026614 -3.14989413 -3.51686259 -4.06864844 -2.9801043 ]
1984,-3.3358642970957333,0.7630000114440918,[-3.72431534 -2.74574367 -3.23726563 -3.33083195 -3.64116489]
1985,-3.2255674917930492,0.9460000991821289,[-3.5543557  -3.24146644 -3.48414688 -2.72058858 -3.12727986]
1986,-3.6260326698774401,0.7839999198913574,[-3.81031157 -3.59647212 -3.0948988  -3.85053823 -3.77794263]
1987,-3.7145765700740596,0.7939999103546143,[-3.48819559 -2.65896926 -4.15792494 -4.9307687  -3.33702436]
1988,-3.6617659414547865,0.7910001277923584,[-3.4044948  -2.63699546 -5.44074614 -3.3728123  -3.453781  ]
1989,-4.1777338314013113,0.7850000858306885,[-3.78693164 -2.92399778 -6.37926181 -3.43239796 -4.36607996]
1990,-4.2803017138056125,1.0179998874664307,[-4.3445882  -3.90734714 -6.40518518 -3.40720745 -3.3371806 ]
1991,-5.241398197047201,1.00600004196167,[-5.58535648 -4.80351321 -5.81365876 -4.37436194 -5.63010059]
1992,-4.1783661019712408,0.9479999542236328,[-4.88748239 -3.53216189 -4.32071668 -3.40434023 -4.74712932]
1993,-4.1892359949902538,1.0099999904632568,[-3.81728135 -3.48586103 -4.36691009 -3.90756456 -5.36856295]
1994,-3.126993089165345,1.0109999179840088,[-3.86099497 -1.71647649 -2.94303955 -3.46990583 -3.64454861]
1995,-3.3069545118913068,1.189000129699707,[-4.59675277 -3.81062255 -2.45143278 -2.33698143 -3.33898303]
1996,-4.0840704844010016,1.003999948501587,[-3.26745988 -5.1893018  -5.01144584 -2.8373382  -4.11480671]
1997,-3.1278726868330007,1.059999942779541,[-2.53544306 -3.42437526 -3.8716245  -2.71975332 -3.0881673 ]
1998,-3.0148582896171687,1.1040000915527344,[-3.15194597 -2.56245693 -3.23857385 -2.48185648 -3.63945822]
1999,-2.8484649529054007,1.068000078201294,[-2.79988445 -2.56023001 -2.52584106 -2.86752684 -3.48884241]
2000,-2.8358523907249387,1.4089999198913574,[-2.68035827 -2.59369252 -2.86211621 -2.79316399 -3.24993097]
2001,-2.7749467961001733,1.180999994277954,[-2.54659194 -2.30627743 -3.11126155 -2.22846466 -3.6821384 ]
2002,-3.0942060109214871,1.1480000019073486,[-2.90434208 -2.91933033 -4.41716678 -2.09559555 -3.1345953 ]
2003,-3.2347476180923254,1.1589999198913574,[-3.07222635 -3.30627589 -3.51896513 -3.04669776 -3.22957296]
2004,-2.6353043036915045,1.1540000438690186,[-3.43591202 -2.62973278 -2.78105293 -1.82845075 -2.50137304]
2005,-2.7262436809356911,1.4290001392364502,[-3.4653731  -2.42832156 -2.4662779  -2.43659865 -2.83464719]
2006,-2.9498431741365634,1.4699997901916504,[-4.35062868 -2.48811501 -2.67801934 -2.45833289 -2.77411995]
2007,-2.7427447099103981,1.5950000286102295,[-2.73753628 -2.26322805 -2.71934326 -2.82407578 -3.16954017]
2008,-3.6068319963537596,1.625,[-3.71436082 -3.45684405 -3.8068129  -2.9299911  -4.12615112]
2009,-2.7263419859213349,1.4820001125335693,[-2.91619445 -2.57090766 -3.12642849 -2.37083224 -2.6473471 ]
2010,-2.9029451194914246,1.876999855041504,[-2.13597733 -2.8691852  -3.49410427 -2.83167082 -3.18378798]
2011,-3.0957307326999306,1.6150000095367432,[-1.96112767 -2.76242864 -4.83148004 -2.37530399 -3.54831332]
2012,-2.4096512298458719,1.6490001678466797,[-2.79846051 -2.31875165 -2.81016203 -1.98770703 -2.13317493]
2013,-1.9153080845893746,1.437000036239624,[-1.58526024 -2.02399223 -2.48879262 -1.80733564 -1.67115969]
