Year,Mean Absolute Error,Time Spent (s),Error for each fold
2004,-0.82367653435067323,1.1150000095367432,[-0.85305981 -1.10606146 -0.54731438 -0.9682915  -0.64365552]
2005,-1.0477507698246069,1.4260001182556152,[-1.08168129 -0.97377893 -1.06958457 -1.02716844 -1.08654062]
2006,-0.73379168039423193,1.444000005722046,[-0.66150137 -0.68359042 -0.82211223 -0.81688265 -0.68487173]
2007,-0.61748690394282502,1.4570000171661377,[-0.63735054 -0.66157146 -0.62409381 -0.69218922 -0.47222949]
2008,-0.57447903677344048,1.4589998722076416,[-0.6133608  -0.64757674 -0.55727951 -0.57128027 -0.48289787]
2009,-0.61261145359407665,1.4609999656677246,[-0.73333138 -0.59515133 -0.53354392 -0.66061259 -0.54041805]
2010,-0.60034056982022221,1.7339999675750732,[-0.60910814 -0.68211531 -0.56711695 -0.57134939 -0.57201306]
2011,-0.57273208566663381,1.4639999866485596,[-0.56129378 -0.75336595 -0.48735672 -0.56283928 -0.49880471]
2012,-0.56857284960885379,1.445000171661377,[-0.55207834 -0.57981779 -0.49461467 -0.56250725 -0.6538462 ]
2013,-0.60777208328424415,1.3799998760223389,[-0.57934319 -0.66277892 -0.5651173  -0.59388078 -0.63774022]
2014,-0.59864763896615503,1.3229999542236328,[-0.55597818 -0.60657956 -0.54804848 -0.68450873 -0.59812325]
