Year,Mean Absolute Error,Time Spent (s),Error for each fold
2004,-0.8212361308885916,1.1589999198913574,[-0.89475569 -1.1128321  -0.55675269 -0.99091834 -0.55092183]
2005,-0.94118261935425718,1.50600004196167,[-1.00882863 -0.77576184 -1.05526236 -0.92559811 -0.94046216]
2006,-0.61710611555182082,1.4779999256134033,[-0.48557951 -0.54965098 -0.73888922 -0.68202351 -0.62938736]
2007,-0.43220152403255929,1.4110000133514404,[-0.45234954 -0.41914474 -0.45453145 -0.5174101  -0.3175718 ]
2008,-0.46211432011798637,1.5369999408721924,[-0.46871829 -0.46090256 -0.54976852 -0.48845005 -0.34273217]
2009,-0.46801825819873011,1.5230000019073486,[-0.51659995 -0.39376692 -0.44346324 -0.54716003 -0.43910116]
2010,-0.50486300669446715,1.758000135421753,[-0.44027465 -0.49476089 -0.58251974 -0.50378945 -0.50297031]
2011,-0.47699169393876878,1.5390000343322754,[-0.44234355 -0.54999521 -0.54685256 -0.44901785 -0.3967493 ]
2012,-0.45982875073108181,1.444000005722046,[-0.45753176 -0.45560042 -0.37669907 -0.47009107 -0.53922143]
2013,-0.48798833724592933,1.4869999885559082,[-0.41471986 -0.51111228 -0.48660043 -0.4628858  -0.56462332]
2014,-0.53270854052460659,1.3579998016357422,[-0.54292801 -0.52653557 -0.47588043 -0.55404469 -0.564154  ]
