Year,Mean Absolute Error,Time Spent (s),Error for each fold
2001,-612.20591225206306,1.0789999961853027,[-989.53406274 -369.61025027 -804.36315166 -520.3700771  -377.15201949]
2002,-418.69964779394058,1.113999843597412,[-513.6250963  -306.71463377 -654.34393353 -205.49113057 -413.32344481]
2003,-1304.9966296207331,1.1059999465942383,[-1287.60621144  -823.15352506 -1287.56121025 -2574.93258253  -551.72961881]
2004,-808.84579165563184,1.1340000629425049,[ -744.86156748  -691.24807471 -1205.17895268  -755.98714175  -646.95322166]
2005,-732.43843154575518,1.433000087738037,[ -933.67850315  -566.58668167 -1064.25886527  -744.11304124  -353.55506641]
2006,-640.08490815069888,1.3949999809265137,[-729.33460665 -340.62208829 -919.5882903  -732.46836585 -478.41118966]
2007,-859.77938996148146,1.4070000648498535,[ -750.49333865  -649.75961003 -1089.97104634 -1102.46772903  -706.20522576]
2008,-788.64315216123578,1.4399998188018799,[-1055.16066444  -638.96532023 -1168.66512965  -606.32126436  -474.10338212]
2009,-696.51985313074135,1.496000051498413,[ -698.51243373  -610.52607909  -574.6041789  -1112.67804043  -486.27853349]
2010,-562.60487808143648,1.7320001125335693,[-593.16947426 -429.31581284 -442.95920793 -856.17393588 -491.40595949]
2011,-690.60802627197859,1.5089998245239258,[ -465.01641693  -602.34861143  -851.22309903 -1018.73056285  -515.72144112]
