Year,Mean Absolute Error,Time Spent (s),Error for each fold
2004,-6.2146606993640683,1.2390000820159912,[-7.00189381 -5.36893803 -5.92321433 -6.03421641 -6.74504091]
2005,-8.107513664839697,1.378999948501587,[-7.73403699 -7.49201094 -7.89663809 -9.97452633 -7.44035598]
2006,-3.8797877527276641,1.3910000324249268,[-4.16923264 -3.24814587 -4.60313154 -4.110524   -3.26790471]
2007,-1.5163267917424215,1.5169999599456787,[-1.36000147 -1.3345314  -1.34592634 -1.90724893 -1.63392582]
2008,-1.6968301342644725,1.4660000801086426,[-1.46707994 -1.68209721 -1.72622931 -1.82128903 -1.78745519]
2009,-1.4192769250053185,1.4179999828338623,[-1.39618509 -1.48771479 -1.19505662 -1.59094857 -1.42647955]
2010,-2.1019103008395512,1.6970000267028809,[-1.53673415 -2.07456474 -1.75895112 -2.35476558 -2.78453591]
2011,-1.8521962192839052,1.4739999771118164,[-1.44219137 -1.50455777 -1.79385839 -1.93250259 -2.58787098]
2012,-1.8828867261264448,1.4189999103546143,[-1.62375593 -1.44216874 -1.92333254 -2.01078773 -2.41438869]
2013,-1.4213221448221358,1.3440001010894775,[-1.45643561 -1.51204341 -1.28121472 -1.52094374 -1.33597324]
2014,-1.6845815423336217,1.3029999732971191,[-1.29131244 -1.49502445 -1.68692283 -2.04426617 -1.90538182]
