Year,Mean Absolute Error,Time Spent (s),Error for each fold
1960,-3.7632044085809868,0.35899996757507324,[-3.88888386 -4.85221293 -3.58757128 -2.66584957 -3.8215044 ]
1961,-3.6864650303601829,0.2929999828338623,[-3.52420445 -3.74895419 -4.56704272 -3.21412208 -3.37800171]
1962,-3.8330510403238973,0.33899998664855957,[-4.93165181 -4.31741785 -4.26460708 -2.5700647  -3.08151376]
1963,-3.2609579972938127,0.4070000648498535,[-2.89422339 -3.40466385 -3.37835653 -3.25105182 -3.3764944 ]
1964,-5.2883329532921,0.3429999351501465,[ -4.29570435  -3.27676882  -4.1965461  -10.413882    -4.25876349]
1965,-3.4085322043396098,0.3680000305175781,[-3.29241659 -2.78771881 -4.0744016  -3.23515017 -3.65297385]
1966,-3.6109153767460187,0.3410000801086426,[-3.20859728 -2.54559581 -3.28822168 -5.90605201 -3.1061101 ]
1967,-3.6288582240495693,0.3210000991821289,[-3.42631172 -2.34498528 -3.71144712 -5.81250357 -2.84904342]
1968,-3.316360820719999,0.3509998321533203,[-2.76819733 -2.88246199 -3.29962043 -4.07084906 -3.5606753 ]
1969,-3.4079847804428534,0.38300013542175293,[-3.90716441 -2.35982081 -2.86818647 -3.99030554 -3.91444668]
1970,-3.0676405441899406,0.5850000381469727,[-3.13406344 -2.45219798 -3.09152423 -3.51077218 -3.14964489]
1971,-3.7452274186863503,0.5619997978210449,[-3.38496345 -3.57795708 -3.28867449 -3.8930199  -4.58152217]
1972,-4.2093601524895572,0.6090002059936523,[-2.89534289 -3.36148896 -5.24238447 -5.0778372  -4.46974723]
1973,-3.8403503369357366,0.5709998607635498,[-3.86819047 -3.45007196 -4.11982026 -4.30827204 -3.45539696]
1974,-4.3846704560009941,0.5460000038146973,[-4.23542127 -3.982161   -4.70467338 -4.40295852 -4.59813812]
1975,-4.1965856923074423,0.5889999866485596,[-4.81636002 -3.35312504 -5.1091959  -3.6948717  -4.0093758 ]
1976,-3.600825139503292,0.6389999389648438,[-4.27045839 -3.20960691 -3.51845211 -2.79150163 -4.21410667]
1977,-4.0887873987422756,0.5910000801086426,[-4.25382332 -3.57101183 -3.66631246 -4.47333584 -4.47945354]
1978,-3.9895017452895667,0.5130000114440918,[-4.4601013  -3.64196107 -3.75919668 -3.96987915 -4.11637053]
1979,-4.9468853785174236,0.5590000152587891,[-5.0139157  -4.05157765 -6.73334986 -3.36822105 -5.56736263]
1980,-3.6112063894699391,0.7839999198913574,[-4.90799224 -3.0351954  -3.43519677 -3.53719019 -3.14045735]
1981,-3.7748293733852991,0.7070000171661377,[-4.48076591 -3.46209162 -3.76281382 -3.48868231 -3.67979321]
1982,-3.8520153514819504,0.749000072479248,[-4.25228277 -3.48234223 -3.31747556 -4.34203971 -3.86593649]
1983,-3.2194276183649455,0.6789999008178711,[-3.30947702 -2.63289789 -3.50483936 -3.75758029 -2.89234353]
1984,-3.2129544726640065,0.6990001201629639,[-3.5680908  -2.62683177 -2.95093863 -3.5166346  -3.40227657]
1985,-3.2198531226307212,0.8050000667572021,[-3.33643188 -3.20507061 -3.63254135 -2.94852932 -2.97669246]
1986,-4.1826998627288168,0.7629997730255127,[-3.96994569 -3.61528389 -3.35588302 -6.45019996 -3.52218675]
1987,-3.9106520107382514,0.7660000324249268,[-3.99656891 -2.5283001  -4.11075992 -5.48626653 -3.4313646 ]
1988,-3.47191632224592,0.9179999828338623,[-3.00772219 -2.59169982 -5.3315994  -3.0616598  -3.36690039]
1989,-4.1033531653316349,0.8030002117156982,[-3.9311707  -3.08773272 -6.18191653 -3.11982538 -4.19612051]
1990,-4.994251931788499,0.997999906539917,[-5.29408108 -4.3263998  -6.74329219 -3.90240824 -4.70507836]
1991,-5.0276213402635772,0.9089999198913574,[-5.08113941 -4.37474466 -6.81416278 -3.699586   -5.16847385]
1992,-3.6249284296393056,1.1710000038146973,[-4.50782339 -2.96704476 -3.72876226 -3.29251895 -3.62849279]
1993,-4.4902643340451744,0.9070000648498535,[-3.63758177 -3.01416284 -6.38260679 -3.64069761 -5.77627267]
1994,-3.2431908739062103,0.9110000133514404,[-3.78926691 -2.06178122 -2.8087294  -3.57505044 -3.98112641]
1995,-3.4534683081485538,1.1010000705718994,[-4.60081722 -4.12808684 -2.99059046 -2.2056723  -3.34217471]
1996,-4.646312155220917,0.9399998188018799,[-5.84990605 -4.77208563 -5.31109889 -3.24363515 -4.05483506]
1997,-3.2471442745497874,0.9780001640319824,[-2.63070043 -3.52003051 -4.32929964 -2.78990939 -2.9657814 ]
1998,-2.9333034244536966,0.9749999046325684,[-2.95725424 -2.50717354 -3.29233953 -2.33380464 -3.57594517]
1999,-2.7921277106364157,0.9760000705718994,[-3.06762089 -2.17507209 -2.46197838 -2.66105627 -3.59491093]
2000,-3.1456592702399191,1.3599998950958252,[-3.68383109 -2.72259271 -2.88932088 -2.75960178 -3.67294988]
2001,-2.6742220034082895,1.1410000324249268,[-2.51631082 -2.33076533 -3.11860853 -2.1684053  -3.23702003]
2002,-3.2210123098208343,1.2030000686645508,[-2.62865735 -2.85977683 -4.62273027 -2.69224737 -3.30164974]
2003,-3.4354410268507287,1.1619999408721924,[-3.18144937 -3.42868478 -3.19094673 -3.13846538 -4.23765886]
