Year,Mean Absolute Error,Time Spent (s),Error for each fold
1960,-3.7724031794016391,0.27900004386901855,[-3.89403292 -4.85658002 -3.59091391 -2.67545496 -3.84503409]
1961,-3.1301215468010701,0.3059999942779541,[-2.75731282 -3.72040978 -3.03498141 -3.04764003 -3.09026369]
1962,-3.269917732486145,0.307999849319458,[-3.17453449 -4.25353822 -3.20786179 -2.69615793 -3.01749624]
1963,-3.1068540841435626,0.3580000400543213,[-2.98723492 -2.10930671 -3.60945877 -3.20818728 -3.62008275]
1964,-5.336448600396122,0.39499998092651367,[ -4.50901379  -3.5991851   -3.67723402 -10.52142623  -4.37538387]
1965,-3.2378465285807723,0.44500017166137695,[-2.75824168 -2.86376339 -3.60991389 -3.24167937 -3.71563431]
1966,-3.5327273538449004,0.3509998321533203,[-3.10901909 -2.43851188 -3.24247178 -5.76238476 -3.11124927]
1967,-3.6493077598553056,0.3340001106262207,[-3.37554179 -2.50589107 -3.4671076  -5.81201333 -3.08598502]
1968,-3.2607696709231559,0.35699987411499023,[-2.71361269 -2.80283309 -3.26985266 -3.93761014 -3.57993978]
1969,-3.4358897499154475,0.317000150680542,[-4.07957903 -2.47747103 -2.88356354 -4.12135038 -3.61748477]
1970,-2.9866471823594796,0.5539999008178711,[-3.10904392 -2.47711649 -2.87579996 -3.32361077 -3.14766478]
1971,-3.8955753865912968,0.556999921798706,[-4.09588658 -3.24803361 -3.73722119 -3.8731937  -4.52354185]
1972,-3.9178061329295866,0.6610000133514404,[-2.68910215 -3.0889116  -4.87490571 -4.9514386  -3.98467261]
1973,-3.8072818101111103,0.5320000648498535,[-3.37433694 -3.5481274  -4.56615477 -3.99550221 -3.55228773]
1974,-4.3150151438885302,0.5559999942779541,[-4.11083166 -3.9885036  -4.59575827 -4.42387098 -4.45611121]
1975,-4.0963064518735663,0.6040000915527344,[-4.05799172 -3.23392182 -5.24832253 -3.76203043 -4.17926576]
1976,-3.4552732152157697,0.556999921798706,[-3.64206751 -3.24796426 -3.39208117 -2.66300667 -4.33124646]
1977,-4.0398455743850121,0.6089999675750732,[-4.00302291 -3.55079445 -3.92334469 -4.2271898  -4.49487602]
1978,-4.0620673047303555,0.5450000762939453,[-4.43777039 -3.48370012 -4.08284781 -3.93397541 -4.37204279]
1979,-4.9193195179699405,0.5739998817443848,[-5.29402425 -3.63793663 -6.99459342 -3.58246721 -5.08757608]
1980,-3.5327912186440118,0.7950000762939453,[-4.89859843 -2.96473769 -3.43830752 -3.44662961 -2.91568284]
1981,-3.720693157362029,0.6630001068115234,[-4.63570637 -3.53674659 -3.81761823 -2.88425297 -3.72914162]
1982,-3.9011313806886561,0.682999849319458,[-3.98481725 -3.77038998 -3.4452044  -4.15218064 -4.15306463]
1983,-3.4457876612575236,0.687000036239624,[-3.27360071 -3.15482997 -3.47412448 -4.24098111 -3.08540204]
1984,-3.2979351626299298,0.6679999828338623,[-3.70651239 -2.72851933 -3.20844946 -3.28020506 -3.56598958]
1985,-3.2464887230482362,0.8519999980926514,[-3.52586677 -3.2784048  -3.54764498 -2.71560471 -3.16492236]
1986,-3.619185643422199,0.7220001220703125,[-3.59223576 -3.68708792 -3.13162634 -3.90558881 -3.77938937]
1987,-3.7532533933383676,0.6909999847412109,[-3.20836321 -2.77974573 -4.33193887 -5.05014413 -3.39607502]
1988,-3.6599023764533682,0.687000036239624,[-3.37277391 -2.65742619 -5.45713133 -3.36954333 -3.44263712]
