Year,Mean Absolute Error,Time Spent (s),Error for each fold
1960,-420.73202003567513,0.2670001983642578,[-516.55262513 -406.24375695 -317.22692353 -500.8738346  -362.76295996]
1961,-442.10119905342196,0.3149998188018799,[-550.71283057 -427.03818602 -329.32944065 -523.97439274 -379.45114529]
1962,-467.60747781913096,0.2970001697540283,[-561.98501629 -456.45020592 -361.42906861 -558.26382219 -399.90927608]
1963,-514.40576063141941,0.3399999141693115,[-618.16086555 -512.16552613 -410.86966144 -602.50980948 -428.32294056]
1964,-574.96843096220323,0.3229999542236328,[-665.98470858 -547.30931088 -550.89068947 -686.54624638 -424.11119949]
1965,-617.87786611060471,0.3020000457763672,[-770.57803635 -519.20074101 -595.22878768 -744.0933599  -460.28840562]
1966,-640.53485504637968,0.3280000686645508,[-818.82247721 -543.12998197 -577.24357347 -761.82934649 -501.6488961 ]
1967,-656.14169384686363,0.3379998207092285,[-832.91173571 -532.92515892 -544.42737442 -823.14817305 -547.29602713]
1968,-712.49132092608613,0.3430001735687256,[-915.03789244 -590.1477318  -574.33567112 -888.81679536 -594.1185139 ]
1969,-884.82291179006756,0.34399986267089844,[ -939.22274204  -745.39679737 -1173.38980758  -957.20488445  -608.90032751]
1970,-982.86150825899699,0.6460001468658447,[-1113.44190846  -750.67539589 -1266.97847425 -1125.10645529  -658.10530741]
1971,-1149.8536289017325,0.5559999942779541,[-1291.96102144  -901.60502237 -1520.5290747  -1303.42292725  -731.75009875]
1972,-1438.4971954731775,0.5799999237060547,[-1625.09898124 -1161.24033566 -1933.94599035 -1612.2135934   -859.98707672]
1973,-1825.8158620630008,0.5420000553131104,[-1985.49245506 -1367.34994067 -2449.28484326 -2294.82598014 -1032.12609118]
1974,-2139.0739674469451,0.5959999561309814,[-2683.26589829 -1825.25913316 -2626.84440559 -2432.22135729 -1127.7790429 ]
1975,-2324.3210923922325,0.6029999256134033,[-2961.48176862 -1947.23640139 -2762.95851059 -2717.07521687 -1232.8535645 ]
