Year,Mean Absolute Error,Time Spent (s),Error for each fold
1997,-146.91784141008822,692.2639999389648,[-158.06365108 -215.14364982 -166.679632   -111.6863111   -83.01596306]
1998,-87.906705853638059,1086.4030001163483,[ -77.09551902  -87.86268663 -133.27565869  -48.85420851  -92.44545641]
1999,-104.74321417360542,579.1900000572205,[ -80.931927   -167.23674787 -104.28684108  -85.67463969  -85.58591523]
2000,-157.78082414839781,1714.6369998455048,[ -93.15249719 -188.4226858  -316.55794471  -63.55710609 -127.21388694]
2001,-99.235411880126904,676.7430000305176,[ -41.58548679 -156.18810641 -144.99346802  -88.07572356  -65.33427462]
2002,-87.100594316133183,1300.6259999275208,[ -44.12028921  -87.32518106 -111.84130093  -92.28604423  -99.93015616]
2003,-98.518026678554861,1413.9850001335144,[ -41.05723842  -98.39557014 -112.48398    -121.09013588 -119.56320895]
2004,-132.49635128908682,2678.076999902725,[ -78.06348655 -219.08788301 -213.5599866   -78.65379831  -73.11660198]
2005,-236.72495603632734,1578.058000087738,[-169.45928358 -565.50944787 -155.24108072 -112.48456506 -180.93040295]
2006,-199.04482171780103,2905.210000038147,[-101.02690042 -164.63895045 -477.12635362 -136.24491673 -116.18698736]
2007,-152.319422494555,2003.736999988556,[-194.56130662 -158.15279397 -208.04004877  -70.70111436 -130.14184875]
2008,-208.85890233123013,2066.2330000400543,[-186.60966012 -239.54054838 -325.65040869 -178.76354855 -113.73034591]
2009,-157.98240753772473,2896.332999944687,[-111.95433721 -255.48707014 -196.89652223 -116.41011811 -109.16399   ]
2010,-189.87487324588938,2405.4660000801086,[-172.36729482 -188.08322142 -276.5460095  -150.48276456 -161.89507593]
2011,-183.73218135035361,2785.835000038147,[-227.25715559 -105.97956936 -258.86663531 -181.75673653 -144.80080995]
2012,-212.31022969518935,2450.37099981308,[-200.53922793 -163.29305442 -286.13202011 -246.00505131 -165.58179471]
2013,-225.82118047971079,2595.128000020981,[-209.87187994 -411.60511059 -209.85575758 -200.30998447  -97.46316982]
2014,-230.44548143738729,3982.435000181198,[-201.08349706 -390.04923692 -303.09179689 -167.81767957  -90.18519675]
