Year,Mean Absolute Error,Time Spent (s),Error for each fold
2004,-6.9867502015442868,1.4399998188018799,[-9.09930836 -6.17551047 -5.86016483 -7.29655019 -6.50221716]
2005,-10.344045554313608,1.511000156402588,[-10.06628679 -10.05448875  -9.81002624 -11.94266542  -9.84676057]
2006,-9.2330652416165329,1.6039998531341553,[ -8.38814945  -7.25171551 -11.24673661 -11.00946201  -8.26926262]
2007,-9.2589855145394147,1.6089999675750732,[ -8.08579972  -7.22648167 -11.48038947 -11.0367013   -8.46555542]
2008,-9.0194887474854699,1.6570000648498535,[ -7.66211864  -7.9432304   -9.49482944 -11.8393265   -8.15793876]
2009,-9.1073158648299533,1.8659999370574951,[ -7.08909935  -7.7892364  -10.68521871 -11.36527522  -8.60774964]
2010,-8.1508847675613652,2.2039999961853027,[ -7.0269456   -7.16861262  -8.51919866 -10.45756095  -7.58210601]
2011,-8.4040757477438355,1.5270001888275146,[ -6.94337087  -7.06562958  -8.37133678 -10.76880489  -8.87123661]
2012,-8.9759316883067068,1.7549998760223389,[ -6.82382913  -7.63339475  -9.50418811 -11.13868721  -9.77955924]
2013,-8.7491822852930312,1.6979999542236328,[ -7.13139284  -7.11285507  -8.51998001 -11.16718833  -9.81449517]
2014,-8.9220292264390633,1.430999994277954,[ -7.77533257  -6.29283575  -8.98873501 -10.9209965  -10.6322463 ]
