Year,Mean Absolute Error,Time Spent (s),Error for each fold
2004,-0.8096680396523096,1.1110000610351562,[-0.76182682 -1.14181836 -0.53476372 -1.00327871 -0.60665259]
2005,-0.99512676268586731,1.4129998683929443,[-1.02034146 -0.90937021 -1.11819591 -0.92685101 -1.00087523]
2006,-0.61621160005651432,1.4850001335144043,[-0.51213617 -0.58540153 -0.67044158 -0.70484087 -0.60823785]
2007,-0.41703659621770672,1.503999948501587,[-0.45822418 -0.44673964 -0.35487957 -0.50247545 -0.32286414]
2008,-0.42693275716815987,1.4170000553131104,[-0.46077555 -0.46288049 -0.43106491 -0.43975976 -0.34018307]
2009,-0.45282801284147406,1.4809999465942383,[-0.50658539 -0.40245771 -0.41918464 -0.50649094 -0.42942139]
2010,-0.50501921797404914,1.7339999675750732,[-0.45724824 -0.53158137 -0.54537326 -0.46778131 -0.52311191]
2011,-0.47061506143534804,1.508000135421753,[-0.43438567 -0.55435126 -0.51042953 -0.44805235 -0.40585649]
2012,-0.4656170062306656,1.4779999256134033,[-0.43811346 -0.47051564 -0.42385641 -0.44224758 -0.55335194]
2013,-0.47669778346668801,1.491999864578247,[-0.39058899 -0.5102651  -0.47017657 -0.47453008 -0.53792818]
2014,-0.50608718979067124,1.3910000324249268,[-0.51295859 -0.51184557 -0.46593925 -0.56011549 -0.47957705]
