Year,Mean Absolute Error,Time Spent (s),Error for each fold
2004,-0.80515730254577045,1.1410000324249268,[-0.83427851 -1.10681708 -0.5165604  -0.96863108 -0.59949944]
2005,-1.0869813302529934,1.3339998722076416,[-1.15400011 -0.99314566 -1.17211217 -1.03043955 -1.08520917]
2006,-0.72059235135906075,1.4750001430511475,[-0.60312738 -0.64770697 -0.8554854  -0.81219252 -0.68444948]
2007,-0.60687043410633568,1.4769999980926514,[-0.64107039 -0.64789854 -0.55675793 -0.71776571 -0.4708596 ]
2008,-0.58429758747462346,1.4489998817443848,[-0.6312757  -0.64993031 -0.56772268 -0.57698656 -0.49557269]
2009,-0.60763313700567867,1.4539999961853027,[-0.68984835 -0.58231821 -0.51652083 -0.68068147 -0.56879683]
2010,-0.58061107263622791,1.7710001468658447,[-0.57521771 -0.65288655 -0.53661683 -0.52545706 -0.61287721]
2011,-0.55563462645816697,1.4809999465942383,[-0.56600357 -0.71755377 -0.47031884 -0.54356119 -0.48073576]
2012,-0.59278286295430471,1.4029998779296875,[-0.62261273 -0.57329943 -0.56276118 -0.53397259 -0.67126839]
2013,-0.62567497818613638,1.4350001811981201,[-0.57589821 -0.67785392 -0.60410255 -0.59445909 -0.67606112]
2014,-0.61242642817723414,1.3149998188018799,[-0.59116687 -0.60488126 -0.57719123 -0.6736528  -0.61523999]
