Year,Mean Absolute Error,Time Spent (s),Error for each fold
2004,-6.3198652123117469,1.0840001106262207,[-6.89558012 -5.52347604 -6.59300728 -5.95920002 -6.6280626 ]
2005,-8.5994715279531615,1.4649999141693115,[-9.32066153 -7.4944093  -7.4372539  -9.93661757 -8.80841533]
2006,-7.8089402986246839,2.0250000953674316,[-8.34458609 -6.52048262 -7.48093841 -9.10296329 -7.59573109]
2007,-7.4229148775923708,1.933000087738037,[-7.69177155 -5.99730879 -7.50508418 -9.23664503 -6.68376483]
2008,-7.1973459735337997,1.5909998416900635,[-7.09735887 -6.23186271 -7.53990807 -8.27710291 -6.84049731]
2009,-7.0400322966314945,1.5980000495910645,[-6.86830113 -6.47317484 -6.75580469 -8.31345027 -6.78943056]
2010,-6.637593504543176,1.8560001850128174,[-6.45431165 -6.26891472 -6.33186378 -7.61727412 -6.51560325]
2011,-6.8966980608198956,1.5139999389648438,[-5.7469173  -6.4719466  -7.63978686 -7.93280507 -6.69203448]
2012,-7.0240698318129446,1.5079998970031738,[-5.80403745 -6.85617153 -7.31643629 -7.91124647 -7.23245742]
2013,-6.8107026442177752,1.4220001697540283,[-6.17815423 -6.30231098 -6.84658007 -7.74620185 -6.98026608]
2014,-7.7800370190631813,1.3889999389648438,[-6.83803557 -7.18081845 -7.33532191 -8.22553268 -9.32047649]
