Year,Mean Absolute Error,Time Spent (s),Error for each fold
1997,-10.335055687246431,0.9409999847412109,[-11.13854666 -10.50037179 -10.73268213 -10.66769533  -8.63598252]
1998,-4.6939758035475645,1.135000228881836,[-5.12327809 -5.12001235 -4.74553964 -3.58576708 -4.89528186]
1999,-3.5810627828635306,0.9369997978210449,[-4.82469348 -3.42400286 -2.25620538 -3.99214807 -3.40826413]
2000,-4.5491103878704511,1.2000000476837158,[-5.6081957  -4.01474489 -5.12894563 -4.81980447 -3.17386125]
2001,-3.7821694957357037,1.008000135421753,[-4.75740001 -4.27559412 -3.81183399 -3.60677682 -2.45924254]
2002,-5.0735649249160018,1.0849997997283936,[-4.75428871 -4.91901963 -4.84388922 -6.19870953 -4.65191753]
2003,-3.963101451962487,1.071000099182129,[-5.03970324 -3.47833549 -3.43312225 -3.37499761 -4.48934867]
2004,-2.972492760810868,1.0929999351501465,[-3.12729776 -3.2645228  -3.1059815  -2.72926037 -2.63540138]
2005,-3.2985673372645401,1.374000072479248,[-3.49100225 -3.29847789 -3.47353356 -3.03686759 -3.19295539]
2006,-4.1187478658450782,1.3599998950958252,[-3.89989531 -3.73554427 -4.37531027 -3.56547728 -5.0175122 ]
2007,-3.1550948537599162,1.4100000858306885,[-3.59657778 -3.09546706 -2.4625467  -3.39590655 -3.22497619]
2008,-3.1187699318089241,1.4490001201629639,[-3.43478602 -3.15900946 -3.11134117 -3.60045667 -2.28825633]
2009,-2.6448522225086686,1.4279999732971191,[-3.04991801 -2.45228116 -2.80019456 -2.95226957 -1.96959782]
2010,-3.4674195141760515,1.6180000305175781,[-3.91403878 -3.25235349 -2.83635976 -3.73004984 -3.60429571]
2011,-3.378984558072438,1.440999984741211,[-3.57471926 -3.35512508 -3.04397508 -2.98138516 -3.93971821]
2012,-2.7558658044591273,1.3899998664855957,[-2.03105398 -2.95547675 -2.91227441 -2.53953844 -3.34098544]
2013,-2.5364918041468267,1.4190001487731934,[-2.66605694 -2.4866671  -1.91541291 -2.67982466 -2.93449742]
2014,-2.4649596021089706,1.2759997844696045,[-2.44274914 -2.7597102  -2.2898308  -2.58699341 -2.24551447]
