Year,Mean Absolute Error,Time Spent (s),Error for each fold
2004,-1.3338235071394868,1.1340000629425049,[-1.125      -1.10519809 -1.6976193  -1.30133333 -1.43996681]
2005,-2.1488798476889688,1.3459999561309814,[-2.18589342 -2.33793103 -1.96077586 -2.05970626 -2.20009266]
2006,-1.9681026593402855,1.3880000114440918,[-2.01089325 -1.90237197 -1.95434402 -2.09803545 -1.87486861]
2007,-1.9609559996894972,1.3999998569488525,[-2.09828283 -1.87470899 -1.87456583 -2.13786925 -1.8193531 ]
2008,-1.8892831630140581,1.50600004196167,[-1.84526749 -1.87787013 -1.90883117 -2.03413534 -1.78031169]
2009,-1.89369889212828,1.5240001678466797,[-1.98617143 -1.90291545 -1.84011429 -1.87462857 -1.86466472]
2010,-1.8840589548184368,1.8509998321533203,[-1.85       -1.88888889 -1.90833333 -1.94298137 -1.83009119]
2011,-1.8297265098771796,1.5940001010894775,[-1.7349537  -1.84123932 -1.88901099 -1.92468568 -1.75874286]
2012,-1.904310914431218,1.3650000095367432,[-1.83425926 -1.87991453 -1.96802935 -1.99021978 -1.84913165]
2013,-1.8642507379331203,1.375999927520752,[-1.72834467 -1.83291405 -1.9620915  -1.92812325 -1.86978022]
2014,-1.8986724245253654,1.246000051498413,[-1.70972222 -1.78823529 -2.01394958 -2.18359788 -1.79785714]
