Year,Mean Absolute Error,Time Spent (s),Error for each fold
1960,-214.80527858447073,0.30300021171569824,[-236.58026576 -184.69173164 -241.97005486 -212.75126172 -198.03307895]
1965,-350.46320340627307,0.2990000247955322,[-329.7706082  -276.97230668 -417.16136354 -411.93581004 -316.47592858]
1970,-522.24496193642585,0.6030001640319824,[-444.98811225 -393.60642158 -806.53793871 -550.71609248 -415.37624466]
1975,-1591.4350153531773,0.6669998168945312,[-1912.52762453 -1174.50775566 -2005.68253269 -1759.52770596 -1104.92945793]
1976,-1683.4182109377914,0.6400001049041748,[-2044.71217006 -1321.90859469 -2047.97879947 -1845.82396003 -1156.66753044]
1977,-1801.4367453697917,0.5590000152587891,[-2036.73418019 -1409.85264356 -2385.55160152 -1924.73275932 -1250.31254225]
1978,-2204.1527408908614,0.5869998931884766,[-2478.90313417 -1554.34027283 -3025.01078289 -2444.53627409 -1517.97324046]
1979,-2542.9713999914165,0.5220000743865967,[-3169.55557826 -1735.58956339 -3189.18660874 -2567.79267673 -2052.73257284]
1980,-2258.2839383679179,0.8199999332427979,[-2788.85200234 -1645.46468831 -2666.02646941 -2292.50405409 -1898.57247769]
1981,-1975.2477852262368,0.687000036239624,[-2522.85303939 -1456.53587367 -2335.01021284 -2133.48238448 -1428.35741575]
1982,-1745.4045030504647,0.6770000457763672,[-2226.54590169 -1421.14020873 -2036.63955386 -1636.74953515 -1405.94731582]
1983,-1713.6890364828134,0.7139999866485596,[-2225.44560325 -1444.05846464 -1897.89336053 -1716.02155623 -1285.02619776]
1984,-1638.1292198605449,0.7279999256134033,[-2012.67716475 -1321.77608076 -1900.76148256 -1747.1484684  -1208.28290282]
1985,-1622.4640171886058,0.8100001811981201,[-1684.38512869 -1294.85034341 -2594.06523519 -1415.39505132 -1123.62432733]
1986,-1840.6975626205544,0.681999921798706,[-1839.71306731 -1406.73685015 -3259.95088473 -1426.1488982  -1270.93811272]
1987,-1912.6823819746701,0.7149999141693115,[-1720.82192643 -1431.73520813 -3601.66105834 -1558.0791247  -1251.11459227]
1988,-1901.5563415928591,0.7439999580383301,[-1632.86652629 -1496.05257383 -3585.34938228 -1492.11252572 -1301.40069984]
1989,-2282.179807658099,0.7020001411437988,[-2382.32211366 -1659.21265989 -4232.11799917 -1787.76681599 -1349.47944958]
1990,-2282.8874825984208,0.9309999942779541,[-2509.40130325 -1579.4542569  -4274.8007981  -1866.20181114 -1184.57924361]
1991,-2529.0736088254293,0.8599998950958252,[-2804.91474956 -1852.04957429 -4636.80787744 -2084.75815768 -1266.83768516]
1992,-2451.1967193198307,0.8600001335144043,[-2671.72062702 -1885.08679722 -4361.87407092 -1995.81443385 -1341.48766759]
1993,-2653.432458987912,0.871999979019165,[-3078.05712646 -2084.46413938 -4680.29469173 -2044.6961304  -1379.65020697]
1994,-3219.0844129190377,0.8619999885559082,[-3603.18237238 -2687.416734   -5733.11955873 -2446.39403205 -1625.30936745]
1995,-3027.8599204058455,0.9769999980926514,[-3080.89278835 -2704.9327477  -5204.08075215 -2399.6774789  -1749.71583493]
1996,-2845.8267966452831,0.8859999179840088,[-2785.49115647 -2696.16588745 -4819.41709813 -2299.70168423 -1628.35815695]
1997,-3071.3481663760817,1.0199999809265137,[-3729.6732596  -2609.92109095 -5151.72197292 -2268.80683965 -1596.61766876]
1998,-3281.6695695834778,1.0450000762939453,[-4005.82773084 -2799.60114445 -5383.50471155 -2443.97320206 -1775.44105901]
1999,-3411.8894673656782,1.0179998874664307,[-4025.98271237 -3251.28237601 -5239.92987014 -2573.8713322  -1968.38104611]
2000,-3337.384987382748,1.25600004196167,[-4171.97478801 -3046.06672486 -5177.69412295 -2479.0973383  -1812.09196279]
2001,-3216.6333088692495,1.1400001049041748,[-4175.31446548 -2274.35453067 -5227.92341873 -2683.41127288 -1722.1628566 ]
2002,-4083.4142624729238,1.1380000114440918,[-4973.79631641 -3355.13931576 -6606.14984636 -3282.23584422 -2199.74998961]
2003,-4307.4098491113273,1.1510000228881836,[-5249.76402328 -2900.58506113 -7256.3830105  -3722.42439776 -2407.89275289]
2004,-4534.0102951654462,1.2089998722076416,[-5530.07940988 -3043.5234929  -7470.86011856 -4110.67539021 -2514.91306427]
2005,-5132.0545931683682,1.501000165939331,[-5616.18606331 -4026.47442387 -8207.5187312  -4841.50574135 -2968.58800611]
2006,-5840.8076772157128,1.4539999961853027,[-6428.20500992 -4050.13299577 -9924.52491031 -5418.06952103 -3383.10594905]
2007,-6137.312011533304,1.4639999866485596,[-5318.97467504 -4968.30652024 -9995.37262835 -6874.92481374 -3528.98142029]
2008,-4837.3468066969062,1.554999828338623,[-3803.63677605 -3858.87974447 -8501.07713119 -5322.98657634 -2700.15380542]
2009,-4960.4878705114779,1.5360000133514404,[-3802.74091315 -3994.21057085 -8259.90665335 -6047.394028   -2698.18718721]
2010,-5933.4530479312798,1.7690000534057617,[-5194.70955149 -4755.91624102 -9898.32575239 -6900.56956081 -2917.74413394]
2011,-5485.1208925513465,1.562000036239624,[-4784.02882536 -4239.42153643 -8047.77376697 -7006.51635544 -3347.86397855]
2012,-5471.5909519830902,1.5429999828338623,[-5320.78606818 -4983.50873394 -7281.35799669 -6578.63415843 -3193.66780269]
2013,-4625.4562418042187,1.5729999542236328,[-4122.48176129 -3964.99761214 -6391.58360813 -5536.05369555 -3112.16453192]
