Year,Mean Absolute Error,Time Spent (s),Error for each fold
1960,-26.112855421358791,0.3640000820159912,[-25.41672098 -27.07659912 -27.9197142  -17.73431615 -32.41692666]
1961,-39.193179230414231,0.2999999523162842,[-64.62416466 -32.44824225 -42.79303574 -27.60162071 -28.49883278]
1962,-23.983256920984296,0.2969999313354492,[-37.47653586 -25.15031506 -24.53419355 -14.50681786 -18.24842229]
1963,-29.647774880772811,0.2980000972747803,[-31.73324651 -17.52156344 -32.383337   -22.70208586 -43.8986416 ]
1964,-143.1639417926437,0.31599998474121094,[-109.0362858  -117.08027302 -157.0001644  -223.20206536 -109.50092038]
1965,-27.456854934281601,0.3489999771118164,[-30.09265273 -25.07232124 -27.19802344 -26.47728327 -28.443994  ]
1966,-44.542193368822588,0.34599995613098145,[-48.64032245 -28.83298968 -65.64018117 -37.03361903 -42.5638545 ]
1967,-67.318078352893053,0.33300018310546875,[-60.82569466 -38.66930691 -83.93284788 -94.32540737 -58.83713495]
1968,-44.719459504108052,0.3319997787475586,[-59.72954366 -29.17357013 -53.63993315 -43.99629002 -37.05796056]
1969,-352.25520545405038,0.2890000343322754,[-323.66262534 -215.74174934 -665.78456665 -270.48584601 -285.60123993]
1970,-108.16634681422889,0.5380001068115234,[ -84.96479873  -97.51707882 -145.52571956 -123.89412777  -88.93000919]
1971,-64.498442787897019,0.5499999523162842,[-65.28559815 -44.3900617  -85.20117104 -58.97118817 -68.64419488]
1972,-130.48470877980026,0.5320000648498535,[-154.76215116  -78.48137862 -175.53077344 -148.28031047  -95.36893021]
1973,-424.80665818395619,0.5729999542236328,[-577.16946987 -235.77211055 -558.84354448 -516.87644896 -235.37171706]
1974,-947.40549526664995,0.5610001087188721,[-1064.81283491  -336.29304393 -1279.69888471 -1624.43350881  -431.78920398]
1975,-189.61216946104841,0.6519999504089355,[-289.86766119 -135.9445894  -237.51160964 -196.1380842   -88.59890287]
1976,-138.34698344045842,0.5929999351501465,[-163.45069947 -152.11094847 -185.96721297 -102.58270397  -87.62335232]
1977,-437.72487840417597,0.6080000400543213,[-660.19034595 -258.60319993 -619.20980105 -473.74406255 -176.87698254]
1978,-261.62074599847108,0.7389998435974121,[-269.92770578 -244.9773386  -331.93053188 -263.03954162 -198.2286121 ]
