Year,Mean Absolute Error,Time Spent (s),Error for each fold
2001,-8269.4928001766821,1.0429999828338623,"[-11111.614796    -7427.96292217  -9691.30947595  -7640.19923474
  -5476.37757202]"
2002,-8577.6568218279117,1.0889999866485596,"[-11526.70234542  -7565.08158836 -10112.49987318  -7947.92453945
  -5736.07576273]"
2003,-9596.6652331525802,1.0209999084472656,"[-11735.9949467   -8000.16613064 -11099.67568189 -11160.47738202
  -5987.01202452]"
2004,-10024.542927484359,1.0270001888275146,"[-12019.42637532  -8401.92970724 -11729.03445179 -11533.28659
  -6439.03751307]"
2005,-10921.546512457482,1.3320000171661377,"[-12565.25969179 -10129.43738449 -11736.5531108  -13054.5247613
  -7121.95761392]"
2006,-11455.514613666699,1.3549997806549072,"[-12741.93480134 -10659.99162987 -12508.40081452 -13757.25335467
  -7609.99246793]"
2007,-11640.796851101055,1.3220000267028809,"[-12616.09271989 -11000.25954768 -12141.6494918  -14329.4284634
  -8116.55403274]"
2008,-11219.706751318618,1.3220000267028809,"[-12107.97513687 -10814.09714934 -11311.60630252 -13913.02918612
  -7951.82598174]"
2009,-11192.295490554596,1.4720001220703125,"[-10962.99203457 -10357.92205167 -11908.87714255 -14573.64522558
  -8158.04099841]"
2010,-11645.316762762119,1.7149999141693115,"[-11276.82937924 -10668.26747705 -12373.97305349 -15470.24933586
  -8437.26456818]"
2011,-11439.129263972238,1.4189999103546143,"[-11855.95917385 -10641.92955709  -9921.38794553 -16087.92321508
  -8688.44642831]"
