Year,Mean Absolute Error,Time Spent (s),Error for each fold
2001,-3489.0177438162073,1.1069998741149902,[-5199.83730573 -2222.33801378 -3986.03719225 -3258.37492321 -2778.50128411]
2002,-3761.5112446903563,1.1990001201629639,[-5406.60929802 -2341.48895998 -4574.15975139 -3624.68544194 -2860.61277212]
2003,-4235.1735027435398,1.1119999885559082,[-5827.17227682 -2779.66615113 -4048.89075942 -4936.41665614 -3583.72167021]
2004,-4675.4984228828971,1.1480000019073486,[-6118.94614663 -2713.86344552 -5204.12330114 -5366.0601978  -3974.49902332]
2005,-5560.3716825541323,1.4239997863769531,[-6738.39202854 -3685.2373312  -5788.11361292 -7131.86307035 -4458.25236975]
2006,-5690.7460687932862,1.4840002059936523,[-6738.52173376 -3626.17707102 -5855.22322155 -7379.14583333 -4854.66248432]
2007,-5737.3002067080424,1.5189998149871826,[-6517.00740005 -3788.50790401 -5558.29776145 -8080.25611044 -4742.43185759]
2008,-5551.1330192300175,1.502000093460083,[-5783.65791539 -3583.69695513 -5731.99796778 -8080.09954732 -4576.21271053]
2009,-4841.0408183845693,1.4059998989105225,[-4303.36085673 -2810.74221241 -4752.83600724 -7770.39385241 -4567.87116312]
2010,-5228.3562460656412,1.9260001182556152,[-4215.24598365 -3418.19046874 -4959.64188389 -8776.08851894 -4772.6143751 ]
2011,-5065.427949103293,1.5069999694824219,[-4077.75865008 -3177.97390237 -3995.51494541 -9567.70614779 -4508.18609986]
