Year,Mean Absolute Error,Time Spent (s),Error for each fold
2004,-1.2533458794202363,1.2190001010894775,[-1.03623671 -0.98325896 -1.71416326 -1.22346997 -1.3096005 ]
2005,-2.1489107767956082,1.5429999828338623,[-2.18588393 -2.33792814 -1.96078579 -2.05985757 -2.20009846]
2006,-1.9618243204156258,1.377000093460083,[-2.01337313 -1.87402569 -1.94518762 -2.0950791  -1.88145606]
2007,-1.9392939456102201,1.4819998741149902,[-2.06775319 -1.86021887 -1.84615496 -2.12919747 -1.79314524]
2008,-1.878783170059227,1.5440001487731934,[-1.84358774 -1.86407127 -1.89846795 -2.02355357 -1.76423531]
2009,-1.880912267826806,1.3869998455047607,[-1.97309206 -1.89629041 -1.81333098 -1.86441368 -1.85743422]
2010,-1.8738082608926028,1.6549999713897705,[-1.83602614 -1.87737685 -1.89682775 -1.93081657 -1.82799399]
2011,-1.8207215623348976,1.4290001392364502,[-1.73140065 -1.82160534 -1.88596308 -1.91787141 -1.74676733]
2012,-1.8913491593570726,1.4149999618530273,[-1.83379911 -1.84573003 -1.97290895 -1.97109471 -1.833213  ]
2013,-1.8510228199731387,1.3640000820159912,[-1.72740916 -1.80057606 -1.94885026 -1.9049028  -1.87337582]
2014,-1.8855295173116164,1.2879998683929443,[-1.70829935 -1.7573756  -2.00507689 -2.16625528 -1.79064046]
