X var,Y var,MIC (strength),MIC-p^2 (nonlinearity),MAS (non-monotonicity),MEV (functionality),MCN (complexity),Linear regression (p)
0835N: GNI per capita; PPP  (current international $) - WDI,0836: GNI per capita; PPP  (constant 2011 international $) - WDI,0.99714,0.009086907,0.013559997,0.99714,5.857981,0.9940086
0808N: GDP per capita  (current US$) - WDI,0808: GDP per capita  (current US$) - WDI,0.99312,0.0095620155,0.019819975,0.99223,6.491853,0.99174494
0835N: GNI per capita; PPP  (current international $) - WDI,0835: GNI per capita; PPP  (current international $) - WDI,0.99305,-5.130768E-4,0.019829988,0.99305,5.643856,0.99677634
0835N: GNI per capita; PPP  (current international $) - WDI,0813: GDP per capita; PPP  (current international $) - WDI,0.99219,0.01604426,0.015859962,0.99219,6.129283,0.98800087
0835N: GNI per capita; PPP  (current international $) - WDI,0814: GDP per capita; PPP  (constant 2011 international $) - WDI,0.98856,0.016374111,0.007849991,0.98856,6.426265,0.9859949
0808N: GDP per capita  (current US$) - WDI,0830: GNI per capita; Atlas method  (current US$) - WDI,0.97432,0.015314579,0.019450009,0.97282,6.4594316,0.9792882
0808N: GDP per capita  (current US$) - WDI,0781: Adjusted net national income per capita  (current US$) - WDI,0.95358,-0.001196742,0.020330012,0.95358,6.357552,0.9771268
0808N: GDP per capita  (current US$) - WDI,0832: GNI per capita  (constant 2005 US$) - WDI,0.94568,-0.009329259,0.025770009,0.94409,6.2094536,0.97724575
0808N: GDP per capita  (current US$) - WDI,0836: GNI per capita; PPP  (constant 2011 international $) - WDI,0.94328,0.09967494,0.021950006,0.94328,6.2479277,0.91847974
0808N: GDP per capita  (current US$) - WDI,0810: GDP per capita  (constant 2005 US$) - WDI,0.93127,-0.036394477,0.026409984,0.93127,6.4594316,0.9836994
2707N: Failed States Index Total - Fund for Peace,2707: Failed States Index Total - Fund for Peace,0.92998,-0.06377965,0.021270037,0.92988,6.2479277,0.9968749
0808N: GDP per capita  (current US$) - WDI,0813: GDP per capita; PPP  (current international $) - WDI,0.92972,0.11785388,0.025510013,0.92859,6.4594316,0.90103614
0808N: GDP per capita  (current US$) - WDI,0814: GDP per capita; PPP  (constant 2011 international $) - WDI,0.92601,0.10922462,0.039579988,0.92472,6.4594316,0.9037618
0808N: GDP per capita  (current US$) - WDI,0782: Adjusted net national income per capita  (constant 2005 US$) - WDI,0.92524,-0.025021315,0.018340051,0.92524,6.169925,0.97481346
0808N: GDP per capita  (current US$) - WDI,0835: GNI per capita; PPP  (current international $) - WDI,0.91822,0.109739184,0.01827997,0.91698,6.4594316,0.8991556
2707N: Failed States Index Total - Fund for Peace,2706: Failed States Index Rank - Fund for Peace,0.91389,-0.010086596,0.024800003,0.91348,6.2479277,-0.961237
0835N: GNI per capita; PPP  (current international $) - WDI,0808: GDP per capita  (current US$) - WDI,0.91176,0.10945803,0.042540014,0.91176,6.426265,0.8957131
0835N: GNI per capita; PPP  (current international $) - WDI,1167: GDP per person employed  (constant 2011 PPP $) - WDI,0.90319,0.01749301,0.034229994,0.90186,6.357552,0.9411148
0835N: GNI per capita; PPP  (current international $) - WDI,0832: GNI per capita  (constant 2005 US$) - WDI,0.89384,0.12088889,0.041970015,0.89217,6.2094536,0.8791764
2713N: Legitimacy of the State - Fund for Peace,2713: Legitimacy of the State - Fund for Peace,0.88855,-0.09521186,0.02432996,0.88855,6.0,0.9918477
0835N: GNI per capita; PPP  (current international $) - WDI,0830: GNI per capita; Atlas method  (current US$) - WDI,0.88215,0.09422648,0.025319993,0.88215,6.426265,0.88765055
2716N: Security Apparatus - Fund for Peace,2716: Security Apparatus - Fund for Peace,0.86519,-0.11388177,0.039960027,0.86044,6.228819,0.98948056
