@relation MINE-Indicator-2011-2707

@attribute XVar string
@attribute YVar string
@attribute MIC numeric
@attribute MIC-p2 numeric
@attribute MAS numeric
@attribute MEV numeric
@attribute MCN numeric
@attribute p numeric

@data
'2707N: Failed States Index Total - Fund for Peace - 1','2706: Failed States Index Rank - Fund for Peace - 1701',0.98867,0.049847662,0.03895998,0.98867,4.321928,-0.96892846
'2707N: Failed States Index Total - Fund for Peace - 1','2707: Failed States Index Total - Fund for Peace - 1702',0.98441,-0.0054697394,0.021889985,0.97311,4.4594316,0.994927
'2707N: Failed States Index Total - Fund for Peace - 1','0677: Household final consumption expenditure per capita  (constant 2005 US$) - WDI - 609',0.82576,0.14060932,0.11939001,0.79974,4.169925,-0.8277383
'2707N: Failed States Index Total - Fund for Peace - 1','0782: Adjusted net national income per capita  (constant 2005 US$) - WDI - 714',0.76777,0.10002136,0.061040044,0.74339,4.169925,-0.8171589
'2707N: Failed States Index Total - Fund for Peace - 1','2713: Legitimacy of the State - Fund for Peace - 1708',0.76645,-0.1142171,0.07852,0.75758,4.4594316,0.93843865
'2707N: Failed States Index Total - Fund for Peace - 1','0810: GDP per capita  (constant 2005 US$) - WDI - 742',0.7459,0.1231733,0.10343003,0.7459,4.321928,-0.78913033
'2707N: Failed States Index Total - Fund for Peace - 1','2715: Human Rights - Fund for Peace - 1710',0.74318,-0.09234011,0.059839964,0.72305,4.4594316,0.91406786
'2707N: Failed States Index Total - Fund for Peace - 1','2716: Security Apparatus - Fund for Peace - 1711',0.74102,-0.14210916,0.07672,0.74102,4.321928,0.93974954
'2707N: Failed States Index Total - Fund for Peace - 1','2708: Demographic Pressures - Fund for Peace - 1703',0.73259,-0.11315024,0.05225998,0.72369,4.4594316,0.9196414
'2707N: Failed States Index Total - Fund for Peace - 1','0454: Automated teller machines (ATMs)  (per 100;000 adults) - WDI - 404',0.72939,0.21867591,0.08978003,0.72939,4.321928,-0.71464264
'2707N: Failed States Index Total - Fund for Peace - 1','1899: Percentage of Individuals using the Internet (%) - ITU - 1657',0.72617,-0.026965797,0.097769976,0.70717,4.4594316,-0.867834
'2707N: Failed States Index Total - Fund for Peace - 1','2714: Public Services - Fund for Peace - 1709',0.71656,-0.12242317,0.03512001,0.71176,4.4594316,0.91596025
'2707N: Failed States Index Total - Fund for Peace - 1','1098: Health expenditure per capita  (current US$) - WDI - 1013',0.70932,0.12167138,0.028999984,0.69029,4.4594316,-0.7665824
