@relation MINE-Indicator-2011-2716_clustered

@attribute Instance_number numeric
@attribute XVar string
@attribute YVar string
@attribute MIC numeric
@attribute MIC-p2 numeric
@attribute MAS numeric
@attribute MEV numeric
@attribute MCN numeric
@attribute p numeric
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6}

@data
0,'2716N: Security Apparatus - Fund for Peace - 3','2716: Security Apparatus - Fund for Peace - 1711',0.90444,-0.051873,0.04628,0.90311,4.459432,0.977913,cluster0
1,'2716N: Security Apparatus - Fund for Peace - 3','2706: Failed States Index Rank - Fund for Peace - 1701',0.71888,-0.08184,0.05056,0.71888,4.321928,-0.89483,cluster1
2,'2716N: Security Apparatus - Fund for Peace - 3','2707: Failed States Index Total - Fund for Peace - 1702',0.71613,-0.143337,0.04562,0.71613,4.321928,0.927074,cluster0
3,'2716N: Security Apparatus - Fund for Peace - 3','2713: Legitimacy of the State - Fund for Peace - 1708',0.66188,-0.13606,0.07219,0.65488,4.459432,0.893275,cluster0
4,'2716N: Security Apparatus - Fund for Peace - 3','2715: Human Rights - Fund for Peace - 1710',0.65935,-0.123572,0.05274,0.65935,4.321928,0.884829,cluster0
5,'2716N: Security Apparatus - Fund for Peace - 3','2708: Demographic Pressures - Fund for Peace - 1703',0.63158,-0.031225,0.07727,0.63158,4.321928,0.814128,cluster0
6,'2716N: Security Apparatus - Fund for Peace - 3','0782: Adjusted net national income per capita  (constant 2005 US$) - WDI - 714',0.61828,0.06763,0.04413,0.61828,4,-0.742058,cluster1
7,'2716N: Security Apparatus - Fund for Peace - 3','0677: Household final consumption expenditure per capita  (constant 2005 US$) - WDI - 609',0.61103,0.041007,0.07616,0.61103,4,-0.754999,cluster1
8,'2716N: Security Apparatus - Fund for Peace - 3','0953: School enrollment; secondary; female  (\% gross) - WDI - 883',0.60269,0.177392,0.16102,0.58022,4.169925,-0.652149,cluster1
9,'2716N: Security Apparatus - Fund for Peace - 3','2714: Public Services - Fund for Peace - 1709',0.60265,-0.051861,0.04998,0.60173,4.459432,0.809018,cluster0
10,'2716N: Security Apparatus - Fund for Peace - 3','0781: Adjusted net national income per capita  (current US$) - WDI - 713',0.59302,0.067681,0.10959,0.59302,3.807355,-0.724803,cluster1
11,'2716N: Security Apparatus - Fund for Peace - 3','2711: Uneven Development - Fund for Peace - 1706',0.58847,-0.076769,0.04552,0.58328,4.459432,0.815622,cluster0
12,'2716N: Security Apparatus - Fund for Peace - 3','2717: Factionalized Elites - Fund for Peace - 1712',0.58381,-0.19055,0.04128,0.58144,4.459432,0.879977,cluster0
13,'2716N: Security Apparatus - Fund for Peace - 3','0952: School enrollment; secondary  (\% gross) - WDI - 882',0.58009,0.147584,0.07242,0.5681,4.169925,-0.657652,cluster1
14,'2716N: Security Apparatus - Fund for Peace - 3','1414: Account at a financial institution; female  (\% age 15+) - WDI - 1319',0.57275,-0.015878,0.08607,0.57275,4,-0.767221,cluster1
15,'2716N: Security Apparatus - Fund for Peace - 3','0832: GNI per capita  (constant 2005 US$) - WDI - 764',0.55953,0.003165,0.0403,0.55953,4,-0.745899,cluster1
16,'2716N: Security Apparatus - Fund for Peace - 3','2710: Group Grievance - Fund for Peace - 1705',0.55421,-0.104431,0.05822,0.54404,4.459432,0.811567,cluster0
17,'2716N: Security Apparatus - Fund for Peace - 3','0642: Secure Internet servers  (per 1 million people) - WDI - 583',0.55222,0.143952,0.08826,0.55222,3.807355,-0.638958,cluster1
18,'2716N: Security Apparatus - Fund for Peace - 3','0830: GNI per capita; Atlas method  (current US$) - WDI - 762',0.54812,0.040014,0.0676,0.54812,3.807355,-0.712816,cluster1
19,'2716N: Security Apparatus - Fund for Peace - 3','0954: School enrollment; secondary; male  (\% gross) - WDI - 884',0.54464,0.123421,0.04997,0.52804,4.169925,-0.649014,cluster1
20,'2716N: Security Apparatus - Fund for Peace - 3','2704: Corruption perceptions index - Transparency - 1699',0.54245,-0.137731,0.06448,0.54245,4.321928,-0.824731,cluster1
21,'2716N: Security Apparatus - Fund for Peace - 3','1098: Health expenditure per capita  (current US$) - WDI - 1013',0.5332,0.064143,0.05214,0.5332,4.169925,-0.684877,cluster1
22,'2716N: Security Apparatus - Fund for Peace - 3','1901: Fixed-broadband subscriptions per 100 inhabitants - ITU - 1659',0.52795,-0.076648,0.08132,0.52795,4.169925,-0.777559,cluster1
23,'2716N: Security Apparatus - Fund for Peace - 3','1099: Health expenditure per capita; PPP  (constant 2011 international $) - WDI - 1014',0.52777,-0.013998,0.06454,0.52777,4,-0.736049,cluster1
24,'2716N: Security Apparatus - Fund for Peace - 3','1416: Account at a financial institution; income; richest 60\%  (\% ages 15+) - WDI - 1321',0.52642,-0.018722,0.08212,0.52642,4.169925,-0.738337,cluster1
25,'2716N: Security Apparatus - Fund for Peace - 3','0640: Fixed broadband subscriptions  (per 100 people) - WDI - 581',0.52627,-0.076464,0.06262,0.52627,4.169925,-0.776359,cluster1
26,'2716N: Security Apparatus - Fund for Peace - 3','1899: Percentage of Individuals using the Internet (\%) - ITU - 1657',0.52441,-0.067907,0.03472,0.50924,4.459432,-0.769622,cluster1
27,'2716N: Security Apparatus - Fund for Peace - 3','0380: Energy use  (kg of oil equivalent per capita) - WDI - 366',0.52319,0.292259,0.1402,0.52319,4.169925,-0.480552,cluster1
28,'2716N: Security Apparatus - Fund for Peace - 3','1433: Air and GHG emissions - CO2 (TONNE_CAP) - OECD - 1327',0.52181,0.311689,0.11953,0.49147,4.169925,-0.45839,cluster1
29,'2716N: Security Apparatus - Fund for Peace - 3','0643: Internet users  (per 100 people) - WDI - 584',0.52104,-0.073421,0.04921,0.50147,4.459432,-0.771013,cluster1
30,'2716N: Security Apparatus - Fund for Peace - 3','1412: Account at a financial institution  (\% age 15+) - WDI - 1317',0.52027,-0.040403,0.08816,0.52027,4,-0.748781,cluster1
31,'2716N: Security Apparatus - Fund for Peace - 3','1415: Account at a financial institution; income; poorest 40\%  (\% ages 15+) - WDI - 1320',0.52,-0.04132,0.08785,0.52,4.169925,-0.749213,cluster1
32,'2716N: Security Apparatus - Fund for Peace - 3','0379: Electric power consumption  (kWh per capita) - WDI - 365',0.51878,0.21158,0.0978,0.49816,4.169925,-0.554257,cluster1
33,'2716N: Security Apparatus - Fund for Peace - 3','1285: Life expectancy at birth; female  (years) - WDI - 1190',0.5181,0.128401,0.08333,0.50234,4.459432,-0.624259,cluster1
