@relation MINE-Indicator-2011-2716_clustered

@attribute Instance_number numeric
@attribute XVar string
@attribute YVar string
@attribute MIC numeric
@attribute MIC-p2 numeric
@attribute MAS numeric
@attribute MEV numeric
@attribute MCN numeric
@attribute p numeric
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6}

@data
34,'2716N: Security Apparatus - Fund for Peace - 3','0808: GDP per capita  (current US$) - WDI - 740',0.50635,0.036486,0.05455,0.50635,3.807355,-0.685467,cluster1
35,'2716N: Security Apparatus - Fund for Peace - 3','0454: Automated teller machines (ATMs)  (per 100;000 adults) - WDI - 404',0.50538,0.09432,0.05859,0.50538,4.321928,-0.641139,cluster1
36,'2716N: Security Apparatus - Fund for Peace - 3','0978: School enrollment; tertiary  (\% gross) - WDI - 908',0.50267,0.030979,0.07084,0.4763,4.169925,-0.686798,cluster1
37,'2716N: Security Apparatus - Fund for Peace - 3','1413: Account at a financial institution; male  (\% age 15+) - WDI - 1318',0.4973,-0.013745,0.04964,0.4973,4.169925,-0.714874,cluster1
38,'2716N: Security Apparatus - Fund for Peace - 3','2709: Refugees and IDPs - Fund for Peace - 1704',0.49724,-0.090283,0.03667,0.48296,4.459432,0.7665,cluster0
39,'2716N: Security Apparatus - Fund for Peace - 3','0810: GDP per capita  (constant 2005 US$) - WDI - 742',0.49385,-0.011492,0.03833,0.49385,4.169925,-0.710874,cluster1
40,'2716N: Security Apparatus - Fund for Peace - 3','0353: Agriculture value added per worker  (constant 2005 US$) - WDI - 345',0.49353,0.164778,0.05662,0.49102,4.321928,-0.573369,cluster1
41,'2716N: Security Apparatus - Fund for Peace - 3','1025: Number of neonatal deaths - WDI - 949',0.48936,0.44635,0.07619,0.47072,4.459432,0.207389,cluster6
42,'2716N: Security Apparatus - Fund for Peace - 3','1031: Mortality rate; neonatal  (per 1;000 live births) - WDI - 953',0.48809,0.071154,0.07885,0.45824,4.459432,0.645706,cluster6
43,'2716N: Security Apparatus - Fund for Peace - 3','1028: Mortality rate; under-5  (per 1;000 live births) - WDI - 952',0.4849,0.15381,0.05026,0.4849,3.807355,0.575405,cluster6
44,'2716N: Security Apparatus - Fund for Peace - 3','1300: Age dependency ratio; young  (\% of working-age population) - WDI - 1205',0.48276,0.105645,0.09094,0.47286,4.459432,0.614097,cluster6
45,'2716N: Security Apparatus - Fund for Peace - 3','1283: Mortality rate; infant  (per 1;000 live births) - WDI - 1189',0.47725,0.104016,0.06456,0.47725,3.807355,0.610929,cluster6
46,'2716N: Security Apparatus - Fund for Peace - 3','1295: Population ages 0-14  (\% of total) - WDI - 1200',0.47718,0.048117,0.05948,0.46133,4.459432,0.655029,cluster0
47,'2716N: Security Apparatus - Fund for Peace - 3','2718: External Intervention - Fund for Peace - 1713',0.47624,-0.113741,0.04617,0.46686,4.459432,0.768102,cluster0
48,'2716N: Security Apparatus - Fund for Peace - 3','1035: Improved water source  (\% of population with access) - WDI - 957',0.47357,0.143023,0.04436,0.46691,4.459432,-0.574933,cluster1
49,'2716N: Security Apparatus - Fund for Peace - 3','1954: Gross national income per capita (PPP int. $) - WHO - 1679',0.47344,0.064381,0.0284,0.47344,4.169925,-0.639578,cluster1
50,'2716N: Security Apparatus - Fund for Peace - 3','0855: Price level ratio of PPP conversion factor  to market exchange rate (GDP) - WDI - 786',0.47333,-0.04421,0.07218,0.47333,4.169925,-0.719403,cluster1
51,'2716N: Security Apparatus - Fund for Peace - 3','1034: Improved water source; urban  (\% of urban population with access) - WDI - 956',0.4673,0.222236,0.04619,0.45967,4.459432,-0.495039,cluster1
52,'2716N: Security Apparatus - Fund for Peace - 3','1051: Lifetime risk of maternal death  (\%) - WDI - 973',0.46283,0.246972,0.07128,0.46283,4.169925,0.464606,cluster6
53,'2716N: Security Apparatus - Fund for Peace - 3','1288: Fertility rate; total  (births per woman) - WDI - 1193',0.46033,0.13506,0.08361,0.4459,4.459432,0.570324,cluster6
54,'2716N: Security Apparatus - Fund for Peace - 3','1278: Birth rate; crude  (per 1;000 people) - WDI - 1185',0.45487,0.062679,0.04831,0.43653,4.459432,0.626252,cluster6
55,'2716N: Security Apparatus - Fund for Peace - 3','0736: Agriculture; value added  (\% of GDP) - WDI - 668',0.45279,0.119685,0.04619,0.44216,4.321928,0.577153,cluster6
56,'2716N: Security Apparatus - Fund for Peace - 3','1297: Population ages 65 and above  (\% of total) - WDI - 1202',0.45171,-0.001688,0.09871,0.45142,4.459432,-0.673348,cluster1
57,'2716N: Security Apparatus - Fund for Peace - 3','1898: Fixed-telephone subscriptions per 100 inhabitants - ITU - 1656',0.44999,-0.033095,0.04879,0.43956,4.459432,-0.695043,cluster1
58,'2716N: Security Apparatus - Fund for Peace - 3','1299: Age dependency ratio; old  (\% of working-age population) - WDI - 1204',0.44869,0.008299,0.09288,0.44869,4.321928,-0.663619,cluster1
59,'2716N: Security Apparatus - Fund for Peace - 3','0366: Electricity production from renewable sources; excluding hydroelectric  (kWh) - WDI - 355',0.4481,0.386997,0.16072,0.4481,4.169925,-0.24719,cluster3
60,'2716N: Security Apparatus - Fund for Peace - 3','1967: Total fertility rate (per woman) - WHO - 1684',0.44733,0.139076,0.09519,0.42857,4.459432,0.555206,cluster6
61,'2716N: Security Apparatus - Fund for Peace - 3','1050: Lifetime risk of maternal death  (1 in: rate varies by country) - WDI - 972',0.44679,0.046396,0.07639,0.44679,4.169925,-0.632767,cluster1
62,'2716N: Security Apparatus - Fund for Peace - 3','0490: Claims on other sectors of the domestic economy  (\% of GDP) - WDI - 439',0.44529,0.009493,0.03419,0.42196,4.169925,-0.660149,cluster1
63,'2716N: Security Apparatus - Fund for Peace - 3','0836: GNI per capita; PPP  (constant 2011 international $) - WDI - 768',0.44514,0.019073,0.05271,0.44514,4.169925,-0.652738,cluster1
64,'2716N: Security Apparatus - Fund for Peace - 3','1021: Number of infant deaths - WDI - 947',0.44346,0.385554,0.03825,0.42634,4.459432,0.240637,cluster6
65,'2716N: Security Apparatus - Fund for Peace - 3','0835: GNI per capita; PPP  (current international $) - WDI - 767',0.44332,0.017247,0.05271,0.44332,4.169925,-0.652743,cluster1
66,'2716N: Security Apparatus - Fund for Peace - 3','0844: Net taxes on products  (current US$) - WDI - 776',0.44156,0.370176,0.14907,0.44156,4.169925,-0.267179,cluster3
67,'2716N: Security Apparatus - Fund for Peace - 3','2719: Human Flight - Fund for Peace - 1714',0.44024,-0.05096,0.04368,0.42641,4.459432,0.700857,cluster0
68,'2716N: Security Apparatus - Fund for Peace - 3','0539: Distance to frontier score  (0=lowest performance to 100=frontier) - WDI - 488',0.44001,-0.092894,0.0442,0.44001,4.321928,-0.730003,cluster1
69,'2716N: Security Apparatus - Fund for Peace - 3','1016: Prevalence of anemia among children  (\% of children under 5) - WDI - 943',0.43638,0.048241,0.04002,0.42881,4.459432,0.623008,cluster6
70,'2716N: Security Apparatus - Fund for Peace - 3','0813: GDP per capita; PPP  (current international $) - WDI - 745',0.43621,0.045691,0.0692,0.43621,4.321928,-0.624915,cluster1
71,'2716N: Security Apparatus - Fund for Peace - 3','0814: GDP per capita; PPP  (constant 2011 international $) - WDI - 746',0.43621,0.045691,0.0692,0.43621,4.321928,-0.624915,cluster1
72,'2716N: Security Apparatus - Fund for Peace - 3','1017: Prevalence of anemia among non-pregnant women  (\% of women ages 15-49) - WDI - 944',0.4359,0.153211,0.11959,0.42247,4.459432,0.531685,cluster6
73,'2716N: Security Apparatus - Fund for Peace - 3','1167: GDP per person employed  (constant 2011 PPP $) - WDI - 1080',0.43454,0.128971,0.05461,0.43454,4.321928,-0.552783,cluster1
74,'2716N: Security Apparatus - Fund for Peace - 3','0638: Fixed telephone subscriptions  (per 100 people) - WDI - 579',0.43387,-0.05024,0.02322,0.41972,4.459432,-0.69578,cluster1
75,'2716N: Security Apparatus - Fund for Peace - 3','1015: Prevalence of anemia among women of reproductive age  (\% of women ages 15-49) - WDI - 942',0.43359,0.148842,0.10811,0.42124,4.459432,0.533618,cluster6
76,'2716N: Security Apparatus - Fund for Peace - 3','1049: Number of maternal deaths - WDI - 971',0.43145,0.350404,0.03748,0.42142,4.459432,0.284687,cluster6
77,'2716N: Security Apparatus - Fund for Peace - 3','1289: Survival to age 65; female  (\% of cohort) - WDI - 1194',0.43079,0.11495,0.06802,0.42894,4.459432,-0.561996,cluster1
78,'2716N: Security Apparatus - Fund for Peace - 3','1023: Number of under-five deaths - WDI - 948',0.43072,0.368665,0.03634,0.41715,4.459432,0.249109,cluster6
79,'2716N: Security Apparatus - Fund for Peace - 3','1286: Life expectancy at birth; total  (years) - WDI - 1191',0.43063,0.027297,0.0459,0.42805,4.459432,-0.635085,cluster1
80,'2716N: Security Apparatus - Fund for Peace - 3','2712: Poverty and Economic Decline - Fund for Peace - 1707',0.42936,-0.069279,0.068,0.41822,4.459432,0.706144,cluster0
81,'2716N: Security Apparatus - Fund for Peace - 3','0641: Secure Internet servers - WDI - 582',0.42762,0.348998,0.05365,0.42762,4.321928,-0.280396,cluster3
82,'2716N: Security Apparatus - Fund for Peace - 3','0794: Gross value added at factor cost  (current US$) - WDI - 726',0.42709,0.362036,0.22135,0.42709,4.169925,-0.255057,cluster3
83,'2716N: Security Apparatus - Fund for Peace - 3','1071: Maternal mortality ratio  (modeled estimate; per 100;000 live births) - WDI - 987',0.42621,0.186824,0.09002,0.42621,4.169925,0.489271,cluster6
84,'2716N: Security Apparatus - Fund for Peace - 3','1033: Improved water source; rural  (\% of rural population with access) - WDI - 955',0.42553,0.077472,0.04189,0.40403,4.459432,-0.589965,cluster1
85,'2716N: Security Apparatus - Fund for Peace - 3','0388: CO2 emissions  (metric tons per capita) - WDI - 374',0.418,0.249798,0.04777,0.40584,4.459432,-0.410124,cluster4
86,'2716N: Security Apparatus - Fund for Peace - 3','2818: Balance of Payments-Imports-Telecommunications; computer; and information services (US dollar at current prices) - WTO - 1813',0.41785,0.257441,0.09366,0.40873,4.321928,-0.40051,cluster3
87,'2716N: Security Apparatus - Fund for Peace - 3','0059: ICT service exports  (BoP; current US$) - WDI - 56',0.41641,0.269907,0.08761,0.41641,4.169925,-0.382758,cluster3
88,'2716N: Security Apparatus - Fund for Peace - 3','2737: Merchandise trade-Imports-Automotive products (US dollar at current prices) - WTO - 1732',0.41549,0.319159,0.12435,0.40481,4.321928,-0.310372,cluster3
89,'2716N: Security Apparatus - Fund for Peace - 3','1276: Mortality rate; adult; female  (per 1;000 female adults) - WDI - 1183',0.41384,0.201159,0.04577,0.41384,4,0.461174,cluster6
90,'2716N: Security Apparatus - Fund for Peace - 3','0767: Adjusted savings: consumption of fixed capital  (\% of GNI) - WDI - 699',0.41232,0.036241,0.06154,0.41232,4.321928,-0.613253,cluster1
91,'2716N: Security Apparatus - Fund for Peace - 3','0898: Pupil-teacher ratio; primary - WDI - 828',0.41181,0.109024,0.11231,0.39489,4.169925,0.55026,cluster6
92,'2716N: Security Apparatus - Fund for Peace - 3','2817: Balance of Payments-Imports-Charges for the use of intellectual property n.i.e. (US dollar at current prices) - WTO - 1812',0.41153,0.241279,0.06801,0.41153,4,-0.412614,cluster4
93,'2716N: Security Apparatus - Fund for Peace - 3','0759: Services; etc.; value added  (\% of GDP) - WDI - 691',0.4089,0.148843,0.02668,0.39568,4.321928,-0.509957,cluster1
94,'2716N: Security Apparatus - Fund for Peace - 3','0885: School enrollment; preprimary  (\% gross) - WDI - 815',0.40673,0.036797,0.04512,0.39463,4.169925,-0.608221,cluster1
95,'2716N: Security Apparatus - Fund for Peace - 3','2736: Merchandise trade-Imports-Transport equipment (US dollar at current prices) - WTO - 1731',0.40391,0.297938,0.11706,0.38769,4.321928,-0.325533,cluster3
96,'2716N: Security Apparatus - Fund for Peace - 3','2795: Balance of Payments-Exports-Other business services (US dollar at current prices) - WTO - 1790',0.40351,0.258736,0.05535,0.40351,4.169925,-0.380492,cluster3
97,'2716N: Security Apparatus - Fund for Peace - 3','1266: Refugee population by country or territory of origin - WDI - 1177',0.40078,0.306709,0.05577,0.38791,4.459432,0.30671,cluster6
98,'2716N: Security Apparatus - Fund for Peace - 3','0056: Net capital account  (BoP; current US$) - WDI - 53',0.40053,0.388295,0.20626,0.40053,4.169925,-0.110614,cluster3
99,'2716N: Security Apparatus - Fund for Peace - 3','1058: Improved sanitation facilities  (\% of population with access) - WDI - 975',0.40045,0.100268,0.04688,0.39037,4.459432,-0.547888,cluster1
100,'2716N: Security Apparatus - Fund for Peace - 3','0570: Documents to import  (number) - WDI - 516',0.39997,0.007412,0.08441,0.39997,4.321928,0.626545,cluster6
101,'2716N: Security Apparatus - Fund for Peace - 3','2735: Merchandise trade-Imports-Telecommunications equipment (US dollar at current prices) - WTO - 1730',0.39846,0.316956,0.12419,0.37828,4.321928,-0.28549,cluster3
102,'2716N: Security Apparatus - Fund for Peace - 3','0887: School enrollment; preprimary; male  (\% gross) - WDI - 817',0.39842,0.03877,0.03821,0.38519,4.169925,-0.599708,cluster1
103,'2716N: Security Apparatus - Fund for Peace - 3','2733: Merchandise trade-Imports-Machinery and transport equipment (US dollar at current prices) - WTO - 1728',0.39692,0.312476,0.12346,0.38154,4.321928,-0.290593,cluster3
104,'2716N: Security Apparatus - Fund for Peace - 3','0361: Electric power transmission and distribution losses  (\% of output) - WDI - 350',0.3958,0.277146,0.07616,0.38442,4.169925,0.344462,cluster6
105,'2716N: Security Apparatus - Fund for Peace - 3','1073: People practicing open defecation; rural  (\% of rural population) - WDI - 989',0.39298,0.225426,0.06961,0.39298,4.321928,0.409333,cluster6
106,'2716N: Security Apparatus - Fund for Peace - 3','0552: Documents to export  (number) - WDI - 499',0.39219,0.015562,0.07095,0.39219,4.321928,0.6137,cluster6
107,'2716N: Security Apparatus - Fund for Peace - 3','1060: Improved sanitation facilities; urban  (\% of urban population with access) - WDI - 977',0.39174,0.133671,0.07283,0.37999,4.459432,-0.508005,cluster4
108,'2716N: Security Apparatus - Fund for Peace - 3','0057: Grants; excluding technical cooperation  (BoP; current US$) - WDI - 54',0.39067,0.236507,0.10497,0.37413,4.169925,0.392636,cluster6
109,'2716N: Security Apparatus - Fund for Peace - 3','1323: International tourism; receipts for travel items  (current US$) - WDI - 1228',0.39041,0.29115,0.14103,0.39041,4.321928,-0.315055,cluster3
110,'2716N: Security Apparatus - Fund for Peace - 3','1895: Mobile-cellular telephone subscriptions - ITU - 1653',0.38998,0.131944,0.06757,0.37925,4.459432,-0.507972,cluster4
111,'2716N: Security Apparatus - Fund for Peace - 3','1896: Mobile-cellular telephone subscriptions per 100 inhabitants - ITU - 1654',0.38998,0.131944,0.06757,0.37925,4.459432,-0.507972,cluster4
112,'2716N: Security Apparatus - Fund for Peace - 3','0886: School enrollment; preprimary; female  (\% gross) - WDI - 816',0.3896,0.029871,0.02717,0.37667,4.169925,-0.599774,cluster1
113,'2716N: Security Apparatus - Fund for Peace - 3','2734: Merchandise trade-Imports-Office and telecom equipment (US dollar at current prices) - WTO - 1729',0.3892,0.329211,0.09873,0.37255,4.321928,-0.244926,cluster3
114,'2716N: Security Apparatus - Fund for Peace - 3','2794: Balance of Payments-Exports-Telecommunications; computer; and information services (US dollar at current prices) - WTO - 1789',0.38917,0.297432,0.07065,0.37755,4.321928,-0.302883,cluster3
115,'2716N: Security Apparatus - Fund for Peace - 3','1101: Health expenditure; public  (\% of total health expenditure) - WDI - 1016',0.38848,0.110896,0.0773,0.37167,4.459432,-0.526863,cluster1
116,'2716N: Security Apparatus - Fund for Peace - 3','0773: Adjusted savings: particulate emission damage  (\% of GNI) - WDI - 705',0.38839,0.122205,0.08349,0.38839,4.321928,0.515931,cluster6
117,'2716N: Security Apparatus - Fund for Peace - 3','2729: Merchandise trade-Imports-Manufactures (US dollar at current prices) - WTO - 1724',0.3881,0.286787,0.11422,0.3665,4.321928,-0.318297,cluster3
118,'2716N: Security Apparatus - Fund for Peace - 3','0460: Domestic credit to private sector by banks  (\% of GDP) - WDI - 409',0.3872,-0.017658,0.03632,0.3872,4.321928,-0.636285,cluster1
119,'2716N: Security Apparatus - Fund for Peace - 3','1052: Prevalence of anemia among pregnant women  (\%) - WDI - 974',0.38717,0.176228,0.07719,0.37723,4.459432,0.459284,cluster6
120,'2716N: Security Apparatus - Fund for Peace - 3','0903: Gross intake ratio in first grade of primary education; male  (\% of relevant age group) - WDI - 833',0.3866,0.317545,0.09547,0.36428,4.169925,0.262783,cluster6
121,'2716N: Security Apparatus - Fund for Peace - 3','0577: Cost of business start-up procedures  (\% of GNI per capita) - WDI - 521',0.38655,0.178311,0.04106,0.38655,4.321928,0.456332,cluster6
122,'2716N: Security Apparatus - Fund for Peace - 3','1059: Improved sanitation facilities; rural  (\% of rural population with access) - WDI - 976',0.38365,0.074785,0.03937,0.37208,4.459432,-0.555756,cluster1
123,'2716N: Security Apparatus - Fund for Peace - 3','0796: Gross value added at factor cost  (constant 2005 US$) - WDI - 728',0.38258,0.310707,0.11641,0.3741,4.169925,-0.268092,cluster3
124,'2716N: Security Apparatus - Fund for Peace - 3','2819: Balance of Payments-Imports-Telecommunications services (US dollar at current prices) - WTO - 1814',0.38237,0.226872,0.07554,0.36936,4.169925,-0.394332,cluster4
125,'2716N: Security Apparatus - Fund for Peace - 3','1103: Health expenditure; public  (\% of GDP) - WDI - 1018',0.38113,-0.03439,0.05149,0.37278,4.459432,-0.644608,cluster1
126,'2716N: Security Apparatus - Fund for Peace - 3','0043: Secondary income; other sectors; payments  (BoP; current US$) - WDI - 40',0.38111,0.291953,0.08372,0.37021,4.321928,-0.298592,cluster3
127,'2716N: Security Apparatus - Fund for Peace - 3','2785: Balance of Payments-Exports-Commercial services (US dollar at current prices) - WTO - 1780',0.37874,0.217263,0.04093,0.37874,4.321928,-0.401842,cluster4
128,'2716N: Security Apparatus - Fund for Peace - 3','2743: Merchandise trade-Exports-Pharmaceuticals (US dollar at current prices) - WTO - 1738',0.37818,0.216936,0.02406,0.35668,4.321928,-0.401552,cluster4
129,'2716N: Security Apparatus - Fund for Peace - 3','1096: Out-of-pocket health expenditure  (\% of total expenditure on health) - WDI - 1011',0.37786,0.080243,0.02592,0.36534,4.459432,0.545543,cluster6
130,'2716N: Security Apparatus - Fund for Peace - 3','2788: Balance of Payments-Exports-Travel (US dollar at current prices) - WTO - 1783',0.37786,0.266659,0.11993,0.37786,4.321928,-0.333469,cluster3
131,'2716N: Security Apparatus - Fund for Peace - 3','2720: Merchandise trade-Exports-Agricultural products (US dollar at current prices) - WTO - 1715',0.37741,0.263721,0.10218,0.36689,4.321928,-0.337178,cluster3
132,'2716N: Security Apparatus - Fund for Peace - 3','1287: Life expectancy at birth; male  (years) - WDI - 1192',0.3768,-0.029456,0.0584,0.37287,4.459432,-0.637382,cluster1
133,'2716N: Security Apparatus - Fund for Peace - 3','0636: Mobile cellular subscriptions  (per 100 people) - WDI - 577',0.37673,0.12206,0.05322,0.36598,4.459432,-0.504648,cluster4
134,'2716N: Security Apparatus - Fund for Peace - 3','0456: Commercial bank branches  (per 100;000 adults) - WDI - 406',0.37651,0.176448,0.04885,0.37651,4.321928,-0.447283,cluster4
135,'2716N: Security Apparatus - Fund for Peace - 3','0066: Service exports  (BoP; current US$) - WDI - 63',0.37642,0.221949,0.05445,0.37642,4.321928,-0.393028,cluster4
136,'2716N: Security Apparatus - Fund for Peace - 3','1924: Psychiatrists working in mental health sector (per 100;000) - WHO - 1666',0.37583,-0.008635,0.03307,0.37583,4.321928,-0.620053,cluster1
137,'2716N: Security Apparatus - Fund for Peace - 3','0037: Charges for the use of intellectual property; payments  (BoP; current US$) - WDI - 34',0.37574,0.192757,0.04807,0.37574,4,-0.427765,cluster4
138,'2716N: Security Apparatus - Fund for Peace - 3','0039: Transport services  (\% of service imports; BoP) - WDI - 36',0.37561,0.214597,0.12687,0.35713,4.321928,0.401264,cluster6
139,'2716N: Security Apparatus - Fund for Peace - 3','0491: Domestic credit provided by financial sector  (\% of GDP) - WDI - 440',0.37538,0.00084,0.06131,0.36676,4.321928,-0.611997,cluster1
140,'2716N: Security Apparatus - Fund for Peace - 3','2739: Merchandise trade-Imports-Clothing (US dollar at current prices) - WTO - 1734',0.37515,0.262075,0.0497,0.35916,4.321928,-0.336266,cluster3
141,'2716N: Security Apparatus - Fund for Peace - 3','1376: Transport services  (\% of commercial service imports) - WDI - 1281',0.37453,0.192116,0.06906,0.35439,4.321928,0.427099,cluster6
142,'2716N: Security Apparatus - Fund for Peace - 3','2723: Merchandise trade-Exports-Manufactures (US dollar at current prices) - WTO - 1718',0.37395,0.288624,0.08454,0.3581,4.321928,-0.292106,cluster3
143,'2716N: Security Apparatus - Fund for Peace - 3','0553: Time to export  (days) - WDI - 500',0.37373,0.082483,0.05598,0.37373,4.321928,0.539673,cluster6
144,'2716N: Security Apparatus - Fund for Peace - 3','1093: Incidence of tuberculosis  (per 100;000 people) - WDI - 1008',0.37342,0.288227,0.06276,0.35753,4.459432,0.291879,cluster6
145,'2716N: Security Apparatus - Fund for Peace - 3','2746: Merchandise trade-Exports-Electronic data processing and office equipment (US dollar at current prices) - WTO - 1741',0.37337,0.362903,0.05336,0.36119,4.321928,-0.102307,cluster3
146,'2716N: Security Apparatus - Fund for Peace - 3','2836: Total health expenditure as a percent of GDP by institutional sector/ Institutional Sector = Public (Units Percentage) - ILO - 1831',0.37316,-0.029385,0.06344,0.37316,4.321928,-0.634464,cluster1
