@relation MINE-Indicator-2006TO2013-0811

@attribute XVar string
@attribute YVar string
@attribute MIC numeric
@attribute MIC-p2 numeric
@attribute MAS numeric
@attribute MEV numeric
@attribute MCN numeric
@attribute p numeric

@data
'0811N: GDP per capita growth  (annual %) - WDI','0811: GDP per capita growth  (annual %) - WDI',0.27459,0.26604164,0.023169994,0.27459,6.4594316,0.092457235
'0811N: GDP per capita growth  (annual %) - WDI','0833: GNI per capita growth  (annual %) - WDI',0.25476,0.24607192,0.008759998,0.25476,6.2479277,0.09320985
'0811N: GDP per capita growth  (annual %) - WDI','0826: GNI growth  (annual %) - WDI',0.2534,0.24855569,0.031820014,0.2534,6.2479277,0.06960106
'0811N: GDP per capita growth  (annual %) - WDI','0832: GNI per capita  (constant 2005 US$) - WDI',0.24762,0.20888135,0.08001,0.24477,6.2094536,-0.19682138
'0811N: GDP per capita growth  (annual %) - WDI','0677: Household final consumption expenditure per capita  (constant 2005 US$) - WDI',0.2464,0.17171022,0.07412,0.2464,6.2094536,-0.2732943
'0811N: GDP per capita growth  (annual %) - WDI','0803: GDP growth  (annual %) - WDI',0.24634,0.24148045,0.010920003,0.24634,6.4594316,0.06971045
'0811N: GDP per capita growth  (annual %) - WDI','0782: Adjusted net national income per capita  (constant 2005 US$) - WDI',0.24209,0.1971159,0.090670004,0.24209,6.169925,-0.21207097
'0811N: GDP per capita growth  (annual %) - WDI','0757: Services; etc.; value added  (annual % growth) - WDI',0.24066,0.14306659,0.008219987,0.23823,6.3923173,0.31239945
'0811N: GDP per capita growth  (annual %) - WDI','0379: Electric power consumption  (kWh per capita) - WDI',0.23552,0.2008383,0.055410013,0.23552,6.169925,-0.18623024
'0811N: GDP per capita growth  (annual %) - WDI','0435: Population in urban agglomerations of more than 1 million  (% of total population) - WDI',0.2326,0.2266999,0.10803001,0.22838,6.0,-0.07681214
'0811N: GDP per capita growth  (annual %) - WDI','0353: Agriculture value added per worker  (constant 2005 US$) - WDI',0.22197,0.17389631,0.07254,0.2194,6.357552,-0.21925716
'0811N: GDP per capita growth  (annual %) - WDI','1433: Air and GHG emissions - CO2 (TONNE_CAP) - OECD',0.2199,0.18340021,0.03143999,0.21643,6.0,-0.19104917
'0811N: GDP per capita growth  (annual %) - WDI','1167: GDP per person employed  (constant 2011 PPP $) - WDI',0.2141,0.16717668,0.051160008,0.2141,6.357552,-0.21661793
'0811N: GDP per capita growth  (annual %) - WDI','1340: Tariff rate; applied; simple mean; all products  (%) - WDI',0.21269,0.20177417,0.050300002,0.21269,6.044394,0.10447885
'0811N: GDP per capita growth  (annual %) - WDI','0836: GNI per capita; PPP  (constant 2011 international $) - WDI',0.21193,0.18568563,0.05493,0.21193,6.2479277,-0.16200116
'0811N: GDP per capita growth  (annual %) - WDI','0016: Forest area  (sq. km) - WDI',0.21183,0.21147704,0.08459,0.20872,6.4594316,0.018787306
'0811N: GDP per capita growth  (annual %) - WDI','0017: Forest area  (% of land area) - WDI',0.20965,0.20964679,0.09578999,0.20722,6.4594316,-0.0017918664
'0811N: GDP per capita growth  (annual %) - WDI','0736: Agriculture; value added  (% of GDP) - WDI',0.20959,0.18829627,0.054129995,0.20959,6.3923173,0.14592373
'0811N: GDP per capita growth  (annual %) - WDI','0004: Agricultural land  (sq. km) - WDI',0.20419,0.20265512,0.07965,0.20167,6.4594316,0.03917752
'0811N: GDP per capita growth  (annual %) - WDI','0783: Adjusted net national income per capita  (annual % growth) - WDI',0.20409,0.20408247,0.010120004,0.20409,6.2094536,-0.0027431098
'0811N: GDP per capita growth  (annual %) - WDI','0781: Adjusted net national income per capita  (current US$) - WDI',0.20363,0.15784466,0.059650004,0.20363,6.357552,-0.2139751
'0811N: GDP per capita growth  (annual %) - WDI','0896: Primary education; pupils - WDI',0.20255,0.19490248,0.06177999,0.20013,6.357552,0.08745011
'0811N: GDP per capita growth  (annual %) - WDI','0779: Adjusted net national income  (constant 2005 US$) - WDI',0.20165,0.19972211,0.07375999,0.20165,6.169925,-0.043907687
'0811N: GDP per capita growth  (annual %) - WDI','0980: School enrollment; tertiary; male  (% gross) - WDI',0.20101,0.18520707,0.046890005,0.19769,6.129283,-0.12570971
'0811N: GDP per capita growth  (annual %) - WDI','1310: Rural population - WDI',0.20088,0.19459356,0.06409,0.20088,6.4594316,0.079287045
'0811N: GDP per capita growth  (annual %) - WDI','0780: Adjusted net national income  (annual % growth) - WDI',0.20049,0.20021163,0.007030003,0.20049,6.2094536,-0.01668417
'0811N: GDP per capita growth  (annual %) - WDI','0020: Land area  (sq. km) - WDI',0.20047,0.2000143,0.08205,0.20047,6.4594316,0.021347208
'0811N: GDP per capita growth  (annual %) - WDI','0678: Household final consumption expenditure per capita growth  (annual %) - WDI',0.19955,0.14094971,0.017889999,0.19955,6.2094536,0.24207497
'0811N: GDP per capita growth  (annual %) - WDI','0746: Industry; value added  (annual % growth) - WDI',0.19917,0.12977315,0.0053000003,0.19701,6.3923173,0.2634328
'0811N: GDP per capita growth  (annual %) - WDI','0055: Net secondary income  (BoP; current US$) - WDI',0.1981,0.18656418,0.03527999,0.19567,6.2479277,0.107404985
'0811N: GDP per capita growth  (annual %) - WDI','0670: Household final consumption expenditure; etc.  (constant LCU) - WDI',0.19762,0.19466318,0.06102,0.19762,6.087463,0.054376666
'0811N: GDP per capita growth  (annual %) - WDI','1333: Tariff rate; most favored nation; simple mean; manufactured products  (%) - WDI',0.19712,0.18770902,0.033640005,0.19712,6.044394,0.097010225
'0811N: GDP per capita growth  (annual %) - WDI','0676: Household final consumption expenditure  (constant LCU) - WDI',0.19698,0.19372864,0.0642,0.19317,6.129283,0.057020728
'0811N: GDP per capita growth  (annual %) - WDI','0825: GNI  (constant 2005 US$) - WDI',0.19536,0.19328053,0.059320003,0.19221,6.2094536,-0.045601238
'0811N: GDP per capita growth  (annual %) - WDI','1099: Health expenditure per capita; PPP  (constant 2011 international $) - WDI',0.1942,0.16076827,0.043589994,0.1942,6.426265,-0.18284345
'0811N: GDP per capita growth  (annual %) - WDI','0380: Energy use  (kg of oil equivalent per capita) - WDI',0.194,0.15684214,0.023150012,0.19147,6.2479277,-0.19276375
'0811N: GDP per capita growth  (annual %) - WDI','0306: PPG; multilateral concessional  (NTR; current US$) - WDI',0.19385,0.19027537,0.04254,0.19385,5.9541965,0.05978812
'0811N: GDP per capita growth  (annual %) - WDI','0810: GDP per capita  (constant 2005 US$) - WDI',0.19339,0.16305572,0.052279994,0.19339,6.4594316,-0.1741674
'0811N: GDP per capita growth  (annual %) - WDI','0847: Net current transfers from abroad  (current US$) - WDI',0.19339,0.19111213,0.028980002,0.1906,6.169925,0.047727022
'0811N: GDP per capita growth  (annual %) - WDI','0953: School enrollment; secondary; female  (% gross) - WDI',0.19322,0.16473067,0.023629993,0.19322,6.2094536,-0.16878784
'0811N: GDP per capita growth  (annual %) - WDI','0927: Primary education; teachers - WDI',0.19299,0.18616757,0.049360007,0.19299,6.2094536,0.08259809
'0811N: GDP per capita growth  (annual %) - WDI','1093: Incidence of tuberculosis  (per 100;000 people) - WDI',0.19272,0.18175739,0.016790003,0.19069,6.426265,0.10470249
'0811N: GDP per capita growth  (annual %) - WDI','0225: PPG; bilateral  (INT; current US$) - WDI',0.19269,0.18249883,0.052890003,0.19269,5.9541965,0.10095134
'0811N: GDP per capita growth  (annual %) - WDI','0855: Price level ratio of PPP conversion factor  to market exchange rate (GDP) - WDI',0.19207,0.14661852,0.028960004,0.18979,6.321928,-0.21319357
'0811N: GDP per capita growth  (annual %) - WDI','1098: Health expenditure per capita  (current US$) - WDI',0.19204,0.16148669,0.038500004,0.19204,6.426265,-0.17479506
'0811N: GDP per capita growth  (annual %) - WDI','0971: Secondary education; teachers - WDI',0.19145,0.18526639,0.045940004,0.19145,6.0,0.07863594
'0811N: GDP per capita growth  (annual %) - WDI','1336: Tariff rate; most favored nation; weighted mean; manufactured products  (%) - WDI',0.19144,0.18986541,0.03756,0.19144,6.044394,0.039681025
'0811N: GDP per capita growth  (annual %) - WDI','0759: Services; etc.; value added  (% of GDP) - WDI',0.19133,0.1702702,0.045959994,0.19133,6.3923173,-0.14511994
'0811N: GDP per capita growth  (annual %) - WDI','0176: External debt stocks; concessional  (DOD; current US$) - WDI',0.19122,0.18101451,0.03203,0.19122,5.9541965,0.10102223
'0811N: GDP per capita growth  (annual %) - WDI','2809: Balance of Payments-Exports-Telecommunications services (US dollar at current prices) - WTO',0.1899,0.17737395,0.03577,0.18607,6.0,-0.11191983
'0811N: GDP per capita growth  (annual %) - WDI','0952: School enrollment; secondary  (% gross) - WDI',0.18983,0.16107297,0.025920004,0.18723,6.2479277,-0.16957898
'0811N: GDP per capita growth  (annual %) - WDI','0028: Surface area  (sq. km) - WDI',0.18966,0.18920216,0.07048,0.18966,6.4594316,0.021396996
'0811N: GDP per capita growth  (annual %) - WDI','1060: Improved sanitation facilities; urban  (% of urban population with access) - WDI',0.18966,0.18251355,0.05849,0.18781,6.426265,-0.08453667
'0811N: GDP per capita growth  (annual %) - WDI','1025: Number of neonatal deaths - WDI',0.18915,0.18482175,0.039620012,0.18915,6.357552,0.065789476
'0811N: GDP per capita growth  (annual %) - WDI','0642: Secure Internet servers  (per 1 million people) - WDI',0.189,0.1717778,0.014589995,0.18704,6.426265,-0.13123338
'0811N: GDP per capita growth  (annual %) - WDI','1332: Tariff rate; applied; simple mean; manufactured products  (%) - WDI',0.18877,0.17812632,0.03088,0.18877,6.044394,0.103168204
'0811N: GDP per capita growth  (annual %) - WDI','0735: Agriculture; value added  (constant LCU) - WDI',0.1882,0.18438043,0.048510008,0.18567,6.2479277,0.06180272
'0811N: GDP per capita growth  (annual %) - WDI','0342: PPG; official creditors  (TDS; current US$) - WDI',0.18751,0.1785071,0.044469997,0.18751,5.9541965,0.09488356
'0811N: GDP per capita growth  (annual %) - WDI','0674: Household final consumption expenditure  (constant 2005 US$) - WDI',0.18703,0.18325828,0.060839996,0.18703,6.2094536,-0.061414354
'0811N: GDP per capita growth  (annual %) - WDI','0638: Fixed telephone subscriptions  (per 100 people) - WDI',0.1869,0.16719161,0.055600002,0.18482,6.4594316,-0.1403866
'0811N: GDP per capita growth  (annual %) - WDI','0932: Children out of school; primary - WDI',0.18683,0.18185027,0.027270004,0.18683,6.129283,0.07056722
'0811N: GDP per capita growth  (annual %) - WDI','0474: Broad money growth  (annual %) - WDI',0.18677,0.14131804,0.018070012,0.18394,6.129283,0.21319468
'0811N: GDP per capita growth  (annual %) - WDI','0814: GDP per capita; PPP  (constant 2011 international $) - WDI',0.18633,0.15676825,0.049020007,0.18417,6.4594316,-0.17193532
'0811N: GDP per capita growth  (annual %) - WDI','0199: PPG; official creditors  (DOD; current US$) - WDI',0.18615,0.176924,0.037719995,0.18615,5.9541965,0.09605201
'0811N: GDP per capita growth  (annual %) - WDI','1339: Share of tariff lines with international peaks; all products  (%) - WDI',0.18516,0.18254635,0.027269997,0.18516,6.044394,0.05112382
'0811N: GDP per capita growth  (annual %) - WDI','0490: Claims on other sectors of the domestic economy  (% of GDP) - WDI',0.1849,0.1310188,0.01997,0.1849,6.129283,-0.23212324
'0811N: GDP per capita growth  (annual %) - WDI','0808: GDP per capita  (current US$) - WDI',0.18401,0.15308347,0.048420005,0.18401,6.4594316,-0.17585939
'0811N: GDP per capita growth  (annual %) - WDI','0690: Final consumption expenditure  (constant LCU) - WDI',0.1837,0.1805011,0.05201,0.17994,6.129283,0.056558684
'0811N: GDP per capita growth  (annual %) - WDI','1023: Number of under-five deaths - WDI',0.18325,0.17958805,0.032089993,0.18325,6.357552,0.060514025
'0811N: GDP per capita growth  (annual %) - WDI','1341: Tariff rate; most favored nation; simple mean; all products  (%) - WDI',0.18309,0.17462248,0.02307,0.18309,6.044394,0.09201916
'0811N: GDP per capita growth  (annual %) - WDI','0848: Net current transfers from abroad  (current LCU) - WDI',0.18298,0.18249413,0.03527999,0.18022,6.169925,-0.022042386
'0811N: GDP per capita growth  (annual %) - WDI','0683: Final consumption expenditure; etc.  (constant 2005 US$) - WDI',0.18247,0.17812464,0.05348,0.18247,6.2094536,-0.06591927
'0811N: GDP per capita growth  (annual %) - WDI','0226: PPG; bilateral concessional  (INT; current US$) - WDI',0.18209,0.17156799,0.03916,0.18209,5.9541965,0.10257687
'0811N: GDP per capita growth  (annual %) - WDI','0179: PPG; bilateral concessional  (DOD; current US$) - WDI',0.182,0.17072149,0.04265,0.182,5.9541965,0.10620032
'0811N: GDP per capita growth  (annual %) - WDI','0943: Secondary education; pupils - WDI',0.18173,0.17296357,0.038489997,0.18173,6.2479277,0.09362923
