@relation MINE-Indicator-2011-2718

@attribute XVar string
@attribute YVar string
@attribute MIC numeric
@attribute MIC-p2 numeric
@attribute MAS numeric
@attribute MEV numeric
@attribute MCN numeric
@attribute p numeric

@data
'2718N: External Intervention - Fund for Peace - 4','2718: External Intervention - Fund for Peace - 1713',0.9116,-0.039595127,0.06403005,0.9116,4.321928,0.9752923
'2718N: External Intervention - Fund for Peace - 4','0832: GNI per capita  (constant 2005 US$) - WDI - 764',0.71295,0.16791105,0.16672999,0.68617,4.169925,-0.73826754
'2718N: External Intervention - Fund for Peace - 4','2707: Failed States Index Total - Fund for Peace - 1702',0.712,-0.056984782,0.14763004,0.6902,4.4594316,0.8769178
'2718N: External Intervention - Fund for Peace - 4','2706: Failed States Index Rank - Fund for Peace - 1701',0.71166,-0.0035170317,0.14729005,0.69048,4.4594316,-0.8456814
'2718N: External Intervention - Fund for Peace - 4','0782: Adjusted net national income per capita  (constant 2005 US$) - WDI - 714',0.69574,0.14827919,0.11393994,0.67001,4.169925,-0.73990595
'2718N: External Intervention - Fund for Peace - 4','0677: Household final consumption expenditure per capita  (constant 2005 US$) - WDI - 609',0.65033,0.11144978,0.05286002,0.6288,4.169925,-0.7340846
'2718N: External Intervention - Fund for Peace - 4','0808: GDP per capita  (current US$) - WDI - 740',0.64078,0.14114383,0.09123999,0.62049,4.4594316,-0.70684946
'2718N: External Intervention - Fund for Peace - 4','1954: Gross national income per capita (PPP int. $) - WHO - 1679',0.63667,0.19625992,0.16174,0.63667,4.321928,-0.663634
'2718N: External Intervention - Fund for Peace - 4','0781: Adjusted net national income per capita  (current US$) - WDI - 713',0.63646,0.08949101,0.095149994,0.63646,4.321928,-0.73957354
'2718N: External Intervention - Fund for Peace - 4','0830: GNI per capita; Atlas method  (current US$) - WDI - 762',0.61785,0.09008449,0.036599994,0.61785,4.321928,-0.7264747
'2718N: External Intervention - Fund for Peace - 4','1098: Health expenditure per capita  (current US$) - WDI - 1013',0.61247,0.101115525,0.070709944,0.60246,4.4594316,-0.7150905
'2718N: External Intervention - Fund for Peace - 4','0954: School enrollment; secondary; male  (% gross) - WDI - 884',0.60869,0.1137155,0.10871002,0.58022,4.169925,-0.70354426
'2718N: External Intervention - Fund for Peace - 4','0388: CO2 emissions  (metric tons per capita) - WDI - 374',0.59842,0.36048114,0.17292002,0.5818,4.4594316,-0.48778978
