@relation MINE-Indicator-2006TO2013-0811_clustered

@attribute Instance_number numeric
@attribute XVar string
@attribute YVar string
@attribute MIC numeric
@attribute MIC-p2 numeric
@attribute MAS numeric
@attribute MEV numeric
@attribute MCN numeric
@attribute p numeric
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8}

@data
0,'0811N: GDP per capita growth  (annual \%) - WDI','0811: GDP per capita growth  (annual \%) - WDI',0.27459,0.266042,0.02317,0.27459,6.459432,0.092457,cluster5
1,'0811N: GDP per capita growth  (annual \%) - WDI','0833: GNI per capita growth  (annual \%) - WDI',0.25476,0.246072,0.00876,0.25476,6.247928,0.09321,cluster5
2,'0811N: GDP per capita growth  (annual \%) - WDI','0826: GNI growth  (annual \%) - WDI',0.2534,0.248556,0.03182,0.2534,6.247928,0.069601,cluster5
3,'0811N: GDP per capita growth  (annual \%) - WDI','0832: GNI per capita  (constant 2005 US$) - WDI',0.24762,0.208881,0.08001,0.24477,6.209454,-0.196821,cluster5
4,'0811N: GDP per capita growth  (annual \%) - WDI','0677: Household final consumption expenditure per capita  (constant 2005 US$) - WDI',0.2464,0.17171,0.07412,0.2464,6.209454,-0.273294,cluster5
5,'0811N: GDP per capita growth  (annual \%) - WDI','0803: GDP growth  (annual \%) - WDI',0.24634,0.24148,0.01092,0.24634,6.459432,0.06971,cluster5
6,'0811N: GDP per capita growth  (annual \%) - WDI','0782: Adjusted net national income per capita  (constant 2005 US$) - WDI',0.24209,0.197116,0.09067,0.24209,6.169925,-0.212071,cluster5
7,'0811N: GDP per capita growth  (annual \%) - WDI','0757: Services; etc.; value added  (annual \% growth) - WDI',0.24066,0.143067,0.00822,0.23823,6.392317,0.312399,cluster5
8,'0811N: GDP per capita growth  (annual \%) - WDI','0379: Electric power consumption  (kWh per capita) - WDI',0.23552,0.200838,0.05541,0.23552,6.169925,-0.18623,cluster5
9,'0811N: GDP per capita growth  (annual \%) - WDI','0435: Population in urban agglomerations of more than 1 million  (\% of total population) - WDI',0.2326,0.2267,0.10803,0.22838,6,-0.076812,cluster5
10,'0811N: GDP per capita growth  (annual \%) - WDI','0353: Agriculture value added per worker  (constant 2005 US$) - WDI',0.22197,0.173896,0.07254,0.2194,6.357552,-0.219257,cluster5
11,'0811N: GDP per capita growth  (annual \%) - WDI','1433: Air and GHG emissions - CO2 (TONNE_CAP) - OECD',0.2199,0.1834,0.03144,0.21643,6,-0.191049,cluster5
12,'0811N: GDP per capita growth  (annual \%) - WDI','1167: GDP per person employed  (constant 2011 PPP $) - WDI',0.2141,0.167177,0.05116,0.2141,6.357552,-0.216618,cluster5
