@relation MINE-Indicator-2006TO2013-2718

@attribute XVar string
@attribute YVar string
@attribute MIC numeric
@attribute MIC-p2 numeric
@attribute MAS numeric
@attribute MEV numeric
@attribute MCN numeric
@attribute p numeric

@data
'2718N: External Intervention - Fund for Peace','2718: External Intervention - Fund for Peace',0.85226,-0.12132174,0.024039984,0.85226,5.5849624,0.98670244
'2718N: External Intervention - Fund for Peace','0832: GNI per capita  (constant 2005 US$) - WDI',0.66356,0.13501859,0.15485,0.66356,6.0,-0.7270085
'2718N: External Intervention - Fund for Peace','0782: Adjusted net national income per capita  (constant 2005 US$) - WDI',0.65349,0.12404138,0.11295003,0.65081,6.0,-0.7276322
'2718N: External Intervention - Fund for Peace','0677: Household final consumption expenditure per capita  (constant 2005 US$) - WDI',0.59783,0.077830315,0.08942002,0.59514,6.044394,-0.72111005
'2718N: External Intervention - Fund for Peace','0836: GNI per capita; PPP  (constant 2011 international $) - WDI',0.57066,0.1289478,0.11471,0.56807,6.087463,-0.6646143
'2718N: External Intervention - Fund for Peace','2707: Failed States Index Total - Fund for Peace',0.56326,-0.2090103,0.028650045,0.56148,6.2479277,0.8787891
'2718N: External Intervention - Fund for Peace','0810: GDP per capita  (constant 2005 US$) - WDI',0.56209,0.08251408,0.087960005,0.55964,6.2479277,-0.6925142
'2718N: External Intervention - Fund for Peace','2706: Failed States Index Rank - Fund for Peace',0.52953,-0.17126304,0.031120002,0.52953,6.087463,-0.8371338
'2718N: External Intervention - Fund for Peace','0814: GDP per capita; PPP  (constant 2011 international $) - WDI',0.52062,0.10665718,0.100929976,0.51814,6.2479277,-0.6433994
'2718N: External Intervention - Fund for Peace','0808: GDP per capita  (current US$) - WDI',0.51932,0.038065404,0.08632001,0.5168,6.2479277,-0.69372517
'2718N: External Intervention - Fund for Peace','0781: Adjusted net national income per capita  (current US$) - WDI',0.50909,-0.018014729,0.049349993,0.50909,6.169925,-0.7260198
'2718N: External Intervention - Fund for Peace','0835: GNI per capita; PPP  (current international $) - WDI',0.50724,0.089800656,0.08091,0.50724,6.2094536,-0.64609545
'2718N: External Intervention - Fund for Peace','1098: Health expenditure per capita  (current US$) - WDI',0.50579,0.019313604,0.06327,0.50579,6.2479277,-0.6974786
'2718N: External Intervention - Fund for Peace','0813: GDP per capita; PPP  (current international $) - WDI',0.49886,0.08850193,0.085319996,0.49665,6.2479277,-0.640592
'2718N: External Intervention - Fund for Peace','0379: Electric power consumption  (kWh per capita) - WDI',0.49612,0.2692311,0.05427,0.49287,6.044394,-0.47632855
'2718N: External Intervention - Fund for Peace','0830: GNI per capita; Atlas method  (current US$) - WDI',0.49378,-0.006791979,0.06184998,0.49378,6.2094536,-0.7075111
'2718N: External Intervention - Fund for Peace','1167: GDP per person employed  (constant 2011 PPP $) - WDI',0.49304,0.12054503,0.10784,0.49304,6.2094536,-0.61032367
