@relation MINE-Indicator-2011-2716

@attribute XVar string
@attribute YVar string
@attribute MIC numeric
@attribute MIC-p2 numeric
@attribute MAS numeric
@attribute MEV numeric
@attribute MCN numeric
@attribute p numeric

@data
'2716N: Security Apparatus - Fund for Peace - 3','2716: Security Apparatus - Fund for Peace - 1711',0.90444,-0.05187285,0.046279967,0.90311,4.4594316,0.9779125
'2716N: Security Apparatus - Fund for Peace - 3','2706: Failed States Index Rank - Fund for Peace - 1701',0.71888,-0.08184016,0.050559998,0.71888,4.321928,-0.8948297
'2716N: Security Apparatus - Fund for Peace - 3','2707: Failed States Index Total - Fund for Peace - 1702',0.71613,-0.14333689,0.045619965,0.71613,4.321928,0.9270744
'2716N: Security Apparatus - Fund for Peace - 3','2713: Legitimacy of the State - Fund for Peace - 1708',0.66188,-0.13606006,0.07218999,0.65488,4.4594316,0.8932749
'2716N: Security Apparatus - Fund for Peace - 3','2715: Human Rights - Fund for Peace - 1710',0.65935,-0.12357217,0.052739978,0.65935,4.321928,0.88482887
'2716N: Security Apparatus - Fund for Peace - 3','2708: Demographic Pressures - Fund for Peace - 1703',0.63158,-0.031224966,0.07727003,0.63158,4.321928,0.81412834
'2716N: Security Apparatus - Fund for Peace - 3','0782: Adjusted net national income per capita  (constant 2005 US$) - WDI - 714',0.61828,0.067629755,0.044129968,0.61828,4.0,-0.7420581
'2716N: Security Apparatus - Fund for Peace - 3','0677: Household final consumption expenditure per capita  (constant 2005 US$) - WDI - 609',0.61103,0.041006982,0.076159954,0.61103,4.0,-0.7549987
'2716N: Security Apparatus - Fund for Peace - 3','0953: School enrollment; secondary; female  (% gross) - WDI - 883',0.60269,0.1773921,0.16101998,0.58022,4.169925,-0.65214866
'2716N: Security Apparatus - Fund for Peace - 3','2714: Public Services - Fund for Peace - 1709',0.60265,-0.05186057,0.049979985,0.60173,4.4594316,0.80901825
'2716N: Security Apparatus - Fund for Peace - 3','0781: Adjusted net national income per capita  (current US$) - WDI - 713',0.59302,0.067681134,0.109590024,0.59302,3.807355,-0.7248027
'2716N: Security Apparatus - Fund for Peace - 3','2711: Uneven Development - Fund for Peace - 1706',0.58847,-0.07676923,0.045520008,0.58328,4.4594316,0.815622
'2716N: Security Apparatus - Fund for Peace - 3','2717: Factionalized Elites - Fund for Peace - 1712',0.58381,-0.19054997,0.04128003,0.58144,4.4594316,0.8799772
'2716N: Security Apparatus - Fund for Peace - 3','0952: School enrollment; secondary  (% gross) - WDI - 882',0.58009,0.14758435,0.07242,0.5681,4.169925,-0.6576516
'2716N: Security Apparatus - Fund for Peace - 3','1414: Account at a financial institution; female  (% age 15+) - WDI - 1319',0.57275,-0.015877962,0.08607,0.57275,4.0,-0.7672209
'2716N: Security Apparatus - Fund for Peace - 3','0832: GNI per capita  (constant 2005 US$) - WDI - 764',0.55953,0.0031650066,0.04029998,0.55953,4.0,-0.7458988
'2716N: Security Apparatus - Fund for Peace - 3','2710: Group Grievance - Fund for Peace - 1705',0.55421,-0.1044305,0.05822,0.54404,4.4594316,0.8115667
'2716N: Security Apparatus - Fund for Peace - 3','0642: Secure Internet servers  (per 1 million people) - WDI - 583',0.55222,0.14395216,0.088260025,0.55222,3.807355,-0.6389584
'2716N: Security Apparatus - Fund for Peace - 3','0830: GNI per capita; Atlas method  (current US$) - WDI - 762',0.54812,0.04001373,0.06760001,0.54812,3.807355,-0.71281576
'2716N: Security Apparatus - Fund for Peace - 3','0954: School enrollment; secondary; male  (% gross) - WDI - 884',0.54464,0.12342098,0.04997,0.52804,4.169925,-0.6490139
'2716N: Security Apparatus - Fund for Peace - 3','2704: Corruption perceptions index - Transparency - 1699',0.54245,-0.13773131,0.06448001,0.54245,4.321928,-0.82473105
'2716N: Security Apparatus - Fund for Peace - 3','1098: Health expenditure per capita  (current US$) - WDI - 1013',0.5332,0.06414315,0.052140027,0.5332,4.169925,-0.6848773
'2716N: Security Apparatus - Fund for Peace - 3','1901: Fixed-broadband subscriptions per 100 inhabitants - ITU - 1659',0.52795,-0.07664788,0.08131999,0.52795,4.169925,-0.7775589
'2716N: Security Apparatus - Fund for Peace - 3','1099: Health expenditure per capita; PPP  (constant 2011 international $) - WDI - 1014',0.52777,-0.013997972,0.06453997,0.52777,4.0,-0.7360489
'2716N: Security Apparatus - Fund for Peace - 3','1416: Account at a financial institution; income; richest 60%  (% ages 15+) - WDI - 1321',0.52642,-0.01872158,0.08212,0.52642,4.169925,-0.73833704
'2716N: Security Apparatus - Fund for Peace - 3','0640: Fixed broadband subscriptions  (per 100 people) - WDI - 581',0.52627,-0.07646394,0.062620014,0.52627,4.169925,-0.7763594
'2716N: Security Apparatus - Fund for Peace - 3','1899: Percentage of Individuals using the Internet (%) - ITU - 1657',0.52441,-0.06790739,0.034720004,0.50924,4.4594316,-0.7696216
'2716N: Security Apparatus - Fund for Peace - 3','0380: Energy use  (kg of oil equivalent per capita) - WDI - 366',0.52319,0.29225945,0.14020002,0.52319,4.169925,-0.48055238
'2716N: Security Apparatus - Fund for Peace - 3','1433: Air and GHG emissions - CO2 (TONNE_CAP) - OECD - 1327',0.52181,0.3116887,0.11952999,0.49147,4.169925,-0.4583899
'2716N: Security Apparatus - Fund for Peace - 3','0643: Internet users  (per 100 people) - WDI - 584',0.52104,-0.0734207,0.049210012,0.50147,4.4594316,-0.7710128
'2716N: Security Apparatus - Fund for Peace - 3','1412: Account at a financial institution  (% age 15+) - WDI - 1317',0.52027,-0.04040259,0.08816001,0.52027,4.0,-0.7487807
'2716N: Security Apparatus - Fund for Peace - 3','1415: Account at a financial institution; income; poorest 40%  (% ages 15+) - WDI - 1320',0.52,-0.041320443,0.087850004,0.52,4.169925,-0.7492132
'2716N: Security Apparatus - Fund for Peace - 3','0379: Electric power consumption  (kWh per capita) - WDI - 365',0.51878,0.21157965,0.09779999,0.49816,4.169925,-0.55425656
'2716N: Security Apparatus - Fund for Peace - 3','1285: Life expectancy at birth; female  (years) - WDI - 1190',0.5181,0.1284008,0.083330005,0.50234,4.4594316,-0.62425894
'2716N: Security Apparatus - Fund for Peace - 3','0808: GDP per capita  (current US$) - WDI - 740',0.50635,0.036485553,0.054549992,0.50635,3.807355,-0.6854666
'2716N: Security Apparatus - Fund for Peace - 3','0454: Automated teller machines (ATMs)  (per 100;000 adults) - WDI - 404',0.50538,0.09432042,0.058589995,0.50538,4.321928,-0.64113927
'2716N: Security Apparatus - Fund for Peace - 3','0978: School enrollment; tertiary  (% gross) - WDI - 908',0.50267,0.03097862,0.07084,0.4763,4.169925,-0.6867979
'2716N: Security Apparatus - Fund for Peace - 3','1413: Account at a financial institution; male  (% age 15+) - WDI - 1318',0.4973,-0.013745397,0.04964,0.4973,4.169925,-0.7148744
'2716N: Security Apparatus - Fund for Peace - 3','2709: Refugees and IDPs - Fund for Peace - 1704',0.49724,-0.0902825,0.03667,0.48296,4.4594316,0.7665002
'2716N: Security Apparatus - Fund for Peace - 3','0810: GDP per capita  (constant 2005 US$) - WDI - 742',0.49385,-0.011492491,0.03832999,0.49385,4.169925,-0.71087444
'2716N: Security Apparatus - Fund for Peace - 3','0353: Agriculture value added per worker  (constant 2005 US$) - WDI - 345',0.49353,0.16477829,0.05662,0.49102,4.321928,-0.5733687
'2716N: Security Apparatus - Fund for Peace - 3','1025: Number of neonatal deaths - WDI - 949',0.48936,0.44634977,0.076189995,0.47072,4.4594316,0.20738912
'2716N: Security Apparatus - Fund for Peace - 3','1031: Mortality rate; neonatal  (per 1;000 live births) - WDI - 953',0.48809,0.07115415,0.07885,0.45824,4.4594316,0.6457057
'2716N: Security Apparatus - Fund for Peace - 3','1028: Mortality rate; under-5  (per 1;000 live births) - WDI - 952',0.4849,0.15380955,0.050260007,0.4849,3.807355,0.5754046
