@relation MINE-Indicator-2006TO2013-2716_clustered

@attribute Instance_number numeric
@attribute XVar string
@attribute YVar string
@attribute MIC numeric
@attribute MIC-p2 numeric
@attribute MAS numeric
@attribute MEV numeric
@attribute MCN numeric
@attribute p numeric
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9,cluster10,cluster11,cluster12}

@data
0,'2716N: Security Apparatus - Fund for Peace','2716: Security Apparatus - Fund for Peace',0.86519,-0.113882,0.03996,0.86044,6.228819,0.989481,cluster1
1,'2716N: Security Apparatus - Fund for Peace','2707: Failed States Index Total - Fund for Peace',0.68629,-0.181864,0.05218,0.68629,6.209454,0.931748,cluster1
2,'2716N: Security Apparatus - Fund for Peace','2706: Failed States Index Rank - Fund for Peace',0.6411,-0.1592,0.05032,0.64109,6.247928,-0.894595,cluster11
3,'2716N: Security Apparatus - Fund for Peace','2715: Human Rights - Fund for Peace',0.61023,-0.1502,0.06648,0.61023,5.523562,0.872026,cluster1
4,'2716N: Security Apparatus - Fund for Peace','2713: Legitimacy of the State - Fund for Peace',0.59622,-0.186453,0.03567,0.59622,6.209454,0.884688,cluster1
5,'2716N: Security Apparatus - Fund for Peace','0782: Adjusted net national income per capita  (constant 2005 US$) - WDI',0.59203,0.049322,0.06602,0.59203,5.807355,-0.736687,cluster11
6,'2716N: Security Apparatus - Fund for Peace','0677: Household final consumption expenditure per capita  (constant 2005 US$) - WDI',0.58723,0.033024,0.05793,0.58723,5.90689,-0.74445,cluster11
7,'2716N: Security Apparatus - Fund for Peace','2717: Factionalized Elites - Fund for Peace',0.57168,-0.206473,0.03875,0.56866,6.247928,0.88213,cluster1
8,'2716N: Security Apparatus - Fund for Peace','0832: GNI per capita  (constant 2005 US$) - WDI',0.56834,0.023403,0.07715,0.56834,5.90689,-0.738199,cluster11
9,'2716N: Security Apparatus - Fund for Peace','2714: Public Services - Fund for Peace',0.56598,-0.103093,0.06107,0.56487,6.247928,0.817969,cluster1
10,'2716N: Security Apparatus - Fund for Peace','2708: Demographic Pressures - Fund for Peace',0.56015,-0.081415,0.03275,0.55708,6.247928,0.800977,cluster1
11,'2716N: Security Apparatus - Fund for Peace','2710: Group Grievance - Fund for Peace',0.50357,-0.175192,0.02517,0.50347,6.247928,0.82387,cluster1
12,'2716N: Security Apparatus - Fund for Peace','0810: GDP per capita  (constant 2005 US$) - WDI',0.50264,0.004405,0.0661,0.50264,6.129283,-0.705858,cluster11
13,'2716N: Security Apparatus - Fund for Peace','2704: Corruption perceptions index - Transparency',0.49914,-0.186657,0.03754,0.49914,6.169925,-0.828129,cluster11
14,'2716N: Security Apparatus - Fund for Peace','2711: Uneven Development - Fund for Peace',0.49697,-0.130807,0.03561,0.49497,6.247928,0.792324,cluster1
15,'2716N: Security Apparatus - Fund for Peace','0379: Electric power consumption  (kWh per capita) - WDI',0.48581,0.16042,0.07096,0.48203,6.044394,-0.57043,cluster11
