@relation MINE-Indicator-2006TO2013-2707

@attribute XVar string
@attribute YVar string
@attribute MIC numeric
@attribute MIC-p2 numeric
@attribute MAS numeric
@attribute MEV numeric
@attribute MCN numeric
@attribute p numeric

@data
'2707N: Failed States Index Total - Fund for Peace','2707: Failed States Index Total - Fund for Peace',0.92998,-0.06377965,0.021270037,0.92988,6.2479277,0.9968749
'2707N: Failed States Index Total - Fund for Peace','2706: Failed States Index Rank - Fund for Peace',0.91389,-0.010086596,0.024800003,0.91348,6.2479277,-0.961237
'2707N: Failed States Index Total - Fund for Peace','0677: Household final consumption expenditure per capita  (constant 2005 US$) - WDI',0.68993,0.0061386228,0.07043004,0.68787,6.044394,-0.8269168
'2707N: Failed States Index Total - Fund for Peace','0782: Adjusted net national income per capita  (constant 2005 US$) - WDI',0.68958,0.016959786,0.04280001,0.68703,6.0,-0.8201343
'2707N: Failed States Index Total - Fund for Peace','2714: Public Services - Fund for Peace',0.67941,-0.16064763,0.055669963,0.67941,5.9541965,0.9165466
'2707N: Failed States Index Total - Fund for Peace','2716: Security Apparatus - Fund for Peace',0.67854,-0.19151181,0.05805999,0.67854,6.2094536,0.93276566
'2707N: Failed States Index Total - Fund for Peace','2713: Legitimacy of the State - Fund for Peace',0.66766,-0.20690668,0.034669995,0.66635,6.2479277,0.9351827
'2707N: Failed States Index Total - Fund for Peace','0642: Secure Internet servers  (per 1 million people) - WDI',0.65439,0.23726529,0.051620007,0.65439,6.2094536,-0.6458519
'2707N: Failed States Index Total - Fund for Peace','2708: Demographic Pressures - Fund for Peace',0.65419,-0.17508507,0.035080016,0.65419,6.129283,0.9106454
'2707N: Failed States Index Total - Fund for Peace','0832: GNI per capita  (constant 2005 US$) - WDI',0.64486,-0.023893476,0.03571999,0.64486,6.0,-0.8177735
'2707N: Failed States Index Total - Fund for Peace','2715: Human Rights - Fund for Peace',0.64425,-0.17341459,0.047939956,0.64425,5.5849624,0.90424806
'2707N: Failed States Index Total - Fund for Peace','0810: GDP per capita  (constant 2005 US$) - WDI',0.6366,0.012579739,0.05776,0.63504,6.2479277,-0.78994954
'2707N: Failed States Index Total - Fund for Peace','2717: Factionalized Elites - Fund for Peace',0.62554,-0.19547337,0.046570003,0.62371,6.2479277,0.9060979
'2707N: Failed States Index Total - Fund for Peace','0454: Automated teller machines (ATMs)  (per 100;000 adults) - WDI',0.61499,0.10097706,0.06835997,0.61307,6.169925,-0.71694696
'2707N: Failed States Index Total - Fund for Peace','0781: Adjusted net national income per capita  (current US$) - WDI',0.6133,-0.039856553,0.032819986,0.6133,6.169925,-0.80818105
'2707N: Failed States Index Total - Fund for Peace','2711: Uneven Development - Fund for Peace',0.60768,-0.13988912,0.033720016,0.60768,6.129283,0.8646208
'2707N: Failed States Index Total - Fund for Peace','0379: Electric power consumption  (kWh per capita) - WDI',0.60713,0.21859899,0.05186999,0.60383,6.044394,-0.62332255
'2707N: Failed States Index Total - Fund for Peace','0830: GNI per capita; Atlas method  (current US$) - WDI',0.60182,-0.023504734,0.028319985,0.60182,6.2094536,-0.79077476
'2707N: Failed States Index Total - Fund for Peace','0836: GNI per capita; PPP  (constant 2011 international $) - WDI',0.59669,0.057896435,0.044149995,0.59473,6.087463,-0.7340256
'2707N: Failed States Index Total - Fund for Peace','1098: Health expenditure per capita  (current US$) - WDI',0.58819,0.0010190606,0.034070015,0.58819,6.2479277,-0.7662708
'2707N: Failed States Index Total - Fund for Peace','0808: GDP per capita  (current US$) - WDI',0.5832,-0.0136579275,0.02831,0.58146,6.2479277,-0.7725658
'2707N: Failed States Index Total - Fund for Peace','2718: External Intervention - Fund for Peace',0.58115,-0.18042248,0.03707999,0.57923,6.2479277,0.8726812
'2707N: Failed States Index Total - Fund for Peace','0353: Agriculture value added per worker  (constant 2005 US$) - WDI',0.57816,0.12814772,0.04413998,0.57527,6.129283,-0.67082953
'2707N: Failed States Index Total - Fund for Peace','0813: GDP per capita; PPP  (current international $) - WDI',0.57568,0.09175694,0.051239967,0.57401,6.2479277,-0.6956458
'2707N: Failed States Index Total - Fund for Peace','0952: School enrollment; secondary  (% gross) - WDI',0.57408,0.0139834285,0.04877001,0.57198,6.0,-0.748396
'2707N: Failed States Index Total - Fund for Peace','0835: GNI per capita; PPP  (current international $) - WDI',0.57366,0.075299054,0.044879973,0.57366,6.2094536,-0.70594686
'2707N: Failed States Index Total - Fund for Peace','0953: School enrollment; secondary; female  (% gross) - WDI',0.57343,0.019728363,0.036950022,0.57343,5.9541965,-0.7441113
'2707N: Failed States Index Total - Fund for Peace','1035: Improved water source  (% of population with access) - WDI',0.57299,0.15380108,0.059029996,0.57101,6.2479277,-0.647448
'2707N: Failed States Index Total - Fund for Peace','0814: GDP per capita; PPP  (constant 2011 international $) - WDI',0.56968,0.0807637,0.03634,0.5679,6.2479277,-0.6992255
'2707N: Failed States Index Total - Fund for Peace','1167: GDP per person employed  (constant 2011 PPP $) - WDI',0.56707,0.1473696,0.06247002,0.56707,6.2094536,-0.6478429
'2707N: Failed States Index Total - Fund for Peace','1899: Percentage of Individuals using the Internet (%) - ITU',0.56696,-0.14252406,0.058499992,0.56517,6.2479277,-0.84230876
'2707N: Failed States Index Total - Fund for Peace','2712: Poverty and Economic Decline - Fund for Peace',0.56687,-0.12014532,0.081859976,0.56503,6.2479277,0.82886386
'2707N: Failed States Index Total - Fund for Peace','1099: Health expenditure per capita; PPP  (constant 2011 international $) - WDI',0.56478,-0.09762555,0.061839998,0.56478,6.2479277,-0.813883
'2707N: Failed States Index Total - Fund for Peace','1028: Mortality rate; under-5  (per 1;000 live births) - WDI',0.56274,0.12011552,0.058620036,0.56274,6.2479277,0.6653003
'2707N: Failed States Index Total - Fund for Peace','1901: Fixed-broadband subscriptions per 100 inhabitants - ITU',0.55972,-0.12530774,0.050029993,0.55972,6.169925,-0.827664
'2707N: Failed States Index Total - Fund for Peace','1283: Mortality rate; infant  (per 1;000 live births) - WDI',0.55738,0.06288904,0.056690037,0.55738,6.2479277,0.7032005
'2707N: Failed States Index Total - Fund for Peace','2704: Corruption perceptions index - Transparency',0.55584,-0.21202558,0.03816998,0.55584,6.2094536,-0.8762794
'2707N: Failed States Index Total - Fund for Peace','1031: Mortality rate; neonatal  (per 1;000 live births) - WDI',0.55534,0.0180704,0.07162002,0.55534,6.2479277,0.73298675
'2707N: Failed States Index Total - Fund for Peace','0640: Fixed broadband subscriptions  (per 100 people) - WDI',0.55511,-0.1291874,0.041869998,0.55338,6.2094536,-0.8272227
'2707N: Failed States Index Total - Fund for Peace','0643: Internet users  (per 100 people) - WDI',0.54905,-0.16177589,0.04158002,0.54905,6.2479277,-0.8431049
'2707N: Failed States Index Total - Fund for Peace','2709: Refugees and IDPs - Fund for Peace',0.54396,-0.12680745,0.032029986,0.54226,6.2479277,0.81900394
'2707N: Failed States Index Total - Fund for Peace','1295: Population ages 0-14  (% of total) - WDI',0.54074,-0.013933241,0.07233,0.54074,6.2479277,0.7447639
'2707N: Failed States Index Total - Fund for Peace','1289: Survival to age 65; female  (% of cohort) - WDI',0.54066,0.07937136,0.06274,0.54066,6.2479277,-0.67918235
'2707N: Failed States Index Total - Fund for Peace','0638: Fixed telephone subscriptions  (per 100 people) - WDI',0.54034,-0.1031397,0.041720003,0.54034,6.2479277,-0.8021719
'2707N: Failed States Index Total - Fund for Peace','1898: Fixed-telephone subscriptions per 100 inhabitants - ITU',0.53843,-0.10423756,0.03691998,0.53597,6.2479277,-0.8016655
'2707N: Failed States Index Total - Fund for Peace','0954: School enrollment; secondary; male  (% gross) - WDI',0.53821,-0.015264869,0.030550003,0.53821,5.9541965,-0.7439589
'2707N: Failed States Index Total - Fund for Peace','1285: Life expectancy at birth; female  (years) - WDI',0.53645,0.006364882,0.044510037,0.53645,6.2479277,-0.7280695
