Country,0808N: GDP per capita  (current US$) - WDI - 0,1458: Influenza vaccination rates - TOT (AGRWTH) - OECD - 1,1461: Influenza vaccination rates - TOT (IDX2010) - OECD - 2,1505: Elderly population - TOT (PC_POP) - OECD - 3,1507: Employment rate - TOT (PC_WKGPOP) - OECD - 4,1510: Employment rate - TOT (THND_PER) - OECD - 5,1513: Employment rate by age group - 15_24 (PC_AGE) - OECD - 6,1517: Employment by activity - AGR (THND_PER) - OECD - 7,1529: Exchange rates - TOT (NATUSD) - OECD - 8,1576: Investment (GFCF) - TOT (AGRWTH) - OECD - 9,1590: Grants by private agencies and NGOs - TOT (MLN_SDR) - OECD - 10,1629: Hours worked - TOT (HR_WKD) - OECD - 11,1630: Harmonised unemployment rate (HUR) - TOT (PC_LF) - OECD - 12,1642: Infant mortality rates - TOT (IDX2010) - OECD - 13,1652: Labour force - TOT (THND_PER) - OECD - 14,1663: Long-term interest rates - TOT (PC_PA) - OECD - 15,1669: National area distribution - TOT (IDX2010) - OECD - 16,1672: Broad money (M3) - TOT (IDX2010) - OECD - 17,1738: Passenger transport - TOT (PC_CHG) - OECD - 18,1756: Population - TOT (AGRWTH) - OECD - 19,1757: Population - TOT (MLN_PER) - OECD - 20,1760: Producer protection - TOT (AGRWTH) - OECD - 21,1763: Producer protection - TOT (IDX2010) - OECD - 22,1775: Quarterly GDP - TOT (PC_CHGPP) - OECD - 23,1789: Self-employment rate - TOT (PC_EMP) - OECD - 24,1792: Short-term interest rates - TOT (IDX2010) - OECD - 25,1802: Short-term interest rates forecast - TOT (PC_PA) - OECD - 26,1845: Trade in goods and services - EXP (MLN_USD) - OECD - 27,1848: Trade in goods and services - IMP (MLN_USD) - OECD - 28,1858: Urban population by city size - EMP (IDX2010) - OECD - 29,1860: Urban population by city size - EMP (PC_CHGPP) - OECD - 30,1865: Unemployment rate - TOT (PC_LF) - OECD - 31,1885: Working age population - TOT (PC_POP) - OECD - 32,1890: Young population - TOT (PC_POP) - OECD - 33,1891: Youth unemployment rate - TOT (PC_YOUTHLF) - OECD - 34,2780: Merchandise trade-Exports-Total merchandise (US dollar at current prices) - WTO - 35,2781: Merchandise trade-Imports-Total merchandise (US dollar at current prices) - WTO - 36
001: Aruba (ABW),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002: Andorra (ADO),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003: Afghanistan (AFG),59.7876807071726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50000000.0,81000000.0
004: Angola (AGO),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121000000.0,131000000.0
005: Albania (ALB),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34000000.0,85000000.0
006: Arab World (ARB),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
007: United Arab Emirates (ARE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000000.0,145000000.0
008: Argentina (ARG),,113.6899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1009000000.0,993000000.0
009: Armenia (ARM),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
010: American Samoa (ASM),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7570000.0,4780000.0
011: Antigua and Barbuda (ATG),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2810000.0,8195000.0
012: Australia (AUS),1806.80487639292,2.076125,7.674298,8.512331,,,,,0.892857,,1250.0,,,,,,,,12.0625,2.174355,10.056,,,,,3.856513,,18692.024,11802.8289,,,,61.36635,30.12132,,2006930000.0,2088580000.0
013: Austria (AUT),935.460426850415,1.075,17.48397,12.05503,,,,832.0,1.889494,,695.0,,,14.44444,3381.0,,,,9.73820602407645,0.3860257,7.014331,,,,,6.350099,,,,,,,66.15466,21.7903,,967731000.0,1144620000.0
014: Azerbaijan (AZE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015: Burundi (BDI),70.3330737707859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6000000.0,9000000.0
016: Belgium (BEL),1273.69165910289,1.229477,15.54952,11.87523,,3364.0,,,1.239468,,1306.0,,,23.98661,3506.0,5.020833,,,12.7604079585354,0.5640558,9.103712,,,,23.75149,,1.995833,,,,,,64.84032,23.28449,,,
017: Benin (BEN),93.0225849709273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11468300.0,17557000.0
018: Burkina Faso (BFA),68.4247056730124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4541150.0,8389590.0
019: Bangladesh (BGD),88.689453391453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
